Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kongsgaard, Daniel","
MATH 20E - Vector Calculus (A)
",SP23,208,"
155
","
95.5%
","
99.4%
","
5.33
","
B+ (3.57)
","
B+ (3.32)
"
"Bach, Quang Tran","
MATH 20E - Vector Calculus (B)
",SP23,189,"
65
","
86.9%
","
89.8%
","
5.83
","
B+ (3.37)
","
B- (2.72)
"
"Ohm, Ko Woon","
MATH 20E - Vector Calculus (C)
",SP23,195,"
64
","
82.8%
","
81.0%
","
6.75
","
B (3.19)
","
C+ (2.49)
"
"Eggers, John Dietrich","
MATH 20E - Vector Calculus (A)
",WI23,248,"
110
","
83.3%
","
87.0%
","
8.06
","
B+ (3.43)
","
B- (2.98)
"
"Kongsgaard, Daniel","
MATH 20E - Vector Calculus (B)
",WI23,272,"
213
","
91.0%
","
91.0%
","
5.68
","
B+ (3.47)
","
B- (2.98)
"
"Eggers, John Dietrich","
MATH 20E - Vector Calculus (A)
",FA22,238,"
89
","
82.8%
","
93.1%
","
7.70
","
B+ (3.34)
","
B (3.20)
"
"Kongsgaard, Daniel","
MATH 20E - Vector Calculus (B)
",FA22,231,"
175
","
93.1%
","
96.0%
","
5.85
","
B+ (3.46)
","
B (3.08)
"
"Ganguly, Soumya","
MATH 20E - Vector Calculus (C)
",FA22,193,"
64
","
91.7%
","
83.3%
","
6.84
","
B+ (3.59)
","
B+ (3.57)
"
"Tran, Khoa Dang","
MATH 20E - Vector Calculus (A)
",S222,93,"
30
","
88.9%
","
100.0%
","
9.09
","
B+ (3.50)
","
B (3.15)
"
"Ganguly, Soumya","
MATH 20E - Vector Calculus (A)
",S122,45,"
15
","
78.6%
","
92.9%
","
11.21
","
B (3.21)
","
B- (2.99)
"
"Ciotti, Benjamin","
MATH 20E - Vector Calculus (B)
",S122,31,"
8
","
100.0%
","
87.5%
","
8.75
","
B (3.13)
","
C+ (2.48)
"
"Higgins, Zachary Douglas","
MATH 20E - Vector Calculus (A)
",SP22,111,"
39
","
97.4%
","
97.4%
","
6.87
","
B+ (3.51)
","
B (3.17)
"
"Um, Ko Woon","
MATH 20E - Vector Calculus (B)
",SP22,222,"
81
","
74.0%
","
71.1%
","
7.35
","
B (3.13)
","
C+ (2.60)
"
"Tu, Yucheng","
MATH 20E - Vector Calculus (C)
",SP22,288,"
124
","
83.5%
","
93.4%
","
6.95
","
B+ (3.55)
","
B+ (3.35)
"
"Roberts, Justin Deritter","
MATH 20E - Vector Calculus (A)
",WI22,280,"
128
","
79.8%
","
85.1%
","
7.70
","
B (3.17)
","
B- (2.86)
"
"Um, Ko Woon","
MATH 20E - Vector Calculus (B)
",WI22,187,"
77
","
82.4%
","
90.3%
","
7.95
","
B (3.10)
","
C+ (2.58)
"
"Tran, Brian Kha","
MATH 20E - Vector Calculus (A)
",FA21,226,"
150
","
97.3%
","
96.6%
","
7.02
","
B+ (3.61)
","
B+ (3.47)
"
"Roberts, Justin Deritter","
MATH 20E - Vector Calculus (B)
",FA21,244,"
102
","
68.3%
","
74.0%
","
8.94
","
B (3.07)
","
B- (2.79)
"
"Fulek, Radoslav","
MATH 20E - Vector Calculus (C)
",FA21,276,"
175
","
87.5%
","
69.6%
","
6.37
","
B+ (3.65)
","
A- (3.73)
"
"Ciotti, Benjamin","
MATH 20E - Vector Calculus (A)
",S221,101,"
28
","
64.3%
","
59.3%
","
11.07
","
B- (2.81)
","
C+ (2.43)
"
"Ciotti, Benjamin","
MATH 20E - Vector Calculus (A)
",S121,99,"
25
","
76.0%
","
52.0%
","
10.98
","
B (3.28)
","
B- (2.76)
"
"Um, Ko Woon","
MATH 20E - Vector Calculus (A)
",SP21,260,"
112
","
78.2%
","
88.2%
","
7.73
","
B+ (3.33)
","
B (3.12)
"
"Pillai, Mohandas K","
MATH 20E - Vector Calculus (B)
",SP21,197,"
83
","
82.7%
","
76.5%
","
6.57
","
B+ (3.45)
","
B (3.27)
"
"Ciotti, Benjamin","
MATH 20E - Vector Calculus (C)
",SP21,84,"
33
","
74.2%
","
61.3%
","
6.57
","
B+ (3.32)
","
B (3.27)
"
"Lebl, Jiri","
MATH 20E - Vector Calculus (A)
",WI21,184,"
85
","
69.5%
","
48.1%
","
7.63
","
B (3.25)
","
B+ (3.35)
"
"Roberts, Justin Deritter","
MATH 20E - Vector Calculus (B)
",WI21,207,"
109
","
89.6%
","
91.3%
","
7.27
","
B+ (3.51)
","
B (3.12)
"
"Pillai, Mohandas K","
MATH 20E - Vector Calculus (C)
",WI21,87,"
42
","
75.6%
","
68.3%
","
7.50
","
B (3.29)
","
B (3.04)
"
"Roberts, Justin Deritter","
MATH 20E - Vector Calculus (A)
",FA20,218,"
118
","
88.9%
","
96.5%
","
8.14
","
B+ (3.54)
","
B (3.01)
"
"Wenzl, Hans G","
MATH 20E - Vector Calculus (B)
",FA20,204,"
80
","
80.0%
","
66.2%
","
7.30
","
B (3.09)
","
B- (2.85)
"
"Chow, Bennett","
MATH 20E - Vector Calculus (C)
",FA20,181,"
77
","
79.5%
","
83.6%
","
8.05
","
B+ (3.54)
","
B (3.29)
"
"Kitsela, Roman","
MATH 20E - Vector Calculus (A)
",S220,187,"
39
","
59.0%
","
61.5%
","
11.73
","
B+ (3.47)
","
B (3.20)
"
"Kitsela, Roman","
MATH 20E - Vector Calculus (A)
",S120,168,"
47
","
65.2%
","
61.4%
","
12.24
","
B+ (3.40)
","
B+ (3.33)
"
"Ben-Ezra, David El-Chai","
MATH 20E - Vector Calculus (A)
",SP20,344,"
109
","
86.9%
","
93.3%
","
5.90
","
B+ (3.61)
","
B+ (3.58)
"
"Um, Ko Woon","
MATH 20E - Vector Calculus (B)
",SP20,194,"
70
","
82.6%
","
88.4%
","
7.20
","
B+ (3.61)
","
B+ (3.56)
"
"Chow, Bennett","
MATH 20E - Vector Calculus (C)
",SP20,142,"
52
","
80.0%
","
74.0%
","
7.09
","
B+ (3.41)
","
B+ (3.55)
"
"Stapleton, David John","
MATH 20E - Vector Calculus (A)
",WI20,201,"
101
","
92.8%
","
95.8%
","
5.87
","
B+ (3.48)
","
B (3.25)
"
"Ciotti, Benjamin","
MATH 20E - Vector Calculus (B)
",WI20,182,"
79
","
68.8%
","
72.7%
","
7.01
","
B (3.05)
","
B- (2.83)
"
"Jiang, Zonglin","
MATH 20E - Vector Calculus (C)
",WI20,133,"
58
","
83.7%
","
79.6%
","
7.66
","
B (3.27)
","
C+ (2.69)
"
"Roberts, Justin Deritter","
MATH 20E - Vector Calculus (A)
",FA19,216,"
86
","
79.2%
","
81.8%
","
7.29
","
B (3.28)
","
B- (2.74)
"
"Kitsela, Roman","
MATH 20E - Vector Calculus (B)
",FA19,284,"
137
","
78.0%
","
82.6%
","
6.33
","
B (3.02)
","
C+ (2.66)
"
"Ferrara, Joseph William","
MATH 20E - Vector Calculus (C)
",FA19,134,"
62
","
85.5%
","
83.9%
","
6.24
","
B+ (3.30)
","
B- (2.72)
"
"Meyer, Kyle Phillip","
MATH 20E - Vector Calculus (A)
",S219,75,"
28
","
85.2%
","
63.0%
","
9.39
","
B+ (3.68)
","
C+ (2.68)
"
"Ciotti, Benjamin","
MATH 20E - Vector Calculus (B)
",S219,92,"
29
","
63.0%
","
59.3%
","
7.98
","
B- (2.93)
","
C+ (2.67)
"
"Strahl, Perry Robert","
MATH 20E - Vector Calculus (A)
",S119,109,"
63
","
88.9%
","
90.5%
","
8.47
","
B+ (3.49)
","
B (3.07)
"
"Huynh, Thang L","
MATH 20E - Vector Calculus (A)
",SP19,200,"
151
","
83.0%
","
82.3%
","
6.31
","
B (3.07)
","
B- (2.93)
"
"Behzadan, Ali","
MATH 20E - Vector Calculus (B)
",SP19,195,"
85
","
89.0%
","
93.8%
","
7.08
","
B+ (3.49)
","
B (3.12)
"
"Ben-Ezra, David El-Chai","
MATH 20E - Vector Calculus (C)
",SP19,312,"
125
","
88.6%
","
94.7%
","
6.03
","
B+ (3.55)
","
B (3.16)
"
