Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Harel, Guershon","
MATH 20F - Linear Algebra (A)
",S216,131,"
35
","
94.1%
","
79.4%
","
9.35
","
B+ (3.41)
","
C+ (2.48)
"
"Kim, Yeon Kyung","
MATH 20F - Linear Algebra (A)
",S116,126,"
30
","
96.7%
","
90.0%
","
7.74
","
B+ (3.62)
","
C+ (2.66)
"
"Behzadan, Ali","
MATH 20F - Linear Algebra (A)
",SP16,315,"
131
","
93.0%
","
96.1%
","
5.89
","
A- (3.84)
","
B (3.15)
"
"Gawlik, Evan Scott","
MATH 20F - Linear Algebra (B)
",SP16,200,"
76
","
91.4%
","
98.6%
","
6.20
","
B+ (3.43)
","
C+ (2.69)
"
"Wong, Elizabeth Lai Sum","
MATH 20F - Linear Algebra (C)
",SP16,410,"
156
","
94.8%
","
99.3%
","
5.27
","
B+ (3.66)
","
B (3.24)
"
"Kim, Yeon Kyung","
MATH 20F - Linear Algebra (D)
",SP16,113,"
26
","
95.5%
","
81.8%
","
5.80
","
B+ (3.48)
","
C+ (2.35)
"
"Merkurjev, Ekaterina","
MATH 20F - Linear Algebra (A)
",WI16,328,"
187
","
84.3%
","
46.1%
","
6.28
","
B+ (3.37)
","
B- (2.99)
"
"Cheng, Hsiao-Bing","
MATH 20F - Linear Algebra (B)
",WI16,186,"
100
","
86.2%
","
72.3%
","
6.81
","
B+ (3.39)
","
B- (2.78)
"
"Mohanty, Sara","
MATH 20F - Linear Algebra (C)
",WI16,195,"
103
","
75.8%
","
42.4%
","
5.94
","
B (3.10)
","
C (2.01)
"
"Deotte, Christopher George","
MATH 20F - Linear Algebra (D)
",WI16,337,"
173
","
95.8%
","
96.4%
","
5.83
","
B+ (3.65)
","
B (3.07)
"
"Lu, Shaoying","
MATH 20F - Linear Algebra (A)
",FA15,289,"
124
","
86.6%
","
58.0%
","
6.04
","
B+ (3.43)
","
B (3.15)
"
"Oswald, Albert Georg Peter","
MATH 20F - Linear Algebra (B)
",FA15,231,"
100
","
70.5%
","
40.0%
","
6.81
","
B (3.15)
","
B- (2.79)
"
"Wong, Elizabeth Lai Sum","
MATH 20F - Linear Algebra (C)
",FA15,244,"
98
","
97.9%
","
96.8%
","
6.19
","
A- (3.75)
","
B (3.18)
"
