Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Izadi, Elham","
MATH 31BH - Honors Multivariable Calculus (A)
",WI23,30,"
19
","
72.2%
","
83.3%
","
10.08
","
B+ (3.37)
","
B (3.25)
"
"Novak, Jonathan I","
MATH 31BH - Honors Multivariable Calculus (A)
",WI22,37,"
34
","
94.1%
","
73.5%
","
5.50
","
B+ (3.44)
","
B+ (3.64)
"
"Chow, Bennett","
MATH 31BH - Honors Multivariable Calculus (A)
",WI21,41,"
26
","
92.3%
","
84.0%
","
9.35
","
A- (3.73)
","
A- (3.83)
"
"Lin, Jianfeng","
MATH 31BH - Honors Multivariable Calculus (A)
",WI20,37,"
25
","
95.8%
","
95.8%
","
8.25
","
B+ (3.42)
","
B+ (3.32)
"
"Chow, Bennett","
MATH 31BH - Honors Multivariable Calculus (A)
",WI19,39,"
22
","
100.0%
","
78.9%
","
4.50
","
A- (3.94)
","
B+ (3.51)
"
"Rogalski, Daniel","
MATH 31BH - Honors Multivariable Calculus (A)
",WI18,23,"
18
","
94.1%
","
93.8%
","
10.15
","
A- (3.71)
","
B+ (3.48)
"
"Sorensen, Claus M","
MATH 31BH - Honors Multivariable Calculus (A)
",WI17,33,"
27
","
88.9%
","
74.1%
","
7.96
","
B (3.20)
","
B+ (3.51)
"
"Chow, Bennett","
MATH 31BH - Honors Multivariable Calculus (A)
",WI16,33,"
17
","
100.0%
","
75.0%
","
7.83
","
B+ (3.50)
","
B+ (3.64)
"
"Rabin, Jeffrey Mark","
MATH 31BH - Honors Multivariable Calculus (A)
",WI15,29,"
19
","
94.7%
","
100.0%
","
7.66
","
B+ (3.61)
","
B (3.21)
"
"Oprea, Dragos N.","
MATH 31BH - Honors Multivariable Calculus (A)
",WI14,32,"
15
","
100.0%
","
100.0%
","
9.03
","
B+ (3.67)
","
B+ (3.48)
"
"Rabin, Jeffrey Mark","
MATH 31BH - Honors Multivariable Calculus (A)
",WI13,22,"
11
","
81.8%
","
100.0%
","
9.05
","
B+ (3.45)
","
B+ (3.54)
"
"Rabin, Jeffrey Mark                ","
MATH 31BH - Honors Multivariable Calculus  (A)
",WI12,8,"
5
","
100.0%
","
100.0%
","
11.70
","
B+ (3.50)
","
N/A
"
"Oprea, Dragos N.                   ","
MATH 31BH - Honors Multivariable Calculus  (A)
",WI11,17,"
11
","
90.9%
","
100.0%
","
7.59
","
B+ (3.45)
","
N/A
"
"Meyer, David A.                    ","
MATH 31BH - Honors Multivariable Calculus  (A)
",WI10,26,"
17
","
94.1%
","
100.0%
","
8.85
","
B (3.29)
","
B+ (3.38)
"
"Rabin, Jeffrey Mark","
MATH 31BH - Honors Multivariable Calculus  (A)
",WI09,23,"
18
","
94.4%
","
100.0%
","
6.61
","
B (3.22)
","
B (3.27)
"
