Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Izadi, Elham","
MATH 31CH - Honors Vector Calculus (B)
",SP23,25,"
14
","
61.5%
","
61.5%
","
10.81
","
B+ (3.50)
","
B (3.17)
"
"Chow, Bennett","
MATH 31CH - Honors Vector Calculus (A)
",SP22,38,"
17
","
88.2%
","
52.9%
","
7.79
","
B+ (3.59)
","
B+ (3.66)
"
"Lebl, Jiri","
MATH 31CH - Honors Vector Calculus (A)
",SP21,41,"
26
","
84.6%
","
88.5%
","
10.27
","
B+ (3.52)
","
B (3.27)
"
"Sterbenz, Jacob","
MATH 31CH - Honors Vector Calculus (A)
",SP20,34,"
19
","
68.4%
","
57.9%
","
9.97
","
B+ (3.43)
","
B+ (3.55)
"
"Bowers, Adam R.","
MATH 31CH - Honors Vector Calculus (A)
",SP19,38,"
16
","
93.3%
","
100.0%
","
5.38
","
A- (3.93)
","
B (3.29)
"
"Rogalski, Daniel","
MATH 31CH - Honors Vector Calculus (A)
",SP18,20,"
11
","
100.0%
","
100.0%
","
11.50
","
A (4.00)
","
B+ (3.58)
"
"Rogalski, Daniel","
MATH 31CH - Honors Vector Calculus (A)
",SP17,26,"
11
","
100.0%
","
100.0%
","
6.75
","
B (3.25)
","
B+ (3.47)
"
"Saab, Rayan","
MATH 31CH - Honors Vector Calculus (A)
",SP16,26,"
20
","
90.0%
","
100.0%
","
6.40
","
B (3.25)
","
B+ (3.30)
"
"Ioana, Adrian","
MATH 31CH - Honors Vector Calculus (A)
",SP15,26,"
14
","
92.9%
","
100.0%
","
5.42
","
B+ (3.54)
","
B (3.16)
"
"Oprea, Dragos N.","
MATH 31CH - Honors Vector Calculus (A)
",SP14,27,"
10
","
100.0%
","
100.0%
","
9.70
","
A- (3.80)
","
B+ (3.51)
"
"Oprea, Dragos N.","
MATH 31CH - Honors Vector Calculus (A)
",SP13,18,"
7
","
100.0%
","
100.0%
","
9.36
","
B+ (3.57)
","
N/A
"
"Rabin, Jeffrey Mark                ","
MATH 31CH - Honors Vector Calculus         (A)
",SP12,7,"
4
","
100.0%
","
100.0%
","
9.00
","
B+ (3.50)
","
N/A
"
"Eggers, John Dietrich              ","
MATH 31CH - Honors Vector Calculus         (A)
",SP11,14,"
6
","
100.0%
","
60.0%
","
11.17
","
B+ (3.40)
","
N/A
"
"Eggers, John Dietrich              ","
MATH 31CH - Honors Vector Calculus         (A)
",SP10,17,"
8
","
75.0%
","
87.5%
","
7.25
","
B (3.13)
","
N/A
"
"Rabin, Jeffrey Mark                ","
MATH 31CH - Honors Vector Calculus         (A)
",SP09,19,"
19
","
89.5%
","
100.0%
","
6.29
","
B+ (3.39)
","
N/A
"
