Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Meyer, David A.","
MATH 87 - First-year Seminar (A)
",FA22,11,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Stevens, Laura Jeanne","
MATH 87 - First-year Seminar (A)
",SP22,19,"
11
","
100.0%
","
100.0%
","
0.68
","
N/A
","
N/A
"
"Meyer, David A.","
MATH 87 - Freshman Seminar (A)
",FA21,16,"
12
","
90.9%
","
100.0%
","
1.77
","
N/A
","
N/A
"
"Stevens, Laura Jeanne","
MATH 87 - Freshman Seminar (A)
",SP21,17,"
12
","
100.0%
","
100.0%
","
0.50
","
B+ (3.67)
","
N/A
"
"Bowers, Adam R.","
MATH 87 - Freshman Seminar (A)
",SP20,11,"
4
","
100.0%
","
100.0%
","
2.00
","
N/A
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",WI20,17,"
13
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Harel, Guershon","
MATH 87 - Freshman Seminar (A)
",FA19,14,"
8
","
85.7%
","
100.0%
","
3.36
","
A (4.00)
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (B)
",FA19,8,"
7
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Rabin, Jeffrey Mark","
MATH 87 - Freshman Seminar (B)
",SP19,16,"
8
","
100.0%
","
100.0%
","
1.07
","
A (4.00)
","
N/A
"
"Stevens, Laura Jeanne","
MATH 87 - Freshman Seminar (C)
",SP19,20,"
11
","
100.0%
","
100.0%
","
1.41
","
B+ (3.67)
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",WI19,10,"
9
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (B)
",FA18,15,"
12
","
100.0%
","
100.0%
","
0.83
","
A (4.00)
","
N/A
"
"Harel, Guershon","
MATH 87 - Freshman Seminar (C)
",FA18,10,"
5
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Stevens, Laura Jeanne","
MATH 87 - Freshman Seminar (B)
",SP18,19,"
15
","
100.0%
","
100.0%
","
0.77
","
N/A
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",WI18,11,"
11
","
90.9%
","
90.9%
","
0.50
","
N/A
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",FA17,14,"
9
","
88.9%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Wulbert, Daniel E.","
MATH 87 - Freshman Seminar (B)
",FA17,16,"
10
","
77.8%
","
77.8%
","
0.50
","
A (4.00)
","
N/A
"
"Harel, Guershon","
MATH 87 - Freshman Seminar (C)
",FA17,11,"
6
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Wulbert, Daniel E.","
MATH 87 - Freshman Seminar (A)
",SP17,11,"
7
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",WI17,17,"
11
","
100.0%
","
100.0%
","
0.70
","
A (4.00)
","
N/A
"
"Stevens, Laura Jeanne","
MATH 87 - Freshman Seminar (B)
",WI17,17,"
13
","
84.6%
","
92.3%
","
0.81
","
A (4.00)
","
N/A
"
"Wulbert, Daniel E.","
MATH 87 - Freshman Seminar (C)
",WI17,5,"
3
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Harel, Guershon","
MATH 87 - Freshman Seminar (A)
",FA16,14,"
8
","
100.0%
","
100.0%
","
0.83
","
A (4.00)
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (B)
",FA16,16,"
13
","
100.0%
","
100.0%
","
1.27
","
A (4.00)
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",SP16,16,"
16
","
100.0%
","
100.0%
","
0.75
","
A (4.00)
","
N/A
"
"Haff, Leonard R.","
MATH 87 - Freshman Seminar (A)
",WI16,18,"
13
","
100.0%
","
100.0%
","
0.81
","
A (4.00)
","
N/A
"
"Stevens, Laura Jeanne","
MATH 87 - Freshman Seminar (B)
",WI16,17,"
10
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Rabin, Jeffrey Mark","
MATH 87 - Freshman Seminar (C)
",WI16,13,"
7
","
83.3%
","
83.3%
","
2.10
","
N/A
","
N/A
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",FA15,14,"
11
","
100.0%
","
100.0%
","
2.14
","
A (4.00)
","
N/A
"
