Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",SP23,88,"
74
","
93.2%
","
91.9%
","
4.26
","
B+ (3.61)
","
B+ (3.49)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",WI23,80,"
73
","
93.2%
","
91.8%
","
4.31
","
B+ (3.68)
","
B (3.27)
"
"Wang, Helen Shan","
MGT 121A - Innovation to Market A (A)
",FA22,65,"
44
","
88.6%
","
97.7%
","
5.32
","
A- (3.79)
","
B+ (3.69)
"
"Wang, Helen Shan","
MGT 121A - Innovation to Market A (B)
",FA22,64,"
47
","
89.1%
","
95.7%
","
6.07
","
A- (3.80)
","
B+ (3.66)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S222,52,"
11
","
100.0%
","
100.0%
","
6.72
","
A (4.00)
","
B+ (3.48)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",WI22,71,"
64
","
96.9%
","
93.8%
","
5.78
","
B+ (3.61)
","
B+ (3.53)
"
"Wang, Helen Shan","
MGT 121A - Innovation to Market A (A)
",FA21,90,"
79
","
89.9%
","
88.6%
","
4.96
","
A- (3.72)
","
B+ (3.65)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S221,54,"
15
","
93.3%
","
86.7%
","
8.36
","
A- (3.86)
","
B+ (3.53)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",WI21,76,"
27
","
80.8%
","
73.1%
","
6.28
","
A- (3.79)
","
B+ (3.56)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",FA20,74,"
64
","
81.3%
","
78.1%
","
5.47
","
B+ (3.42)
","
B+ (3.63)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S220,59,"
29
","
89.3%
","
82.1%
","
7.07
","
B+ (3.68)
","
B+ (3.44)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",SP20,74,"
60
","
86.7%
","
90.0%
","
6.00
","
B+ (3.55)
","
B+ (3.69)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",FA19,73,"
68
","
92.6%
","
97.1%
","
4.98
","
B+ (3.69)
","
B+ (3.44)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S219,68,"
56
","
91.1%
","
96.4%
","
5.13
","
B+ (3.68)
","
B+ (3.38)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",SP19,79,"
67
","
81.8%
","
84.8%
","
4.98
","
A- (3.73)
","
B+ (3.57)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",FA18,70,"
66
","
98.5%
","
98.5%
","
4.72
","
A- (3.84)
","
B+ (3.43)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S218,64,"
56
","
92.7%
","
96.3%
","
4.94
","
B+ (3.67)
","
B (3.27)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",SP18,72,"
65
","
95.4%
","
93.8%
","
4.41
","
B+ (3.68)
","
B+ (3.51)
"
"Rutherford, Lamar","
MGT 121A - Innovation to Market A (A)
",WI18,48,"
58
","
72.4%
","
86.2%
","
4.12
","
B+ (3.59)
","
B+ (3.43)
"
"Klaas, Jeffrey David","
MGT 121A - Innovation to Market A (A)
",FA17,59,"
61
","
96.7%
","
98.4%
","
5.53
","
B+ (3.67)
","
A- (3.74)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S217,56,"
48
","
97.9%
","
91.7%
","
6.21
","
B+ (3.60)
","
B+ (3.41)
"
"Rutherford, Lamar","
MGT 121A - Innovation to Market A (B)
",SP17,41,"
39
","
60.5%
","
47.4%
","
4.23
","
B (3.28)
","
B- (2.91)
"
"Rutherford, Lamar","
MGT 121A - Innovation to Market A (A)
",WI17,52,"
49
","
87.8%
","
79.6%
","
4.92
","
B+ (3.38)
","
B- (2.99)
"
"Fuller, Robert L.","
MGT 121A - Innovation to Market A (A)
",FA16,73,"
68
","
91.2%
","
89.7%
","
4.35
","
A- (3.85)
","
A- (3.91)
"
"Foit, Delbert F.","
MGT 121A - Innovation to Market A (C)
",FA16,75,"
74
","
93.2%
","
94.6%
","
4.97
","
A- (3.79)
","
A- (3.82)
"
"Maki, Kanetaka","
MGT 121A - Innovation to Market A (A)
",S216,55,"
53
","
92.3%
","
92.3%
","
6.59
","
A- (3.81)
","
B+ (3.53)
"
"Rutherford, Lamar","
MGT 121A - Innovation to Market A (A)
",SP16,69,"
35
","
87.9%
","
87.9%
","
4.44
","
B+ (3.42)
","
B- (2.93)
"
"Rutherford, Lamar","
MGT 121A - Innovation to Market A (A)
",WI16,54,"
45
","
73.3%
","
80.0%
","
4.90
","
B+ (3.56)
","
B (3.04)
"
"Foit, Delbert F.","
MGT 121A - Innovation to Market A (A)
",FA15,69,"
65
","
90.8%
","
93.8%
","
3.73
","
B+ (3.69)
","
A- (3.83)
"
