Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Klaas, Jeffrey David","
MGT 121B - Innovation to Market B (A)
",SP23,57,"
53
","
96.2%
","
100.0%
","
4.84
","
B+ (3.65)
","
B+ (3.51)
"
"Klaas, Jeffrey David","
MGT 121B - Innovation to Market B (A)
",SP22,64,"
62
","
96.8%
","
98.4%
","
4.82
","
B+ (3.50)
","
B+ (3.50)
"
"Klaas, Jeffrey David","
MGT 121B - Innovation to Market B (A)
",SP21,52,"
50
","
96.0%
","
94.0%
","
4.70
","
B+ (3.51)
","
A- (3.76)
"
"York, John Michael","
MGT 121B - Innovation to Market B (A)
",SP19,29,"
15
","
73.3%
","
73.3%
","
5.43
","
A- (3.80)
","
A- (3.77)
"
"Rutherford, Lamar","
MGT 121B - Innovation to Market B (A)
",SP18,59,"
59
","
79.7%
","
84.7%
","
4.03
","
B+ (3.49)
","
B+ (3.53)
"
"Rutherford, Lamar","
MGT 121B - Innovation to Market B (A)
",SP17,60,"
57
","
86.0%
","
84.2%
","
3.93
","
B+ (3.52)
","
B- (2.94)
"
"Rutherford, Lamar","
MGT 121B - Innovation to Market B (A)
",SP16,13,"
10
","
88.9%
","
100.0%
","
3.00
","
A- (3.89)
","
N/A
"
"Rutherford, Lamar","
MGT 121B - Innovation to Market B (A)
",SP15,9,"
8
","
100.0%
","
100.0%
","
6.00
","
B+ (3.63)
","
N/A
"
"Rutherford, Lamar","
MGT 121B - Innovation to Market B (A)
",SP14,11,"
6
","
83.3%
","
100.0%
","
4.83
","
B+ (3.50)
","
N/A
"
"Foit, Delbert F.","
MGT 121B - Innovation to Market B (A)
",WI13,16,"
13
","
92.3%
","
100.0%
","
4.04
","
A- (3.92)
","
N/A
"
