Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (A)
",SP23,54,"
48
","
60.4%
","
52.1%
","
6.50
","
B- (2.89)
","
B (3.04)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (B)
",SP23,77,"
65
","
46.2%
","
52.3%
","
8.25
","
B- (2.92)
","
B- (2.76)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (C)
",SP23,46,"
39
","
71.1%
","
68.4%
","
5.34
","
B (3.05)
","
B- (2.93)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (A)
",WI23,68,"
51
","
74.0%
","
72.0%
","
5.85
","
B- (2.98)
","
B- (2.88)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (B)
",WI23,61,"
46
","
65.2%
","
71.7%
","
5.67
","
B (3.20)
","
B- (2.88)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (C)
",WI23,31,"
24
","
82.6%
","
78.3%
","
5.02
","
B (3.27)
","
B (3.14)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (A)
",FA22,45,"
33
","
87.9%
","
81.8%
","
3.89
","
B+ (3.31)
","
B (3.03)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (B)
",FA22,64,"
53
","
81.1%
","
84.9%
","
6.08
","
B (3.27)
","
B- (2.81)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (C)
",FA22,16,"
11
","
81.8%
","
90.9%
","
5.23
","
B (3.18)
","
N/A
"
"Demill, Burritt","
MGT 166 - Corp Social Responsibility (D)
",FA22,89,"
87
","
95.4%
","
95.4%
","
5.88
","
B+ (3.56)
","
B+ (3.52)
"
"Moran, Cathleen L.","
MGT 166 - Corp Social Responsibility (A)
",SP22,56,"
48
","
83.3%
","
79.2%
","
5.33
","
B (3.06)
","
B (3.11)
"
