Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP23,9,"
8
","
100.0%
","
100.0%
","
4.25
","
B (3.14)
","
N/A
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (E)
",SP23,82,"
75
","
90.7%
","
96.0%
","
4.12
","
B+ (3.59)
","
B+ (3.35)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",WI23,84,"
26
","
76.2%
","
85.0%
","
3.50
","
B+ (3.53)
","
B- (2.94)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI23,83,"
34
","
91.2%
","
97.1%
","
3.09
","
B+ (3.63)
","
B (3.06)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI23,86,"
32
","
90.6%
","
87.5%
","
3.38
","
A- (3.71)
","
B (3.25)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",WI23,38,"
12
","
83.3%
","
81.8%
","
5.33
","
B (3.27)
","
C+ (2.59)
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (E)
",WI23,90,"
86
","
95.3%
","
100.0%
","
4.10
","
B+ (3.61)
","
B+ (3.52)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",FA22,85,"
22
","
72.7%
","
86.4%
","
2.68
","
B+ (3.50)
","
B- (2.81)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA22,86,"
36
","
88.2%
","
94.1%
","
2.74
","
B+ (3.66)
","
B- (2.86)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA22,83,"
40
","
73.0%
","
86.5%
","
2.78
","
B+ (3.47)
","
B- (2.87)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",FA22,87,"
35
","
82.9%
","
76.5%
","
5.19
","
B+ (3.40)
","
B- (2.89)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",FA22,84,"
33
","
59.4%
","
48.4%
","
5.25
","
B+ (3.34)
","
C+ (2.69)
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (A)
",S222,28,"
23
","
87.0%
","
100.0%
","
5.63
","
A- (3.72)
","
B+ (3.65)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S122,27,"
7
","
100.0%
","
100.0%
","
4.90
","
B+ (3.60)
","
B (3.08)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",SP22,61,"
15
","
92.9%
","
92.9%
","
2.35
","
A- (3.90)
","
C+ (2.60)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",SP22,83,"
34
","
93.3%
","
100.0%
","
3.73
","
B+ (3.62)
","
B (3.01)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",SP22,84,"
29
","
100.0%
","
92.0%
","
3.46
","
B+ (3.52)
","
B (3.05)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP22,80,"
31
","
74.2%
","
74.2%
","
5.02
","
B+ (3.41)
","
B- (2.74)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",WI22,74,"
32
","
83.3%
","
93.3%
","
4.56
","
B+ (3.52)
","
B- (2.97)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI22,81,"
41
","
95.1%
","
92.7%
","
3.48
","
A- (3.78)
","
B (3.07)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI22,85,"
49
","
76.1%
","
91.3%
","
3.57
","
A- (3.74)
","
B- (2.99)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",WI22,83,"
35
","
72.7%
","
81.8%
","
3.62
","
B+ (3.41)
","
B (3.16)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",FA21,88,"
42
","
85.0%
","
95.0%
","
3.40
","
A- (3.73)
","
B (3.06)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA21,87,"
45
","
92.9%
","
88.1%
","
3.31
","
B+ (3.63)
","
B (3.09)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA21,83,"
37
","
83.8%
","
94.6%
","
5.15
","
B+ (3.61)
","
B- (2.92)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",FA21,84,"
39
","
89.7%
","
84.6%
","
4.45
","
B+ (3.47)
","
B (3.21)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",FA21,87,"
44
","
88.1%
","
85.7%
","
4.89
","
B+ (3.54)
","
B (3.23)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S221,32,"
12
","
90.9%
","
90.9%
","
5.95
","
B+ (3.55)
","
B (3.23)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S121,55,"
10
","
100.0%
","
100.0%
","
6.30
","
A- (3.70)
","
B (3.03)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",SP21,55,"
24
","
78.3%
","
82.6%
","
5.02
","
B+ (3.53)
","
B (3.08)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",SP21,75,"
34
","
96.9%
","
96.9%
","
3.73
","
A- (3.80)
","
B+ (3.42)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",SP21,44,"
18
","
94.1%
","
94.1%
","
4.50
","
A- (3.80)
","
B+ (3.54)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP21,12,"
3
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",WI21,56,"
22
","
90.9%
","
90.9%
","
4.23
","
A- (3.82)
","
B (3.08)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI21,69,"
29
","
96.6%
","
96.6%
","
3.88
","
A- (3.78)
","
B (3.23)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI21,43,"
13
","
83.3%
","
83.3%
","
4.17
","
B+ (3.57)
","
B+ (3.40)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",WI21,9,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (E)
",WI21,80,"
68
","
97.1%
","
98.5%
","
4.65
","
A- (3.91)
","
B+ (3.67)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",FA20,83,"
41
","
84.6%
","
87.2%
","
3.78
","
A- (3.82)
","
B+ (3.34)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA20,83,"
39
","
97.2%
","
100.0%
","
4.07
","
A- (3.71)
","
B (3.28)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA20,82,"
32
","
90.6%
","
100.0%
","
3.63
","
A- (3.70)
","
B (3.24)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",FA20,76,"
36
","
90.6%
","
96.9%
","
4.56
","
B+ (3.58)
","
B (3.04)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",FA20,82,"
40
","
87.2%
","
92.3%
","
4.39
","
B+ (3.67)
","
B (3.19)
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (A)
",S220,47,"
32
","
96.9%
","
96.9%
","
5.88
","
A- (3.86)
","
B+ (3.53)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (B)
",S220,30,"
9
","
87.5%
","
87.5%
","
4.75
","
A (4.00)
","
B- (2.97)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S120,57,"
15
","
92.9%
","
100.0%
","
4.64
","
B+ (3.67)
","
B (3.30)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",SP20,40,"
17
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
B+ (3.41)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",SP20,67,"
21
","
85.0%
","
100.0%
","
4.31
","
A- (3.72)
","
B+ (3.38)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",SP20,74,"
31
","
87.1%
","
96.8%
","
3.85
","
B+ (3.68)
","
B+ (3.54)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP20,70,"
24
","
91.3%
","
91.3%
","
5.08
","
A- (3.88)
","
B+ (3.62)
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (E)
",SP20,46,"
42
","
97.6%
","
100.0%
","
4.40
","
A- (3.84)
","
A- (3.77)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",WI20,71,"
57
","
86.0%
","
96.5%
","
4.01
","
B (3.17)
","
C+ (2.64)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI20,69,"
59
","
75.9%
","
89.7%
","
4.05
","
B (3.26)
","
B- (2.83)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI20,73,"
64
","
92.2%
","
98.4%
","
3.61
","
B (3.20)
","
B- (2.98)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",WI20,64,"
62
","
79.0%
","
80.6%
","
3.73
","
B (3.11)
","
B (3.13)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",FA19,75,"
72
","
83.1%
","
94.4%
","
4.16
","
B+ (3.44)
","
B- (2.97)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA19,74,"
62
","
82.3%
","
93.5%
","
4.21
","
B (3.26)
","
C+ (2.67)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA19,70,"
60
","
83.3%
","
91.7%
","
4.23
","
B+ (3.33)
","
B (3.05)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",FA19,64,"
59
","
83.1%
","
81.4%
","
3.69
","
B- (2.98)
","
B- (2.74)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",FA19,66,"
63
","
82.5%
","
84.1%
","
3.80
","
B (3.09)
","
B- (2.76)
"
"Chamberlain, Travis Dean","
MGT 18 - Managing Diverse Teams (A)
",S219,49,"
44
","
88.6%
","
95.5%
","
5.85
","
B (3.24)
","
B (3.13)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S119,66,"
59
","
91.5%
","
96.6%
","
5.33
","
B+ (3.53)
","
B- (2.93)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",SP19,76,"
67
","
83.3%
","
93.9%
","
3.17
","
B (3.02)
","
B- (3.00)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",SP19,78,"
65
","
93.8%
","
93.8%
","
3.94
","
B+ (3.47)
","
B- (3.00)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",SP19,79,"
68
","
88.1%
","
100.0%
","
3.95
","
B (3.28)
","
B- (3.00)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP19,29,"
27
","
84.6%
","
92.3%
","
3.27
","
B- (2.75)
","
B- (2.93)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",SP19,77,"
70
","
97.1%
","
95.7%
","
2.73
","
B+ (3.37)
","
B- (2.93)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",WI19,65,"
59
","
88.1%
","
91.5%
","
3.72
","
B+ (3.47)
","
B (3.12)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI19,75,"
66
","
95.4%
","
98.5%
","
3.73
","
B (3.26)
","
B (3.12)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI19,75,"
71
","
87.3%
","
93.0%
","
3.68
","
B+ (3.39)
","
B (3.12)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",WI19,74,"
69
","
85.5%
","
81.2%
","
3.37
","
B- (2.98)
","
B- (2.81)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",WI19,13,"
12
","
100.0%
","
100.0%
","
2.67
","
B+ (3.57)
","
N/A
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",FA18,73,"
70
","
95.7%
","
97.1%
","
4.16
","
B+ (3.32)
","
B (3.19)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA18,74,"
69
","
89.9%
","
97.1%
","
3.17
","
B (3.18)
","
B (3.19)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA18,72,"
70
","
90.0%
","
98.6%
","
3.50
","
B+ (3.40)
","
B (3.19)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",FA18,68,"
63
","
90.5%
","
98.4%
","
3.48
","
B+ (3.64)
","
B (3.19)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",FA18,71,"
67
","
92.5%
","
86.6%
","
3.25
","
B (3.24)
","
B (3.19)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S218,65,"
59
","
91.5%
","
94.9%
","
5.33
","
B+ (3.43)
","
B (3.04)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (A)
",S118,53,"
47
","
89.4%
","
85.1%
","
5.59
","
B+ (3.37)
","
B- (2.93)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",SP18,47,"
39
","
87.2%
","
94.9%
","
4.81
","
B+ (3.34)
","
B- (2.96)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",SP18,74,"
68
","
92.6%
","
95.5%
","
4.29
","
B (3.17)
","
B- (2.96)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",SP18,75,"
68
","
91.0%
","
95.5%
","
3.35
","
B+ (3.35)
","
B- (2.96)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP18,23,"
28
","
82.1%
","
89.3%
","
4.36
","
B (3.18)
","
B- (2.86)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",SP18,65,"
57
","
87.7%
","
89.5%
","
4.04
","
B (3.13)
","
B- (2.86)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",WI18,75,"
64
","
87.5%
","
93.8%
","
3.69
","
B+ (3.44)
","
B- (2.92)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI18,74,"
67
","
89.6%
","
92.5%
","
4.02
","
B+ (3.40)
","
B- (2.92)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI18,68,"
60
","
86.7%
","
100.0%
","
3.96
","
B+ (3.38)
","
B- (2.92)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",WI18,71,"
64
","
89.1%
","
85.9%
","
3.38
","
B (3.28)
","
B- (2.73)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",FA17,70,"
68
","
88.1%
","
92.5%
","
4.14
","
B+ (3.39)
","
B (3.04)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA17,71,"
70
","
92.8%
","
98.6%
","
3.63
","
B+ (3.63)
","
B (3.04)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA17,73,"
72
","
91.5%
","
97.2%
","
3.22
","
B (3.21)
","
B (3.04)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",FA17,76,"
71
","
81.7%
","
88.7%
","
4.22
","
B (3.29)
","
B (3.05)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",S217,65,"
53
","
92.5%
","
98.1%
","
4.58
","
B+ (3.57)
","
B (3.12)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (A)
",S117,61,"
52
","
94.2%
","
96.2%
","
5.31
","
B (3.07)
","
B- (2.77)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (A)
",SP17,67,"
61
","
82.0%
","
83.6%
","
3.90
","
B+ (3.36)
","
B- (2.92)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",SP17,70,"
67
","
88.1%
","
91.0%
","
3.50
","
B+ (3.46)
","
B- (2.92)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",SP17,77,"
72
","
90.3%
","
95.8%
","
3.75
","
B+ (3.47)
","
B- (2.92)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (D)
",SP17,69,"
66
","
81.5%
","
86.2%
","
4.22
","
B+ (3.32)
","
B- (2.80)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (E)
",SP17,65,"
60
","
88.3%
","
91.7%
","
4.63
","
B (3.18)
","
B- (2.80)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (A)
",WI17,69,"
63
","
87.1%
","
90.3%
","
3.98
","
B (3.07)
","
B- (2.90)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",WI17,71,"
68
","
80.9%
","
91.2%
","
4.07
","
B+ (3.36)
","
B (3.05)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",WI17,76,"
72
","
94.4%
","
97.2%
","
4.89
","
B+ (3.40)
","
B (3.05)
"
"McKay, Mary A","
MGT 18 - Managing Diverse Teams (A)
",FA16,69,"
63
","
96.8%
","
95.2%
","
4.85
","
B+ (3.34)
","
B- (2.93)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (B)
",FA16,77,"
75
","
93.2%
","
100.0%
","
4.31
","
B+ (3.56)
","
B (3.06)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (C)
",FA16,75,"
69
","
92.8%
","
91.3%
","
3.86
","
B+ (3.39)
","
B (3.06)
"
"McKay, Michael J","
MGT 18 - Managing Diverse Teams (D)
",FA16,76,"
77
","
92.2%
","
93.5%
","
4.21
","
B+ (3.69)
","
B (3.06)
"
