Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Balberg, Mira","
MMW 12 - Transforming Traditions (A)
",WI23,385,"
186
","
77.7%
","
98.8%
","
5.33
","
B+ (3.61)
","
B+ (3.56)
"
"Adamiak, Patrick John","
MMW 12 - Transforming Traditions (B)
",WI23,345,"
209
","
69.6%
","
97.3%
","
5.53
","
B+ (3.59)
","
B+ (3.44)
"
"Kelting, Edward William","
MMW 12 - Transforming Traditions (C)
",WI23,299,"
188
","
60.2%
","
96.5%
","
4.91
","
B+ (3.61)
","
B+ (3.61)
"
"Wood, Lauren Elizabeth","
MMW 12 - Classical & Medieval Tradition (A)
",S322,24,"
9
","
100.0%
","
100.0%
","
9.17
","
B+ (3.67)
","
B+ (3.30)
"
"Balberg, Mira","
MMW 12 - Classical & Medieval Tradition (A)
",WI22,384,"
231
","
75.8%
","
99.1%
","
5.69
","
A- (3.70)
","
B+ (3.61)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (B)
",WI22,290,"
173
","
66.7%
","
81.0%
","
7.40
","
B+ (3.34)
","
B (3.22)
"
"Kelting, Edward William","
MMW 12 - Classical & Medieval Tradition (C)
",WI22,384,"
240
","
68.5%
","
97.4%
","
6.00
","
B+ (3.43)
","
B+ (3.47)
"
"Balberg, Mira","
MMW 12 - Classical & Medieval Tradition (A)
",WI21,342,"
173
","
83.0%
","
100.0%
","
6.27
","
A- (3.72)
","
B+ (3.66)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (B)
",WI21,323,"
154
","
68.7%
","
96.6%
","
6.42
","
B+ (3.69)
","
B+ (3.55)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI21,336,"
181
","
78.0%
","
98.3%
","
6.30
","
B+ (3.62)
","
B+ (3.50)
"
"Balberg, Mira","
MMW 12 - Classical & Medieval Tradition (A)
",WI20,373,"
190
","
70.9%
","
94.9%
","
5.36
","
B+ (3.41)
","
B+ (3.52)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (B)
",WI20,383,"
200
","
63.7%
","
89.5%
","
6.54
","
B- (2.96)
","
B (3.27)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (C)
",WI20,313,"
174
","
62.5%
","
73.3%
","
5.65
","
B (3.28)
","
B+ (3.36)
"
"Goldstein, Paul S","
MMW 12 - Classical & Medieval Tradition (A)
",WI19,276,"
187
","
57.2%
","
64.9%
","
5.61
","
B (3.21)
","
B (3.10)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI19,403,"
312
","
58.1%
","
80.8%
","
6.47
","
B (3.12)
","
B (3.13)
"
"Herbst, Matthew","
MMW 12 - Classical & Medieval Tradition (C)
",WI19,375,"
284
","
73.9%
","
96.3%
","
7.52
","
B (3.20)
","
B (3.20)
"
"Cohen, Richard S.","
MMW 12 - Classical & Medieval Tradition (A)
",WI18,325,"
237
","
71.0%
","
89.5%
","
6.43
","
B+ (3.36)
","
B+ (3.32)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI18,318,"
231
","
66.8%
","
91.2%
","
5.99
","
B+ (3.31)
","
B (3.17)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI18,318,"
258
","
67.9%
","
92.8%
","
7.51
","
B (3.19)
","
B (3.11)
"
"Stewart, Alexander B","
MMW 12 - Classical & Medieval Tradition (A)
",WI17,322,"
265
","
54.6%
","
70.8%
","
7.94
","
B (3.07)
","
B- (2.92)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI17,308,"
231
","
69.1%
","
84.3%
","
6.85
","
B (3.22)
","
B (3.11)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI17,367,"
244
","
69.4%
","
94.0%
","
8.62
","
B (3.11)
","
B- (2.93)
"
"Cohen, Richard S.","
MMW 12 - Classical & Medieval Tradition (A)
",WI16,322,"
232
","
75.2%
","
94.5%
","
7.10
","
B (3.23)
","
B (3.15)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI16,298,"
207
","
72.3%
","
83.8%
","
6.66
","
B (3.10)
","
B- (2.81)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI16,313,"
260
","
75.7%
","
96.4%
","
6.97
","
B (3.28)
","
B (3.21)
"
"Cohen, Richard S.","
MMW 12 - Classical & Medieval Tradition (A)
",WI15,318,"
168
","
80.7%
","
90.7%
","
7.86
","
B (3.24)
","
B (3.09)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI15,229,"
134
","
65.9%
","
82.9%
","
6.47
","
B- (2.99)
","
B- (2.80)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI15,322,"
248
","
77.3%
","
97.9%
","
7.57
","
B (3.21)
","
B (3.10)
"
"Herbst, Matthew","
MMW 12 - Classical & Medieval Tradition (A)
",WI14,295,"
224
","
80.6%
","
97.7%
","
8.13
","
B (3.17)
","
B (3.09)
"
"Van Overmeire, Ben","
MMW 12 - Classical & Medieval Tradition (B)
",WI14,239,"
205
","
83.9%
","
98.0%
","
6.22
","
B (3.19)
","
B (3.05)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI14,295,"
215
","
76.2%
","
97.6%
","
7.10
","
B (3.22)
","
B (3.05)
"
"Cohen, Richard S.","
MMW 12 - Classical & Medieval Tradition (A)
",WI13,199,"
77
","
75.7%
","
82.4%
","
7.12
","
B (3.18)
","
B (3.22)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI13,206,"
91
","
83.1%
","
86.5%
","
6.85
","
B+ (3.30)
","
B (3.12)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI13,263,"
185
","
84.7%
","
97.8%
","
7.02
","
B (3.29)
","
B (3.17)
"
"Chang, Edmond Yi-Teh               ","
MMW 12 - The Medieval Heritage          (A)
",SP11,198,"
127
","
80.0%
","
98.4%
","
6.08
","
B+ (3.52)
","
B (3.23)
"
"Herbst, Matthew                    ","
MMW 12 - The Medieval Heritage          (B)
",SP11,284,"
92
","
76.9%
","
94.5%
","
7.20
","
B (3.30)
","
B (3.15)
"
"Herbst, Matthew                    ","
MMW 12 - The Medieval Heritage          (C)
",SP11,114,"
42
","
90.5%
","
97.6%
","
6.60
","
B+ (3.63)
","
B (3.15)
"
