Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chang, Edmond Yi-Teh","
MMW 13 - Globalizing World, 13th-18th C (A)
",SP23,252,"
146
","
57.5%
","
82.2%
","
6.78
","
B+ (3.47)
","
B (3.20)
"
"Zhiri, Oumelbanine","
MMW 13 - Globalizing World, 13th-18th C (B)
",SP23,385,"
190
","
52.0%
","
79.4%
","
5.19
","
B+ (3.63)
","
B+ (3.67)
"
"Murillo, Dana V.","
MMW 13 - Globalizing World, 13th-18th C (C)
",SP23,355,"
210
","
43.3%
","
56.6%
","
5.47
","
B+ (3.37)
","
B+ (3.39)
"
"Vipperman-Cohen, Melissa Rachelle","
MMW 13 - New Ideas & Cultural Encountrs (A)
",S322,16,"
3
","
66.7%
","
100.0%
","
5.83
","
C+ (2.67)
","
N/A
"
"Chang, Edmond Yi-Teh","
MMW 13 - New Ideas & Cultural Encountrs (A)
",SP22,259,"
96
","
81.3%
","
93.3%
","
7.15
","
B+ (3.67)
","
B (3.28)
"
"Zhiri, Oumelbanine","
MMW 13 - New Ideas & Cultural Encountrs (B)
",SP22,298,"
144
","
59.4%
","
76.4%
","
4.74
","
B+ (3.69)
","
A- (3.71)
"
"Vitkus, Daniel J.","
MMW 13 - New Ideas & Cultural Encountrs (C)
",SP22,215,"
112
","
41.3%
","
39.4%
","
5.51
","
B+ (3.33)
","
B (3.23)
"
"Murillo, Dana V.","
MMW 13 - New Ideas & Cultural Encountrs (D)
",SP22,265,"
127
","
57.4%
","
82.8%
","
5.05
","
A- (3.73)
","
B+ (3.68)
"
"Chang, Edmond Yi-Teh","
MMW 13 - New Ideas & Cultural Encountrs (A)
",SP21,335,"
140
","
75.2%
","
97.0%
","
6.52
","
B+ (3.63)
","
B+ (3.47)
"
"Zhiri, Oumelbanine","
MMW 13 - New Ideas & Cultural Encountrs (B)
",SP21,314,"
122
","
60.9%
","
79.1%
","
5.27
","
B+ (3.64)
","
B+ (3.66)
"
"Vitkus, Daniel J.","
MMW 13 - New Ideas & Cultural Encountrs (C)
",SP21,313,"
121
","
52.9%
","
64.7%
","
6.27
","
B+ (3.62)
","
B+ (3.49)
"
"Rahimi, Babak","
MMW 13 - New Ideas & Cultural Encountrs (A)
",SP20,383,"
184
","
62.1%
","
86.0%
","
6.22
","
B+ (3.46)
","
A- (3.77)
"
"Vitkus, Daniel J.","
MMW 13 - New Ideas & Cultural Encountrs (B)
",SP20,321,"
115
","
56.5%
","
88.9%
","
6.57
","
B+ (3.53)
","
B+ (3.61)
"
"Rahimi, Babak","
MMW 13 - New Ideas & Cultural Encountrs (C)
",SP20,382,"
141
","
52.6%
","
84.4%
","
7.39
","
B+ (3.49)
","
A- (3.73)
"
"Rahimi, Babak","
MMW 13 - New Ideas & Cultural Encountrs (A)
",SP19,360,"
230
","
55.3%
","
81.3%
","
5.75
","
B+ (3.41)
","
B+ (3.36)
"
"Chang, Edmond Yi-Teh","
MMW 13 - New Ideas & Cultural Encountrs (B)
",SP19,351,"
242
","
70.5%
","
95.0%
","
6.84
","
B (3.02)
","
B (3.02)
"
"Chang, Edmond Yi-Teh","
MMW 13 - New Ideas & Cultural Encountrs (C)
",SP19,346,"
239
","
58.7%
","
87.8%
","
6.40
","
B (3.04)
","
B (3.02)
"
