Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Herbst, Matthew","
MMW 14GS - Revolution, Industry & Empire (A)
",S119,18,"
9
","
100.0%
","
100.0%
","
6.94
","
B+ (3.56)
","
N/A
"
"Gallant, Thomas W.","
MMW 14GS - Revolution, Industry & Empire (A)
",S118,26,"
7
","
85.7%
","
100.0%
","
4.90
","
A (4.00)
","
A (4.00)
"
"Patterson, Patrick H.","
MMW 14GS - Revolution, Industry & Empire (A)
",S217,27,"
23
","
82.6%
","
100.0%
","
7.98
","
B+ (3.57)
","
N/A
"
"Herbst, Matthew","
MMW 14GS - Revolution, Industry & Empire (A)
",S117,23,"
21
","
95.2%
","
100.0%
","
6.50
","
B+ (3.67)
","
B+ (3.32)
"
"Gallant, Thomas W.","
MMW 14GS - Revolution, Industry & Empire (A)
",S116,26,"
6
","
100.0%
","
100.0%
","
7.83
","
A- (3.75)
","
A- (3.88)
"
"Patterson, Patrick H.","
MMW 14GS - Revolution, Industry & Empire (A)
",S215,23,"
21
","
85.7%
","
95.2%
","
5.93
","
B+ (3.62)
","
A- (3.73)
"
"Gallant, Thomas W.","
MMW 14GS - Revolution, Industry & Empire (A)
",S115,22,"
4
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
B+ (3.36)
"
"Gallant, Thomas W.","
MMW 14GS - Revolution, Industry & Empire (A)
",S114,25,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
A- (3.71)
"
"Herbst, Matthew","
MMW 14GS - Revolution, Industry & Empire (B)
",S114,15,"
15
","
86.7%
","
93.3%
","
8.23
","
B+ (3.33)
","
N/A
"
"Herbst, Matthew","
MMW 14GS - Revolution, Industry & Empire (A)
",S213,27,"
22
","
100.0%
","
100.0%
","
12.23
","
B+ (3.37)
","
B+ (3.44)
"
"Propp, William Henry","
MMW 14GS - Revolution, Industry & Empire (A)
",S213,28,"
3
","
100.0%
","
66.7%
","
5.83
","
B+ (3.33)
","
N/A
"
"Gallant, Thomas W.","
MMW 14GS - Revolution, Industry & Empire (A)
",S113,15,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Gallant, Thomas W.                 ","
MMW 14GS - Revolution, Industry & Empire  (A)
",S112,20,"
9
","
88.9%
","
100.0%
","
6.94
","
A- (3.75)
","
B+ (3.67)
"
"Herbst, Matthew                    ","
MMW 14GS - Revolution, Industry & Empire  (B)
",S112,25,"
24
","
100.0%
","
100.0%
","
9.00
","
B+ (3.50)
","
B+ (3.50)
"
"Cassedy, Steven Dennis             ","
MMW 14GS - Revolution,Industry & Empire   (A)
",S211,47,"
9
","
44.4%
","
88.9%
","
8.94
","
B- (2.89)
","
N/A
"
"Gallant, Thomas W.                 ","
MMW 14GS - Revolution, Industry & Empire  (A)
",S111,24,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Patterson, Patrick H.              ","
MMW 14GS - Revolution,Industry & Empire   (A)
",S111,69,"
29
","
79.3%
","
89.7%
","
11.74
","
B (3.14)
","
N/A
"
"Gallant, Thomas W.                 ","
MMW 14GS - Revolution,Industry & Empire   (A)
",WI11,158,"
89
","
69.7%
","
97.7%
","
6.48
","
B+ (3.39)
","
B (3.26)
"
"Chang, Edmond Yi-Teh               ","
MMW 14GS - Revolution,Industry & Empire   (B)
",WI11,294,"
174
","
75.3%
","
97.7%
","
6.60
","
B+ (3.35)
","
B (3.18)
"
"Cassedy, Steven Dennis             ","
MMW 14GS - Revolution,Industry & Empire   (D)
",WI11,174,"
76
","
57.9%
","
56.6%
","
5.94
","
B+ (3.42)
","
B+ (3.33)
"
"Cassedy, Steven Dennis             ","
MMW 14GS - Revolution,Industry & Empire   (A)
",SU10,93,"
21
","
57.9%
","
73.7%
","
6.92
","
B+ (3.33)
","
N/A
"
"Patterson, Patrick H.              ","
MMW 14GS - Revolution,Industry & Empire   (A)
",WI10,107,"
31
","
73.3%
","
93.3%
","
4.30
","
B+ (3.60)
","
B (3.25)
"
"Gallant, Thomas W.                 ","
MMW 14GS - Revolution,Industry & Empire   (C)
",WI10,270,"
114
","
76.3%
","
97.4%
","
5.10
","
B+ (3.42)
","
B (3.08)
"
"Chang, Edmond Yi-Teh               ","
MMW 14GS - Revolution,Industry & Empire   (D)
",WI10,304,"
111
","
82.7%
","
96.4%
","
5.81
","
B+ (3.50)
","
B (3.16)
"
"Cassedy, Steven Dennis             ","
MMW 14GS - Revolution,Industry & Empire   (A)
",SU09,121,"
34
","
58.8%
","
85.3%
","
5.97
","
B (3.27)
","
N/A
"
"Cassedy, Steven Dennis","
MMW 14GS - Revolution,Industry & Empire   (B)
",WI09,264,"
137
","
69.4%
","
76.1%
","
3.65
","
B+ (3.54)
","
B+ (3.51)
"
"Gallant, Thomas W.","
MMW 14GS - Revolution,Industry & Empire   (C)
",WI09,310,"
189
","
82.7%
","
96.2%
","
4.50
","
B+ (3.42)
","
B (3.08)
"
"Cassedy, Steven Dennis             ","
MMW 14GS - Revolution,Industry & Empire   (A)
",SU08,150,"
48
","
62.2%
","
95.7%
","
6.80
","
B+ (3.31)
","
N/A
"
"Cassedy, Steven Dennis        ","
MMW 14GS - Revolution,Industry & Empire   (A)
",WI08,143,"
80
","
63.6%
","
82.9%
","
4.65
","
B (3.18)
","
B- (2.84)
"
"Hollander, Ethan J.           ","
MMW 14GS - Revolution,Industry & Empire   (B)
",WI08,211,"
155
","
86.4%
","
91.5%
","
4.07
","
B+ (3.59)
","
B (3.04)
"
"Gallant, Thomas W.            ","
MMW 14GS - Revolution,Industry & Empire   (C)
",WI08,146,"
105
","
79.0%
","
96.0%
","
4.48
","
B (3.22)
","
C+ (2.63)
"
"O'Brien, William Arctander    ","
MMW 14GS - Revolution,Industry & Empire   (D)
",WI08,256,"
159
","
72.9%
","
84.4%
","
4.37
","
B+ (3.40)
","
B (3.05)
"
