Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP23,40,"
16
","
100.0%
","
86.7%
","
4.23
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI23,33,"
13
","
100.0%
","
91.7%
","
3.59
","
A (4.00)
","
A- (3.97)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA22,34,"
14
","
100.0%
","
78.6%
","
3.21
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP22,43,"
19
","
100.0%
","
89.5%
","
3.97
","
A (4.00)
","
A- (3.93)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI22,25,"
9
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA21,19,"
8
","
100.0%
","
100.0%
","
5.75
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP20,12,"
4
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI20,18,"
7
","
100.0%
","
100.0%
","
3.07
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA19,30,"
10
","
100.0%
","
100.0%
","
4.30
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP19,21,"
17
","
94.1%
","
100.0%
","
4.75
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI19,23,"
12
","
88.9%
","
100.0%
","
3.50
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA18,20,"
11
","
100.0%
","
100.0%
","
4.50
","
A- (3.91)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP18,24,"
7
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI18,28,"
10
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA17,28,"
8
","
100.0%
","
83.3%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP17,31,"
13
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI17,33,"
14
","
100.0%
","
92.3%
","
5.12
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA16,29,"
15
","
100.0%
","
100.0%
","
2.35
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP16,30,"
9
","
100.0%
","
88.9%
","
2.28
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI16,34,"
17
","
100.0%
","
93.3%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA15,30,"
7
","
100.0%
","
100.0%
","
1.64
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP15,31,"
10
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI15,29,"
9
","
100.0%
","
88.9%
","
2.28
","
A (4.00)
","
A (4.00)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",SP14,37,"
9
","
100.0%
","
100.0%
","
2.75
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos","
MUS 130 - Chamber Music Performance (A)
",WI14,26,"
9
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",WI14,26,"
11
","
100.0%
","
100.0%
","
4.10
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos","
MUS 130 - Chamber Music Performance (A)
",FA13,15,"
5
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Negyesy, Janos","
MUS 130 - Chamber Music Performance (A)
",WI13,22,"
12
","
100.0%
","
100.0%
","
2.86
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos","
MUS 130 - Chamber Music Performance (A)
",FA12,32,"
13
","
100.0%
","
92.3%
","
2.81
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                     ","
MUS 130 - Chamber Music Performance      (A)
",FA10,41,"
22
","
100.0%
","
100.0%
","
3.59
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                     ","
MUS 130 - Chamber Music Performance      (A)
",SP10,43,"
23
","
100.0%
","
100.0%
","
3.98
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                     ","
MUS 130 - Chamber Music Performance      (A)
",WI10,39,"
22
","
100.0%
","
100.0%
","
3.68
","
A (4.00)
","
A- (3.97)
"
"Negyesy, Janos                     ","
MUS 130 - Chamber Music Performance      (A)
",FA09,41,"
35
","
100.0%
","
100.0%
","
3.21
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                     ","
MUS 130 - Chamber Music Performance      (A)
",SP09,31,"
29
","
100.0%
","
100.0%
","
2.98
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos","
MUS 130 - Chamber Music Performance      (A)
",WI09,28,"
27
","
100.0%
","
100.0%
","
3.98
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                     ","
MUS 130 - Chamber Music Performance      (A)
",FA08,35,"
25
","
100.0%
","
100.0%
","
3.92
","
A (4.00)
","
A- (3.97)
"
"Negyesy, Janos                ","
MUS 130 - Chamber Music Performance      (A)
",SP08,30,"
26
","
100.0%
","
100.0%
","
4.04
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                ","
MUS 130 - Chamber Music Performance      (A)
",WI08,32,"
29
","
100.0%
","
100.0%
","
6.20
","
A (4.00)
","
A (4.00)
"
"Negyesy, Janos                ","
MUS 130 - Chamber Music Performance      (A)
",FA07,34,"
35
","
100.0%
","
97.1%
","
5.19
","
A- (3.92)
","
A (4.00)
"
