Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guy, Nancy","
MUS 13AS - World Music/Asia and Oceania (A)
",S216,26,"
10
","
90.0%
","
90.0%
","
4.70
","
A- (3.71)
","
A- (3.70)
"
"Guy, Nancy","
MUS 13AS - World Music/Asia and Oceania (A)
",SP16,133,"
41
","
86.1%
","
88.9%
","
2.09
","
A- (3.88)
","
B+ (3.58)
"
"Jung, Eun-Young","
MUS 13AS - World Music/Asia and Oceania (A)
",SP15,89,"
68
","
89.6%
","
89.6%
","
3.65
","
B+ (3.64)
","
B (3.05)
"
"Chen, Carolyn","
MUS 13AS - World Music/Asia and Oceania (A)
",SP14,175,"
123
","
75.6%
","
60.2%
","
3.21
","
B+ (3.43)
","
B+ (3.47)
"
"Allen, Andrew Stewart","
MUS 13AS - World Music/Asia and Oceania (A)
",FA12,198,"
175
","
81.3%
","
89.5%
","
2.85
","
B+ (3.50)
","
A- (3.81)
"
"Allen, Andrew Stewart              ","
MUS 13AS - World Music/Asia and Oceania   (A)
",S112,35,"
31
","
96.8%
","
96.8%
","
4.24
","
A- (3.74)
","
B+ (3.53)
"
"Allen, Andrew Stewart              ","
MUS 13AS - World Music/Asia and Oceania   (A)
",FA11,182,"
87
","
71.3%
","
86.2%
","
3.10
","
B+ (3.69)
","
B (3.24)
"
"Jung, Eun-Young                    ","
MUS 13AS - World Music/Asia and Oceania   (A)
",SP11,191,"
162
","
88.8%
","
86.9%
","
3.03
","
B+ (3.68)
","
B+ (3.39)
"
"DeHart, Justin W                   ","
MUS 13AS - World Music/Asia and Oceania   (A)
",SU10,30,"
8
","
87.5%
","
100.0%
","
6.00
","
B+ (3.57)
","
N/A
"
"Jung, Eun-Young                    ","
MUS 13AS - World Music/Asia and Oceania   (A)
",FA09,183,"
117
","
90.6%
","
90.6%
","
2.76
","
A- (3.75)
","
B+ (3.44)
"
"DeHart, Justin W                   ","
MUS 13AS - World Music/Asia and Oceania   (A)
",SU09,24,"
9
","
77.8%
","
100.0%
","
4.06
","
A- (3.71)
","
N/A
"
"Khalil, Alexander K.","
MUS 13AS - World Music/Asia and Oceania   (A)
",WI09,184,"
120
","
87.1%
","
96.6%
","
2.43
","
A- (3.76)
","
A- (3.71)
"
"Guy, Nancy                    ","
MUS 13AS - World Music/Asia and Oceania   (A)
",FA07,192,"
99
","
93.8%
","
94.9%
","
2.68
","
A- (3.75)
","
B+ (3.55)
"
