Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Britt, King James","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI23,32,"
6
","
100.0%
","
100.0%
","
9.17
","
A (4.00)
","
A- (3.77)
"
"Britt, King James","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI22,24,"
9
","
100.0%
","
100.0%
","
10.28
","
B+ (3.67)
","
A- (3.89)
"
"Britt, King James","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",SP21,17,"
5
","
100.0%
","
100.0%
","
9.30
","
B+ (3.60)
","
N/A
"
"Britt, King James","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI21,25,"
15
","
100.0%
","
100.0%
","
5.83
","
B+ (3.67)
","
A- (3.81)
"
"Britt, King James","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI20,25,"
4
","
75.0%
","
100.0%
","
5.17
","
A (4.00)
","
A (4.00)
"
"Burr, Anthony I","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI19,26,"
8
","
100.0%
","
100.0%
","
4.25
","
A- (3.88)
","
B+ (3.68)
"
"Erbe, Tom","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI18,24,"
8
","
100.0%
","
100.0%
","
4.25
","
A- (3.88)
","
A- (3.79)
"
"Erbe, Tom","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI17,28,"
14
","
100.0%
","
100.0%
","
6.33
","
A- (3.92)
","
A- (3.82)
"
"Erbe, Tom","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI15,21,"
7
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
A- (3.97)
"
"Erbe, Tom","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI14,22,"
10
","
100.0%
","
100.0%
","
6.90
","
A- (3.89)
","
A- (3.85)
"
"Erbe, Tom","
MUS 174B - Audio&MIDI StudioTechniques II (A)
",WI13,27,"
12
","
91.7%
","
91.7%
","
8.17
","
A (4.00)
","
A- (3.76)
"
