Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA22,16,"
5
","
100.0%
","
100.0%
","
3.30
","
B+ (3.60)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA21,6,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.33)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (C)
",FA21,11,"
7
","
100.0%
","
100.0%
","
2.83
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA20,12,"
6
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA20,13,"
6
","
100.0%
","
100.0%
","
2.90
","
A- (3.80)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA19,12,"
5
","
80.0%
","
100.0%
","
2.90
","
A- (3.80)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA19,12,"
3
","
100.0%
","
100.0%
","
2.50
","
B+ (3.50)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (C)
",FA19,13,"
5
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA18,14,"
5
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA18,11,"
5
","
100.0%
","
100.0%
","
2.90
","
A- (3.80)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (C)
",FA18,7,"
4
","
100.0%
","
100.0%
","
1.00
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA17,11,"
7
","
100.0%
","
100.0%
","
2.50
","
A- (3.86)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA17,14,"
7
","
100.0%
","
80.0%
","
1.70
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (C)
",FA17,9,"
4
","
100.0%
","
75.0%
","
2.50
","
A- (3.75)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (D)
",FA17,6,"
4
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA16,15,"
8
","
100.0%
","
85.7%
","
3.07
","
A- (3.86)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (C)
",FA16,10,"
5
","
100.0%
","
100.0%
","
5.70
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (A)
",FA15,8,"
4
","
100.0%
","
100.0%
","
4.00
","
B (3.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA15,11,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (C)
",FA15,10,"
4
","
100.0%
","
75.0%
","
2.00
","
B+ (3.50)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA14,7,"
4
","
75.0%
","
75.0%
","
3.50
","
B+ (3.67)
","
N/A
"
"Ohnishi, Takae","
MUS 2AK - Basic Keyboard (B)
",FA13,6,"
4
","
100.0%
","
75.0%
","
3.50
","
A (4.00)
","
N/A
"
"Blair, Kyle Adam","
MUS 2AK - Basic Keyboard (A)
",FA12,8,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Blair, Kyle Adam","
MUS 2AK - Basic Keyboard (C)
",FA12,4,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2AK - Basic Keyboard                 (A)
",FA11,9,"
4
","
100.0%
","
100.0%
","
8.00
","
B+ (3.67)
","
N/A
"
