Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI23,10,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (B)
",WI23,15,"
3
","
66.7%
","
66.7%
","
3.83
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI22,9,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI21,16,"
9
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (B)
",WI21,8,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI20,15,"
7
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (B)
",WI20,15,"
4
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI19,11,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI18,10,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI17,11,"
4
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI16,11,"
8
","
100.0%
","
100.0%
","
3.07
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (A)
",WI15,7,"
3
","
100.0%
","
50.0%
","
9.50
","
B+ (3.50)
","
N/A
"
"Ohnishi, Takae","
MUS 2BK - Basic Keyboard (B)
",WI14,6,"
5
","
100.0%
","
100.0%
","
2.90
","
A- (3.80)
","
N/A
"
"Blair, Kyle Adam","
MUS 2BK - Basic Keyboard (A)
",WI13,8,"
5
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
N/A
"
"Blair, Kyle Adam","
MUS 2BK - Basic Keyboard (B)
",WI13,5,"
3
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (A)
",WI12,7,"
4
","
75.0%
","
75.0%
","
3.50
","
B+ (3.50)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (B)
",WI12,8,"
3
","
66.7%
","
100.0%
","
9.17
","
B+ (3.33)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (C)
",WI12,9,"
6
","
100.0%
","
66.7%
","
5.50
","
B+ (3.33)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (A)
",WI11,14,"
9
","
88.9%
","
77.8%
","
3.75
","
B+ (3.67)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (B)
",WI11,11,"
6
","
83.3%
","
83.3%
","
4.83
","
A- (3.83)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (D)
",WI11,9,"
4
","
75.0%
","
75.0%
","
3.50
","
A- (3.75)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (A)
",WI10,12,"
6
","
100.0%
","
100.0%
","
5.17
","
A- (3.80)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (B)
",WI10,10,"
5
","
60.0%
","
80.0%
","
2.50
","
B+ (3.60)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (C)
",WI10,10,"
10
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2BK - Basic Keyboard                 (D)
",WI10,10,"
7
","
71.4%
","
100.0%
","
1.93
","
A- (3.86)
","
N/A
"
