Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP21,14,"
5
","
100.0%
","
100.0%
","
3.70
","
A- (3.80)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (B)
",SP21,5,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP20,13,"
8
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP19,7,"
5
","
100.0%
","
100.0%
","
2.10
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP18,12,"
4
","
100.0%
","
100.0%
","
5.83
","
B+ (3.67)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP17,11,"
6
","
100.0%
","
100.0%
","
2.10
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (B)
",SP17,6,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP16,13,"
9
","
87.5%
","
87.5%
","
2.50
","
A (4.00)
","
N/A
"
"Ohnishi, Takae","
MUS 2CK - Basic Keyboard (A)
",SP15,8,"
3
","
66.7%
","
33.3%
","
6.50
","
B+ (3.67)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2CK - Basic Keyboard                 (B)
",SP12,11,"
4
","
75.0%
","
75.0%
","
4.00
","
A- (3.75)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2CK - Basic Keyboard                 (A)
",SP11,15,"
11
","
90.0%
","
90.0%
","
1.90
","
A- (3.91)
","
N/A
"
"Nguyen, Brendan D                  ","
MUS 2CK - Basic Keyboard                 (A)
",SP10,21,"
9
","
75.0%
","
100.0%
","
2.75
","
A (4.00)
","
A (4.00)
"
"Nguyen, Brendan D                  ","
MUS 2CK - Basic Keyboard                 (B)
",SP10,10,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Fried, William N                   ","
MUS 2CK - Basic Keyboard                 (A)
",SP09,8,"
7
","
100.0%
","
100.0%
","
2.21
","
A- (3.83)
","
N/A
"
"Fried, William N                   ","
MUS 2CK - Basic Keyboard                 (B)
",SP09,9,"
7
","
57.1%
","
71.4%
","
1.50
","
B+ (3.43)
","
N/A
"
"Lukacs, Katalin               ","
MUS 2CK - Basic Keyboard                 (A)
",SP08,18,"
15
","
85.7%
","
78.6%
","
3.79
","
B+ (3.69)
","
N/A
"
