Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Liang, Lei","
MUS 33A - Introduction to Composition I (A)
",FA22,13,"
10
","
90.0%
","
90.0%
","
4.70
","
A- (3.89)
","
N/A
"
"Liang, Lei","
MUS 33A - Introduction to Composition I (A)
",FA21,15,"
7
","
100.0%
","
100.0%
","
5.07
","
A (4.00)
","
N/A
"
"Davis, Anthony Curtis","
MUS 33A - Introduction to Composition I (A)
",FA20,11,"
4
","
75.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Liang, Lei","
MUS 33A - Introduction to Composition I (A)
",FA19,15,"
12
","
91.7%
","
91.7%
","
5.67
","
A- (3.91)
","
N/A
"
"Liang, Lei","
MUS 33A - Introduction to Composition I (A)
",FA18,21,"
9
","
77.8%
","
88.9%
","
6.50
","
A- (3.89)
","
A- (3.91)
"
"Liang, Lei","
MUS 33A - Introduction to Composition I (A)
",FA17,18,"
12
","
100.0%
","
100.0%
","
4.67
","
A- (3.90)
","
N/A
"
"Hsieh, Huihsin","
MUS 33A - Introduction to Composition I (A)
",FA16,6,"
4
","
75.0%
","
75.0%
","
5.00
","
A- (3.75)
","
N/A
"
"Flores Lazcano, Marcelo Aleja","
MUS 33A - Introduction to Composition I (A)
",FA15,12,"
4
","
75.0%
","
75.0%
","
5.50
","
B+ (3.50)
","
N/A
"
"Lewis, Stephen E","
MUS 33A - Introduction to Composition I (A)
",FA13,8,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Wu, Yiheng Yvonne","
MUS 33A - Introduction to Composition I (A)
",FA12,10,"
10
","
100.0%
","
90.0%
","
6.94
","
B+ (3.56)
","
N/A
"
"Tsao, Ming Yuan                    ","
MUS 33A - Introduction to Composition    (A)
",FA08,10,"
8
","
87.5%
","
75.0%
","
5.25
","
A- (3.88)
","
N/A
"
"Wilson, Adam J                ","
MUS 33A - Introduction to Composition    (A)
",SP08,20,"
18
","
100.0%
","
100.0%
","
4.28
","
A- (3.78)
","
A (4.00)
"
