Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Sussman, Diana Wald","
MUS 95C - Concert Choir (B)
",FA22,32,"
7
","
100.0%
","
100.0%
","
2.50
","
A- (3.83)
","
A- (3.85)
"
"Sussman, Diana Wald","
MUS 95C - Concert Choir (A)
",SP21,12,"
6
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Sussman, Diana Wald","
MUS 95C - Concert Choir (A)
",WI21,13,"
8
","
100.0%
","
100.0%
","
6.25
","
A- (3.88)
","
N/A
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",SP20,29,"
6
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
A- (3.86)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",SP20,30,"
9
","
100.0%
","
100.0%
","
1.00
","
A (4.00)
","
A- (3.87)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",FA19,28,"
9
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
A- (3.84)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",FA19,28,"
10
","
100.0%
","
100.0%
","
2.70
","
A- (3.88)
","
A- (3.99)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",WI19,28,"
7
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",WI19,29,"
12
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",FA18,35,"
16
","
92.9%
","
92.9%
","
1.07
","
A- (3.92)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",FA18,36,"
8
","
100.0%
","
100.0%
","
0.75
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",SP18,27,"
6
","
100.0%
","
100.0%
","
1.50
","
A- (3.80)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",SP18,27,"
8
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",WI18,29,"
9
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",WI18,29,"
7
","
100.0%
","
100.0%
","
0.79
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",FA17,29,"
15
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
A- (3.94)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",FA17,31,"
12
","
100.0%
","
100.0%
","
3.23
","
A- (3.88)
","
A- (3.94)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",SP17,30,"
7
","
100.0%
","
100.0%
","
1.07
","
A (4.00)
","
A- (3.90)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (B)
",SP17,31,"
12
","
100.0%
","
100.0%
","
0.90
","
A- (3.92)
","
A- (3.90)
"
"Larson, Philip Clarion","
MUS 95C - Concert Choir (A)
",FA16,52,"
22
","
100.0%
","
100.0%
","
1.59
","
A (4.00)
","
A- (3.93)
"
