Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",SP23,14,"
5
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",WI23,12,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Burr, Anthony I","
MUS 95D - Symphonic Chorus (A)
",FA22,6,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",WI20,7,"
3
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",FA19,13,"
7
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",SP19,15,"
4
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",WI19,14,"
7
","
100.0%
","
100.0%
","
1.07
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",FA18,17,"
8
","
100.0%
","
100.0%
","
0.75
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",SP18,12,"
7
","
85.7%
","
85.7%
","
1.93
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",WI18,13,"
9
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95D - Symphonic Chorus (A)
",FA17,13,"
8
","
100.0%
","
100.0%
","
1.25
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",WI17,8,"
4
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",FA16,6,"
3
","
100.0%
","
100.0%
","
3.17
","
N/A
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",SP16,9,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",WI16,8,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",WI15,8,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",FA14,7,"
3
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",SP14,12,"
4
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",WI14,10,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",WI13,8,"
4
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Chase, David Allen","
MUS 95D - Symphonic Chorus (A)
",FA12,13,"
5
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
N/A
"
