Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Taylor, Alexander Lawther","
MUS 95E - Chamber Orchestra (A)
",SP23,57,"
33
","
100.0%
","
100.0%
","
2.64
","
A (4.00)
","
A (4.00)
"
"Taylor, Alexander Lawther","
MUS 95E - Chamber Orchestra (B)
",WI23,56,"
29
","
100.0%
","
100.0%
","
2.36
","
A (4.00)
","
A (4.00)
"
"Taylor, Alexander Lawther","
MUS 95E - Chamber Orchestra (A)
",FA22,49,"
27
","
100.0%
","
100.0%
","
2.06
","
A (4.00)
","
A (4.00)
"
"Carlson, Erik Norman","
MUS 95E - Chamber Orchestra (A)
",SP22,38,"
12
","
100.0%
","
100.0%
","
1.67
","
A (4.00)
","
A (4.00)
"
"Carlson, Erik Norman","
MUS 95E - Chamber Orchestra (A)
",WI22,22,"
13
","
100.0%
","
100.0%
","
2.04
","
A (4.00)
","
A (4.00)
"
"Carlson, Erik Norman","
MUS 95E - Chamber Orchestra (A)
",FA21,23,"
16
","
93.8%
","
100.0%
","
1.13
","
A (4.00)
","
A (4.00)
"
"Carlson, Erik Norman","
MUS 95E - Chamber Orchestra (A)
",SP21,4,"
3
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",FA20,13,"
6
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",SP20,26,"
13
","
100.0%
","
100.0%
","
4.96
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",WI20,41,"
18
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",FA19,46,"
28
","
100.0%
","
100.0%
","
3.69
","
A- (3.95)
","
A- (3.99)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",SP19,27,"
17
","
100.0%
","
100.0%
","
2.88
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",WI19,24,"
16
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",FA18,26,"
13
","
92.3%
","
100.0%
","
3.27
","
A (4.00)
","
A- (3.97)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",SP18,36,"
16
","
100.0%
","
92.9%
","
2.90
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",WI18,33,"
19
","
100.0%
","
100.0%
","
1.66
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",FA17,39,"
22
","
100.0%
","
100.0%
","
3.26
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",SP17,34,"
19
","
100.0%
","
94.7%
","
2.72
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",WI17,28,"
12
","
100.0%
","
100.0%
","
3.77
","
A (4.00)
","
A (4.00)
"
"Kline, Matthew John","
MUS 95E - Chamber Orchestra (A)
",FA16,18,"
11
","
100.0%
","
100.0%
","
2.70
","
A (4.00)
","
N/A
"
"Liang, Lei","
MUS 95E - Chamber Orchestra (A)
",SP16,14,"
5
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95E - Chamber Orchestra (A)
",WI16,16,"
8
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Schick, Steven","
MUS 95E - Chamber Orchestra (A)
",FA15,19,"
4
","
100.0%
","
100.0%
","
7.00
","
A (4.00)
","
N/A
"
"Hepfer, Jonathan D","
MUS 95E - Chamber Orchestra (A)
",SP15,24,"
11
","
100.0%
","
100.0%
","
2.70
","
A (4.00)
","
A (4.00)
"
"Hepfer, Jonathan D","
MUS 95E - Chamber Orchestra (A)
",WI15,22,"
11
","
100.0%
","
100.0%
","
3.10
","
A (4.00)
","
A (4.00)
"
"Hepfer, Jonathan D","
MUS 95E - Chamber Orchestra (A)
",FA14,19,"
11
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Medine, David E","
MUS 95E - Chamber Orchestra (A)
",SP14,24,"
9
","
100.0%
","
88.9%
","
4.72
","
A (4.00)
","
A (4.00)
"
"Medine, David E","
MUS 95E - Chamber Orchestra (A)
",WI14,25,"
11
","
100.0%
","
100.0%
","
3.90
","
A (4.00)
","
A (4.00)
"
"Medine, David E","
MUS 95E - Chamber Orchestra (A)
",FA13,26,"
12
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Medine, David E","
MUS 95E - Chamber Orchestra (A)
",SP13,34,"
13
","
84.6%
","
84.6%
","
3.27
","
A (4.00)
","
A (4.00)
"
"Medine, David E","
MUS 95E - Chamber Orchestra (A)
",WI13,28,"
13
","
91.7%
","
91.7%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Medine, David E","
MUS 95E - Chamber Orchestra (A)
",FA12,25,"
10
","
100.0%
","
90.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
