Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",SP23,192,"
66
","
98.3%
","
100.0%
","
1.29
","
A- (3.91)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",SP23,89,"
20
","
100.0%
","
100.0%
","
1.60
","
A- (3.75)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",WI23,152,"
47
","
97.8%
","
97.8%
","
1.37
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",WI23,74,"
29
","
96.3%
","
100.0%
","
1.07
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",FA22,168,"
56
","
100.0%
","
100.0%
","
1.72
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",FA22,84,"
31
","
93.5%
","
96.8%
","
1.60
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",SP22,335,"
88
","
97.6%
","
97.6%
","
1.51
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",SP22,178,"
59
","
96.4%
","
96.4%
","
1.43
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",WI22,378,"
118
","
99.1%
","
100.0%
","
2.06
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",WI22,210,"
71
","
98.5%
","
100.0%
","
1.75
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",FA21,312,"
101
","
99.0%
","
100.0%
","
1.44
","
A- (3.96)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",FA21,185,"
73
","
97.1%
","
98.5%
","
1.69
","
A- (3.90)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",SP21,247,"
65
","
100.0%
","
100.0%
","
1.61
","
A- (3.86)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",SP21,86,"
23
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",WI21,174,"
52
","
100.0%
","
98.0%
","
1.79
","
B+ (3.64)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",WI21,66,"
12
","
100.0%
","
100.0%
","
2.67
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",FA20,155,"
40
","
100.0%
","
100.0%
","
1.34
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (B)
",FA20,44,"
15
","
100.0%
","
100.0%
","
2.37
","
A (4.00)
","
N/A
"
"Anderson, Kenneth","
MUS 95G - Gospel Choir (A)
",SP20,176,"
54
","
98.1%
","
98.1%
","
1.58
","
A (4.00)
","
N/A
"
