Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP23,28,"
10
","
100.0%
","
100.0%
","
2.72
","
A (4.00)
","
A- (3.89)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI23,30,"
10
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA22,27,"
9
","
100.0%
","
100.0%
","
2.94
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP22,27,"
9
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI22,24,"
5
","
100.0%
","
100.0%
","
1.00
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA21,24,"
10
","
100.0%
","
100.0%
","
2.75
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI21,6,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA20,9,"
5
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP20,20,"
9
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI20,24,"
10
","
90.0%
","
90.0%
","
2.94
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA19,22,"
9
","
100.0%
","
100.0%
","
3.64
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP19,18,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI19,22,"
10
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA18,16,"
7
","
100.0%
","
100.0%
","
2.17
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP18,24,"
6
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI18,17,"
8
","
100.0%
","
100.0%
","
3.64
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA17,17,"
6
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP17,18,"
7
","
100.0%
","
100.0%
","
3.64
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI17,20,"
9
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA16,15,"
9
","
100.0%
","
100.0%
","
2.28
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP16,26,"
7
","
100.0%
","
100.0%
","
2.83
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI16,22,"
10
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA15,21,"
11
","
100.0%
","
100.0%
","
2.28
","
A- (3.88)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP15,16,"
5
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI15,18,"
5
","
100.0%
","
100.0%
","
6.90
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA14,17,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI14,13,"
6
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",FA13,15,"
8
","
100.0%
","
100.0%
","
3.75
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",SP13,13,"
8
","
100.0%
","
100.0%
","
3.25
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles (A)
",WI13,12,"
6
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",SP12,17,"
8
","
100.0%
","
100.0%
","
2.75
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",WI12,19,"
12
","
100.0%
","
100.0%
","
3.33
","
A- (3.90)
","
N/A
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",FA11,14,"
8
","
100.0%
","
100.0%
","
1.36
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",SP11,22,"
13
","
100.0%
","
100.0%
","
2.65
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",WI11,23,"
9
","
100.0%
","
100.0%
","
3.39
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",FA10,19,"
10
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",SP10,24,"
11
","
90.9%
","
100.0%
","
4.32
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",WI10,16,"
5
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
N/A
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",FA09,21,"
16
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
A- (3.93)
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",SP09,22,"
11
","
90.0%
","
80.0%
","
3.23
","
A (4.00)
","
A- (3.94)
"
"Kenyatta, Kamau","
MUS 95JC - Jazz Chamber Ensembles         (A)
",WI09,21,"
17
","
100.0%
","
94.1%
","
3.79
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau                    ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",FA08,20,"
16
","
100.0%
","
100.0%
","
5.63
","
A (4.00)
","
A (4.00)
"
"Kenyatta, Kamau               ","
MUS 95JC - Jazz Chamber Ensembles         (A)
",SP08,23,"
17
","
100.0%
","
100.0%
","
3.88
","
A (4.00)
","
A (4.00)
"
