Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Jones, Michael David","
MUS 95L - Wind Ensemble (A)
",SP23,46,"
26
","
100.0%
","
100.0%
","
2.67
","
A (4.00)
","
A (4.00)
"
"Jones, Michael David","
MUS 95L - Wind Ensemble (A)
",WI23,48,"
21
","
100.0%
","
95.2%
","
2.02
","
A (4.00)
","
A (4.00)
"
"Jones, Michael David","
MUS 95L - Wind Ensemble (A)
",FA22,46,"
22
","
100.0%
","
100.0%
","
2.05
","
A (4.00)
","
N/A
"
"Jones, Michael David","
MUS 95L - Wind Ensemble (A)
",SP22,46,"
15
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
A (4.00)
"
"Jones, Michael David","
MUS 95L - Wind Ensemble (A)
",WI22,41,"
18
","
100.0%
","
100.0%
","
1.13
","
A (4.00)
","
A (4.00)
"
"Jones, Michael David","
MUS 95L - Wind Ensemble (A)
",FA21,45,"
21
","
100.0%
","
95.2%
","
1.26
","
A (4.00)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",SP20,15,"
8
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",WI20,35,"
18
","
100.0%
","
100.0%
","
2.06
","
A (4.00)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",FA19,32,"
15
","
100.0%
","
100.0%
","
2.37
","
A (4.00)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",SP19,46,"
27
","
100.0%
","
100.0%
","
2.57
","
A (4.00)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",WI19,46,"
24
","
100.0%
","
100.0%
","
2.76
","
A- (3.95)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",FA18,39,"
25
","
100.0%
","
100.0%
","
2.42
","
A- (3.95)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",SP18,38,"
19
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",WI18,28,"
14
","
100.0%
","
100.0%
","
2.19
","
A (4.00)
","
A (4.00)
"
"Beauton, James Alan","
MUS 95L - Wind Ensemble (A)
",FA17,28,"
12
","
100.0%
","
100.0%
","
1.77
","
A (4.00)
","
A (4.00)
"
"Blair, Kyle Adam","
MUS 95L - Wind Ensemble (A)
",SP17,27,"
8
","
100.0%
","
100.0%
","
2.25
","
A- (3.80)
","
A (4.00)
"
"Blair, Kyle Adam","
MUS 95L - Wind Ensemble (A)
",WI17,39,"
23
","
100.0%
","
95.5%
","
2.02
","
A (4.00)
","
A (4.00)
"
"Blair, Kyle Adam","
MUS 95L - Wind Ensemble (A)
",FA16,39,"
20
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
A (4.00)
"
"Gilmer, William","
MUS 95L - Wind Ensemble (A)
",SP16,46,"
23
","
100.0%
","
100.0%
","
1.14
","
A (4.00)
","
A- (3.90)
"
"Gilmer, William","
MUS 95L - Wind Ensemble (A)
",WI16,33,"
15
","
100.0%
","
100.0%
","
3.03
","
A (4.00)
","
A- (3.97)
"
"Gilmer, William","
MUS 95L - Wind Ensemble (A)
",FA15,27,"
13
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",SP15,28,"
8
","
100.0%
","
100.0%
","
1.25
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",WI15,42,"
22
","
100.0%
","
100.0%
","
1.24
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",FA14,39,"
13
","
100.0%
","
100.0%
","
1.12
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",SP14,29,"
13
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",WI14,28,"
16
","
100.0%
","
100.0%
","
1.12
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",FA13,35,"
14
","
100.0%
","
100.0%
","
2.35
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",SP13,48,"
19
","
100.0%
","
100.0%
","
1.68
","
A (4.00)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",WI13,39,"
19
","
100.0%
","
100.0%
","
2.28
","
A- (3.93)
","
A (4.00)
"
"Zelickman, Robert A","
MUS 95L - Wind Ensemble (A)
",FA12,35,"
22
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
