Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP23,26,"
6
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP23,23,"
6
","
83.3%
","
83.3%
","
1.70
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI23,32,"
5
","
100.0%
","
80.0%
","
2.10
","
A (4.00)
","
A- (3.88)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",WI23,11,"
4
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",FA22,42,"
11
","
88.9%
","
88.9%
","
3.00
","
A (4.00)
","
A- (3.91)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",FA22,13,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP22,60,"
11
","
100.0%
","
90.9%
","
5.41
","
A- (3.90)
","
A- (3.82)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP22,35,"
9
","
88.9%
","
77.8%
","
2.00
","
A (4.00)
","
A- (3.96)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI22,25,"
9
","
88.9%
","
88.9%
","
3.39
","
A- (3.89)
","
A- (3.91)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",FA21,44,"
17
","
82.4%
","
82.4%
","
1.68
","
A- (3.93)
","
A- (3.87)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP21,43,"
17
","
94.1%
","
94.1%
","
3.09
","
A (4.00)
","
A- (3.86)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP21,18,"
7
","
100.0%
","
100.0%
","
2.21
","
A (4.00)
","
N/A
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI21,28,"
6
","
100.0%
","
100.0%
","
2.17
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",WI21,38,"
8
","
100.0%
","
100.0%
","
2.00
","
A- (3.88)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",FA20,59,"
14
","
100.0%
","
100.0%
","
2.64
","
A (4.00)
","
A- (3.79)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",FA20,28,"
9
","
100.0%
","
88.9%
","
4.72
","
A (4.00)
","
A- (3.80)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP20,61,"
13
","
100.0%
","
100.0%
","
1.83
","
A- (3.92)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP20,37,"
5
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI20,32,"
3
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",WI20,53,"
11
","
100.0%
","
100.0%
","
4.28
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",FA19,56,"
23
","
100.0%
","
100.0%
","
3.11
","
A- (3.91)
","
A- (3.96)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",FA19,30,"
15
","
93.3%
","
93.3%
","
2.23
","
A (4.00)
","
A- (3.82)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP19,60,"
11
","
100.0%
","
100.0%
","
1.64
","
A- (3.80)
","
B+ (3.54)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP19,35,"
10
","
87.5%
","
87.5%
","
1.50
","
A (4.00)
","
B+ (3.54)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI19,27,"
7
","
100.0%
","
85.7%
","
2.21
","
A- (3.86)
","
A- (3.97)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",WI19,56,"
8
","
85.7%
","
85.7%
","
2.79
","
A- (3.71)
","
A- (3.97)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",FA18,61,"
13
","
90.9%
","
90.9%
","
1.41
","
A (4.00)
","
A- (3.75)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",FA18,33,"
5
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
A- (3.75)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP18,59,"
14
","
91.7%
","
83.3%
","
2.50
","
A (4.00)
","
B+ (3.55)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP18,35,"
5
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
B+ (3.55)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI18,30,"
8
","
100.0%
","
100.0%
","
1.64
","
A (4.00)
","
A- (3.88)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",WI18,55,"
11
","
90.9%
","
90.0%
","
5.77
","
A- (3.91)
","
A- (3.88)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",FA17,56,"
17
","
100.0%
","
93.8%
","
1.21
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",FA17,31,"
10
","
100.0%
","
90.0%
","
3.10
","
A- (3.80)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",SP17,57,"
10
","
88.9%
","
77.8%
","
1.75
","
A (4.00)
","
B+ (3.59)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",SP17,31,"
6
","
100.0%
","
100.0%
","
2.50
","
A- (3.80)
","
B+ (3.59)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (A)
",WI17,34,"
10
","
88.9%
","
88.9%
","
4.50
","
A (4.00)
","
A (4.00)
"
"Seshadri, Kartik","
MUS 95W - World Music Ensembles (B)
",WI17,46,"
16
","
100.0%
","
100.0%
","
2.19
","
A (4.00)
","
A (4.00)
"
