Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",FA21,20,"
13
","
91.7%
","
100.0%
","
12.00
","
A- (3.75)
","
A- (3.72)
"
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",SP21,6,"
3
","
66.7%
","
100.0%
","
15.83
","
A (4.00)
","
N/A
"
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI20,11,"
7
","
66.7%
","
83.3%
","
8.50
","
B (3.17)
","
N/A
"
"Cubukcu, Ertugrul","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI19,22,"
9
","
88.9%
","
88.9%
","
7.83
","
A- (3.78)
","
B+ (3.63)
"
"Cubukcu, Ertugrul","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI18,20,"
6
","
100.0%
","
100.0%
","
6.90
","
A- (3.83)
","
A- (3.79)
"
"Cubukcu, Ertugrul","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI17,27,"
11
","
100.0%
","
90.9%
","
8.70
","
B (3.27)
","
B+ (3.57)
"
"Horvath, Stephen","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI17,26,"
11
","
100.0%
","
100.0%
","
8.50
","
B (3.27)
","
B+ (3.57)
"
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",FA15,14,"
4
","
100.0%
","
100.0%
","
7.00
","
A- (3.75)
","
N/A
"
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI15,24,"
15
","
100.0%
","
100.0%
","
8.21
","
B+ (3.50)
","
B+ (3.34)
"
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",FA14,13,"
3
","
100.0%
","
100.0%
","
7.83
","
B+ (3.67)
","
N/A
"
"Vecchio, Kenneth S","
NANO 100L - Physical Prop.of Materials Lab (A)
",WI14,26,"
10
","
100.0%
","
100.0%
","
5.90
","
A- (3.90)
","
A- (3.86)
"
