Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vecchio, Kenneth S","
NANO 120B - NanoEng Systems Design II (B)
",SP23,13,"
3
","
100.0%
","
100.0%
","
9.83
","
A (4.00)
","
N/A
"
"Ong, Shyue Ping","
NANO 120B - NanoEng Systems Design II (C)
",SP23,17,"
6
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Pokorski, Jonathan Kyle","
NANO 120B - NanoEng Systems Design II (A)
",SP22,34,"
14
","
75.0%
","
91.7%
","
7.00
","
A- (3.83)
","
A- (3.72)
"
"Ong, Shyue Ping","
NANO 120B - NanoEng Systems Design II (B)
",SP22,20,"
6
","
100.0%
","
100.0%
","
10.83
","
A (4.00)
","
A- (3.78)
"
"Pokorski, Jonathan Kyle","
NANO 120B - NanoEng Systems Design II (B)
",SP21,22,"
7
","
66.7%
","
66.7%
","
4.50
","
A (4.00)
","
A- (3.87)
"
"Cubukcu, Ertugrul","
NANO 120B - NanoEng Systems Design II (A)
",SP20,26,"
9
","
75.0%
","
87.5%
","
8.00
","
A- (3.71)
","
A- (3.83)
"
"Tao, Andrea Rae","
NANO 120B - NanoEng Systems Design II (B)
",SP20,34,"
9
","
50.0%
","
62.5%
","
11.75
","
B+ (3.33)
","
A- (3.73)
"
"Tao, Andrea Rae","
NANO 120B - NanoEng Systems Design II (A)
",SP19,25,"
7
","
100.0%
","
83.3%
","
6.21
","
B+ (3.33)
","
B+ (3.34)
"
"Sirbuly, Donald","
NANO 120B - NanoEng Systems Design II (B)
",SP19,34,"
15
","
42.9%
","
69.2%
","
8.21
","
B+ (3.43)
","
B+ (3.45)
"
"Tao, Andrea Rae","
NANO 120B - NanoEng Systems Design II (A)
",SP18,24,"
9
","
87.5%
","
71.4%
","
8.25
","
B+ (3.38)
","
B+ (3.41)
"
"Sirbuly, Donald","
NANO 120B - NanoEng Systems Design II (B)
",SP18,18,"
5
","
100.0%
","
100.0%
","
5.30
","
B+ (3.60)
","
N/A
"
"Tao, Andrea Rae","
NANO 120B - NanoEng Systems Design II (A)
",SP17,80,"
16
","
53.3%
","
73.3%
","
9.30
","
B+ (3.50)
","
B+ (3.62)
"
"Cubukcu, Ertugrul","
NANO 120B - NanoEng Systems Design II (A)
",SP16,72,"
24
","
75.0%
","
66.7%
","
9.28
","
B+ (3.38)
","
B+ (3.52)
"
"Fenning, David","
NANO 120B - NanoEng Systems Design II (A)
",SP16,72,"
23
","
78.3%
","
82.6%
","
9.50
","
B+ (3.39)
","
B+ (3.52)
"
"Luo, Jian","
NANO 120B - NanoEng Systems Design II (A)
",SP16,72,"
23
","
78.3%
","
82.6%
","
9.50
","
B+ (3.39)
","
B+ (3.52)
"
"Sirbuly, Donald","
NANO 120B - NanoEng Systems Design II (A)
",SP16,72,"
23
","
78.3%
","
91.3%
","
9.50
","
B+ (3.39)
","
B+ (3.52)
"
"Esener, Sadik C","
NANO 120B - NanoEng Systems Design II (A)
",SP15,83,"
23
","
81.0%
","
81.0%
","
7.00
","
A- (3.71)
","
B+ (3.54)
"
"Luo, Jian","
NANO 120B - NanoEng Systems Design II (A)
",SP15,83,"
23
","
80.0%
","
90.0%
","
6.92
","
A- (3.75)
","
B+ (3.54)
"
"Sirbuly, Donald","
NANO 120B - NanoEng Systems Design II (A)
",SP15,83,"
23
","
75.0%
","
90.0%
","
6.92
","
A- (3.75)
","
B+ (3.54)
"
"Tao, Andrea Rae","
NANO 120B - NanoEng Systems Design II (A)
",SP15,83,"
23
","
80.0%
","
85.0%
","
6.92
","
A- (3.75)
","
B+ (3.54)
"
"Esener, Sadik C","
NANO 120B - NanoEng Systems Design II (A)
",SP14,71,"
26
","
73.1%
","
80.8%
","
6.92
","
B+ (3.50)
","
B+ (3.51)
"
"Esener, Sadik C","
NANO 120B - NanoEng Systems Design II (A)
",SP13,23,"
10
","
100.0%
","
100.0%
","
8.06
","
A (4.00)
","
B+ (3.61)
"
"Tao, Andrea Rae","
NANO 120B - NanoEng Systems Design II (A)
",SP13,23,"
12
","
91.7%
","
91.7%
","
8.33
","
A (4.00)
","
B+ (3.61)
"
