Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fullerton, Eric E","
NANO 156 - Modern Concepts/Nanotechnology (A)
",SP23,28,"
10
","
60.0%
","
60.0%
","
7.30
","
B- (2.78)
","
B (3.13)
"
"Xu, Sheng","
NANO 156 - Modern Concepts/Nanotechnology (A)
",SP22,74,"
34
","
96.9%
","
100.0%
","
4.56
","
B+ (3.35)
","
A- (3.71)
"
"Tao, Andrea Rae","
NANO 156 - Nanomaterials (A)
",FA20,78,"
45
","
73.3%
","
77.8%
","
7.79
","
B (3.05)
","
B (3.17)
"
"Xu, Sheng","
NANO 156 - Nanomaterials (B)
",FA19,63,"
44
","
86.0%
","
81.0%
","
4.73
","
B (3.21)
","
B+ (3.52)
"
"Xu, Sheng","
NANO 156 - Nanomaterials (A)
",FA18,103,"
78
","
90.8%
","
93.4%
","
4.34
","
B+ (3.54)
","
B+ (3.69)
"
"Xu, Sheng","
NANO 156 - Nanomaterials (A)
",FA17,87,"
74
","
98.6%
","
98.6%
","
4.80
","
A- (3.73)
","
A- (3.77)
"
"Xu, Sheng","
NANO 156 - Nanomaterials (A)
",FA16,51,"
23
","
95.5%
","
95.5%
","
3.93
","
B+ (3.67)
","
B+ (3.66)
"
"Graeve, Olivia A","
NANO 156 - Nanomaterials (A)
",FA15,54,"
9
","
77.8%
","
77.8%
","
4.94
","
A- (3.89)
","
B (3.04)
"
"Jin, Sungho","
NANO 156 - Nanomaterials (A)
",FA14,28,"
12
","
81.8%
","
81.8%
","
4.32
","
B (3.18)
","
B+ (3.55)
"
"Jin, Sungho","
NANO 156 - Nanomaterials (A)
",FA13,73,"
22
","
76.2%
","
85.7%
","
3.40
","
A- (3.81)
","
B+ (3.46)
"
"Jin, Sungho","
NANO 156 - Nanomaterials (A)
",WI13,34,"
14
","
92.9%
","
92.9%
","
3.07
","
A- (3.92)
","
A- (3.85)
"
