Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chen, Keming","
PHIL 130 - Metaphysics (A)
",WI23,39,"
15
","
93.3%
","
100.0%
","
6.23
","
A- (3.92)
","
A- (3.77)
"
"McKenzie, Kerry V.","
PHIL 130 - Metaphysics (A)
",WI22,33,"
17
","
87.5%
","
100.0%
","
4.25
","
B+ (3.50)
","
B+ (3.50)
"
"Martinez, Joseph D","
PHIL 130 - Metaphysics (A)
",S221,20,"
17
","
100.0%
","
100.0%
","
5.09
","
A- (3.73)
","
B (3.25)
"
"Chen, Keming","
PHIL 130 - Metaphysics (A)
",SP21,37,"
19
","
89.5%
","
100.0%
","
6.50
","
A- (3.71)
","
A- (3.90)
"
"Chen, Keming","
PHIL 130 - Metaphysics (A)
",SP20,45,"
16
","
100.0%
","
100.0%
","
6.10
","
A- (3.93)
","
A- (3.91)
"
"Santorio, Paolo","
PHIL 130 - Metaphysics (A)
",WI19,33,"
30
","
96.7%
","
100.0%
","
5.70
","
B (3.15)
","
B (3.19)
"
"Santorio, Paolo","
PHIL 130 - Metaphysics (A)
",WI18,28,"
25
","
100.0%
","
96.0%
","
4.82
","
B+ (3.38)
","
B (3.19)
"
"McKenzie, Kerry V.","
PHIL 130 - Metaphysics (A)
",SP17,31,"
25
","
76.0%
","
88.0%
","
4.02
","
B (3.25)
","
B (3.23)
"
"McKenzie, Kerry V.","
PHIL 130 - Metaphysics (A)
",FA15,21,"
15
","
84.6%
","
92.3%
","
3.33
","
B+ (3.45)
","
B (3.10)
"
"Fulkerson, Matthew Todd","
PHIL 130 - Metaphysics (A)
",WI15,30,"
12
","
75.0%
","
83.3%
","
4.83
","
B (3.22)
","
B (3.02)
"
"Cohen, Jonathan David","
PHIL 130 - Metaphysics (A)
",WI14,27,"
4
","
100.0%
","
100.0%
","
4.50
","
B+ (3.33)
","
B (3.02)
"
"Wuthrich, Christian","
PHIL 130 - Metaphysics (A)
",FA12,31,"
13
","
92.3%
","
92.3%
","
5.73
","
B+ (3.60)
","
B- (2.90)
"
"Cohen, Jonathan David              ","
PHIL 130 - Metaphysics                    (A)
",WI10,32,"
7
","
71.4%
","
85.7%
","
3.07
","
B+ (3.43)
","
B- (2.94)
"
"Kurth, Charles Burke               ","
PHIL 130 - Metaphysics                    (A)
",SP09,23,"
16
","
86.7%
","
100.0%
","
4.88
","
B (3.27)
","
B- (2.92)
"
"Cohen, Jonathan David         ","
PHIL 130 - Metaphysics                    (A)
",WI08,33,"
30
","
75.9%
","
85.7%
","
4.22
","
B (3.25)
","
B (3.20)
"
