Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Brandt, Reuven A","
PHIL 27 - Ethics And Society (A)
",SP23,201,"
78
","
88.2%
","
97.3%
","
3.82
","
B+ (3.39)
","
B+ (3.40)
"
"Vargas, Manuel Rogelio","
PHIL 27 - Ethics And Society (A)
",WI23,102,"
33
","
72.7%
","
87.9%
","
3.63
","
B+ (3.56)
","
B (3.02)
"
"Harrell, Maralee Mae","
PHIL 27 - Ethics And Society (A)
",FA22,208,"
58
","
78.6%
","
91.1%
","
3.57
","
A- (3.83)
","
B+ (3.66)
"
"Tonissen, Bas Ben Martien","
PHIL 27 - Ethics And Society (A)
",S122,58,"
39
","
97.1%
","
96.9%
","
5.36
","
A- (3.86)
","
B+ (3.59)
"
"Vargas, Manuel Rogelio","
PHIL 27 - Ethics And Society (A)
",SP22,186,"
65
","
90.8%
","
96.9%
","
3.03
","
B+ (3.41)
","
B (3.04)
"
"Lamey, Andy M.","
PHIL 27 - Ethics And Society (A)
",WI22,101,"
46
","
81.4%
","
90.5%
","
5.52
","
B+ (3.44)
","
B- (2.78)
"
"Brandt, Reuven A","
PHIL 27 - Ethics And Society (A)
",FA21,354,"
128
","
83.6%
","
97.5%
","
3.96
","
B+ (3.44)
","
B (3.22)
"
"Argetsinger, Henry","
PHIL 27 - Ethics And Society (A)
",S121,198,"
56
","
81.1%
","
98.1%
","
5.44
","
B+ (3.51)
","
B+ (3.46)
"
"Duncan, Emma Ruth","
PHIL 27 - Ethics And Society (A)
",SP21,278,"
112
","
64.0%
","
84.5%
","
5.01
","
B (3.23)
","
B (3.25)
"
"Finley, Aaron Daniel","
PHIL 27 - Ethics And Society (A)
",WI21,292,"
106
","
72.8%
","
89.3%
","
5.06
","
B+ (3.38)
","
B+ (3.32)
"
"Lamey, Andy M.","
PHIL 27 - Ethics And Society (A)
",FA20,216,"
91
","
74.4%
","
91.1%
","
5.26
","
B (3.30)
","
B (3.24)
"
"Bazargan-Forward, Saba","
PHIL 27 - Ethics And Society (A)
",S220,69,"
28
","
85.2%
","
96.3%
","
5.76
","
B+ (3.44)
","
B+ (3.50)
"
