Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lin, Tongyan","
PHYS 130A - Quantum Physics I (A)
",SP23,62,"
19
","
100.0%
","
94.4%
","
7.97
","
B+ (3.32)
","
B (3.12)
"
"Di Ventra, Massimiliano","
PHYS 130A - Quantum Physics I (A)
",SP22,71,"
34
","
82.4%
","
52.9%
","
8.68
","
B- (2.94)
","
B- (2.80)
"
"Meyertholen, Andrew D.","
PHYS 130A - Quantum Physics I (A)
",SP22,71,"
34
","
82.4%
","
97.1%
","
8.68
","
B- (2.94)
","
B- (2.80)
"
"Meyertholen, Andrew D.","
PHYS 130A - Quantum Physics I (A)
",SP21,76,"
33
","
97.0%
","
100.0%
","
8.98
","
B+ (3.42)
","
B (3.28)
"
"Di Ventra, Massimiliano","
PHYS 130A - Quantum Physics I (A)
",SP20,70,"
19
","
94.4%
","
94.1%
","
10.28
","
B+ (3.47)
","
B+ (3.40)
"
"Meyertholen, Andrew D.","
PHYS 130A - Quantum Physics I (A)
",SP20,70,"
19
","
94.4%
","
94.4%
","
10.28
","
B+ (3.47)
","
B+ (3.40)
"
"Surko, Clifford M","
PHYS 130A - Quantum Physics I (A)
",SP19,80,"
26
","
72.0%
","
52.0%
","
5.38
","
B (3.00)
","
C+ (2.55)
"
"Fuller, George Michael","
PHYS 130A - Quantum Physics I (A)
",FA18,37,"
14
","
78.6%
","
92.9%
","
8.21
","
B- (2.71)
","
B- (2.85)
"
"Surko, Clifford M","
PHYS 130A - Quantum Physics I (A)
",SP18,107,"
30
","
85.7%
","
78.6%
","
7.21
","
B- (2.79)
","
B- (2.76)
"
"Abarbanel, Henry Don Isaac","
PHYS 130A - Quantum Physics I (A)
",SP17,104,"
34
","
75.9%
","
37.9%
","
6.57
","
B (3.07)
","
B (3.03)
"
"Branson, James G","
PHYS 130A - Quantum Physics I (A)
",SP16,63,"
21
","
84.2%
","
26.3%
","
7.17
","
B (3.06)
","
B- (2.71)
"
"Branson, James G","
PHYS 130A - Quantum Physics I (A)
",SP15,62,"
30
","
85.7%
","
50.0%
","
9.64
","
B- (2.88)
","
B (3.08)
"
"Surko, Clifford M","
PHYS 130A - Quantum Physics I (A)
",SP14,46,"
23
","
85.7%
","
81.0%
","
8.60
","
B (3.22)
","
B- (2.73)
"
"Anderson, Michael G.","
PHYS 130A - Quantum Physics I (A)
",SP13,56,"
22
","
95.5%
","
59.1%
","
9.14
","
B+ (3.43)
","
B- (2.89)
"
