Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Konopacky, Quinn Morgan","
PHYS 164 - Observational Astrophysics Lab (A)
",WI23,32,"
27
","
92.6%
","
96.3%
","
8.94
","
B (3.26)
","
B (3.18)
"
"Konopacky, Quinn Morgan","
PHYS 164 - Observational Astrophysics Lab (A)
",WI22,20,"
15
","
93.3%
","
100.0%
","
8.77
","
B- (2.86)
","
B- (2.76)
"
"Konopacky, Quinn Morgan","
PHYS 164 - Observational Astrophysics Lab (A)
",FA20,19,"
7
","
100.0%
","
100.0%
","
12.83
","
B+ (3.50)
","
N/A
"
"Konopacky, Quinn Morgan","
PHYS 164 - Observational Astrophysics Lab (A)
",WI20,14,"
13
","
100.0%
","
100.0%
","
10.04
","
B+ (3.33)
","
N/A
"
"Wright, Shelley Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",FA19,13,"
9
","
100.0%
","
100.0%
","
12.50
","
B- (2.89)
","
N/A
"
"Wright, Shelley Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",WI19,10,"
9
","
88.9%
","
88.9%
","
12.50
","
B- (2.89)
","
N/A
"
"Wright, Shelley Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",FA18,17,"
14
","
85.7%
","
92.9%
","
11.93
","
B+ (3.31)
","
N/A
"
"Wright, Shelley Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",WI18,26,"
18
","
88.9%
","
94.4%
","
12.06
","
B (3.13)
","
B- (2.82)
"
"Wright, Shelley Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",WI17,27,"
19
","
88.9%
","
100.0%
","
11.28
","
B (3.11)
","
B (3.16)
"
"Wright, Shelley Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",WI16,12,"
10
","
100.0%
","
100.0%
","
12.90
","
B (3.20)
","
N/A
"
"Wright, Shelly Adams","
PHYS 164 - Observational Astrophysics Lab (A)
",SP15,15,"
9
","
100.0%
","
100.0%
","
11.25
","
B (3.25)
","
N/A
"
"Melis, Carl Anthony","
PHYS 164 - Observational Astrophysics Lab (A)
",WI14,11,"
4
","
100.0%
","
100.0%
","
10.50
","
B (3.25)
","
N/A
"
