Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP23,1055,"
458
","
34.5%
","
56.1%
","
5.10
","
B (3.13)
","
B (3.01)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP23,1055,"
458
","
34.5%
","
52.7%
","
5.10
","
B (3.13)
","
B (3.01)
"
"Arlett, Jessica Lynn","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI23,171,"
60
","
36.2%
","
42.1%
","
4.74
","
B- (2.89)
","
B- (2.77)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI23,171,"
60
","
36.2%
","
53.6%
","
4.74
","
B- (2.89)
","
B- (2.77)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI23,171,"
60
","
36.2%
","
44.6%
","
4.74
","
B- (2.89)
","
B- (2.77)
"
"Arlett, Jessica Lynn","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA22,280,"
77
","
36.6%
","
71.8%
","
5.11
","
B (3.07)
","
B (3.03)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA22,280,"
77
","
36.6%
","
80.3%
","
5.11
","
B (3.07)
","
B (3.03)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA22,280,"
77
","
36.6%
","
70.0%
","
5.11
","
B (3.07)
","
B (3.03)
"
"Singh, Shruti","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S222,73,"
17
","
66.7%
","
86.7%
","
5.93
","
B+ (3.50)
","
A- (3.76)
"
"Singh, Shruti","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S122,52,"
16
","
92.9%
","
85.7%
","
6.17
","
B (3.15)
","
B+ (3.59)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP22,883,"
290
","
48.6%
","
81.3%
","
5.12
","
B (3.12)
","
B (3.14)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP22,883,"
290
","
48.6%
","
67.0%
","
5.12
","
B (3.12)
","
B (3.14)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI22,268,"
86
","
37.3%
","
78.3%
","
6.13
","
B (3.05)
","
B (3.03)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI22,268,"
86
","
37.3%
","
63.9%
","
6.13
","
B (3.05)
","
B (3.03)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA21,227,"
79
","
51.3%
","
77.3%
","
5.19
","
B (3.20)
","
B (3.05)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA21,227,"
79
","
51.3%
","
73.0%
","
5.19
","
B (3.20)
","
B (3.05)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S221,170,"
38
","
54.1%
","
81.1%
","
8.07
","
B+ (3.35)
","
B (3.11)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S121,124,"
24
","
50.0%
","
90.9%
","
6.59
","
B+ (3.32)
","
B (3.18)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP21,894,"
395
","
47.6%
","
28.8%
","
7.06
","
B+ (3.39)
","
B+ (3.48)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI21,230,"
87
","
74.1%
","
91.4%
","
6.72
","
B+ (3.46)
","
B+ (3.51)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA20,263,"
113
","
78.9%
","
95.4%
","
6.43
","
B+ (3.47)
","
B+ (3.35)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (A)
",S220,24,"
6
","
83.3%
","
100.0%
","
6.83
","
B+ (3.50)
","
B+ (3.65)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (B)
",S220,24,"
8
","
87.5%
","
100.0%
","
6.50
","
B+ (3.50)
","
B+ (3.50)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (C)
",S220,21,"
6
","
75.0%
","
75.0%
","
9.00
","
B+ (3.40)
","
B+ (3.60)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (E)
",S220,21,"
3
","
66.7%
","
66.7%
","
4.50
","
B+ (3.33)
","
B+ (3.43)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (A)
",S120,27,"
8
","
50.0%
","
87.5%
","
9.25
","
B (3.25)
","
B+ (3.32)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (B)
",S120,27,"
7
","
66.7%
","
100.0%
","
7.83
","
A- (3.83)
","
B+ (3.34)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (C)
",S120,24,"
3
","
33.3%
","
66.7%
","
7.83
","
B (3.00)
","
B (3.11)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (D)
",S120,19,"
3
","
66.7%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP20,1016,"
390
","
81.1%
","
98.7%
","
5.25
","
B+ (3.65)
","
A- (3.79)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI20,174,"
50
","
58.7%
","
66.7%
","
4.15
","
B (3.18)
","
B+ (3.33)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI20,174,"
50
","
58.7%
","
62.2%
","
4.15
","
B (3.18)
","
B+ (3.33)
"
"Tsai, Philbert S","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA19,214,"
78
","
63.9%
","
83.1%
","
4.33
","
B+ (3.36)
","
B (3.28)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA19,214,"
79
","
63.0%
","
74.0%
","
4.31
","
B+ (3.37)
","
B (3.28)
"
"Singh, Shruti","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (A)
",S219,24,"
7
","
71.4%
","
100.0%
","
4.50
","
B+ (3.43)
","
B+ (3.57)
"
"Dong, Bili","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (A)
",S119,28,"
5
","
66.7%
","
66.7%
","
5.83
","
A (4.00)
","
B+ (3.63)
"
"Dong, Bili","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (B)
",S119,28,"
11
","
90.0%
","
100.0%
","
5.30
","
B+ (3.40)
","
B (3.27)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP19,976,"
354
","
41.6%
","
54.9%
","
4.49
","
B+ (3.46)
","
B+ (3.49)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI19,162,"
49
","
41.3%
","
60.9%
","
4.63
","
B (3.24)
","
B (3.28)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA18,179,"
59
","
54.5%
","
64.8%
","
3.65
","
B+ (3.44)
","
B+ (3.34)
"
"Yang, Yi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S218,49,"
12
","
77.8%
","
88.9%
","
6.50
","
A- (3.78)
","
B (3.25)
"
"Yang, Yi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S118,53,"
25
","
72.7%
","
70.0%
","
5.77
","
B+ (3.43)
","
B+ (3.36)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP18,989,"
299
","
47.7%
","
63.2%
","
4.12
","
B+ (3.37)
","
B+ (3.39)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI18,162,"
69
","
54.7%
","
51.6%
","
4.28
","
B (3.14)
","
B+ (3.33)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA17,188,"
69
","
34.9%
","
44.4%
","
4.75
","
B (3.00)
","
B+ (3.35)
"
"Yang, Yi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S217,63,"
13
","
70.0%
","
70.0%
","
3.50
","
B (3.00)
","
B (3.26)
"
"Yang, Yi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S117,44,"
11
","
63.6%
","
81.8%
","
5.23
","
B+ (3.36)
","
B+ (3.41)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP17,936,"
337
","
67.4%
","
77.0%
","
3.26
","
B+ (3.63)
","
B+ (3.38)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI17,263,"
104
","
74.7%
","
81.3%
","
4.22
","
B+ (3.43)
","
B+ (3.36)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA16,180,"
69
","
65.6%
","
66.7%
","
3.61
","
B+ (3.52)
","
B (3.27)
"
"Gustafson, Scott Matthew","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S216,46,"
7
","
100.0%
","
100.0%
","
4.10
","
B- (2.75)
","
B (3.05)
"
"Gustafson, Scott Matthew","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S116,47,"
9
","
50.0%
","
50.0%
","
8.25
","
B (3.13)
","
B- (2.83)
"
"Diaz Santiago, Sebastian Alejandro","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP16,727,"
289
","
74.7%
","
80.8%
","
3.20
","
B+ (3.53)
","
B+ (3.33)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI16,268,"
140
","
78.9%
","
82.0%
","
3.80
","
B+ (3.57)
","
B+ (3.49)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA15,197,"
61
","
75.4%
","
80.7%
","
4.06
","
B+ (3.53)
","
B+ (3.37)
"
"Gustafson, Scott Matthew","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S215,45,"
9
","
83.3%
","
83.3%
","
4.17
","
B+ (3.50)
","
B- (2.97)
"
"Schanning, Ian Lennon","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S115,43,"
5
","
60.0%
","
80.0%
","
6.90
","
B (3.20)
","
B+ (3.30)
"
"Groisman, Alexander","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP15,734,"
280
","
71.3%
","
68.2%
","
3.53
","
B+ (3.46)
","
B+ (3.31)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI15,174,"
52
","
71.4%
","
71.4%
","
3.93
","
A- (3.71)
","
B+ (3.56)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA14,176,"
37
","
87.5%
","
81.3%
","
3.73
","
A- (3.71)
","
B+ (3.50)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S214,76,"
10
","
88.9%
","
55.6%
","
5.25
","
A- (3.89)
","
B+ (3.45)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S114,47,"
6
","
100.0%
","
100.0%
","
10.10
","
A (4.00)
","
B+ (3.54)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP14,622,"
156
","
74.3%
","
83.3%
","
3.81
","
B+ (3.66)
","
B+ (3.42)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI14,178,"
53
","
52.9%
","
66.7%
","
4.26
","
B+ (3.47)
","
B+ (3.32)
"
"Groisman, Alexander","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (A)
",FA13,94,"
18
","
82.4%
","
94.1%
","
4.03
","
B (3.24)
","
B (3.25)
"
"Schanning, Ian Lennon","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S213,59,"
10
","
80.0%
","
100.0%
","
4.30
","
B+ (3.60)
","
B (3.29)
"
"Anderson, Michael G.","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",S113,36,"
8
","
100.0%
","
100.0%
","
5.64
","
B+ (3.50)
","
B+ (3.40)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",SP13,446,"
161
","
71.1%
","
76.1%
","
3.52
","
B+ (3.50)
","
B+ (3.42)
"
"Yagil, Avi","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",WI13,121,"
46
","
65.9%
","
68.2%
","
3.88
","
B+ (3.51)
","
B+ (3.35)
"
"Groisman, Alexander","
PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)
",FA12,163,"
55
","
67.3%
","
53.1%
","
4.24
","
B+ (3.50)
","
B (3.21)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (A)
",S212,25,"
5
","
60.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
B+ (3.39)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (B)
",S212,24,"
7
","
85.7%
","
100.0%
","
6.21
","
A- (3.71)
","
B+ (3.39)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (C)
",S212,23,"
3
","
66.7%
","
33.3%
","
6.50
","
B+ (3.67)
","
B+ (3.39)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (A)
",S112,12,"
6
","
83.3%
","
100.0%
","
7.50
","
B+ (3.50)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (C)
",S112,17,"
3
","
66.7%
","
66.7%
","
4.50
","
B+ (3.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (03)
",SP12,21,"
11
","
81.8%
","
80.0%
","
4.14
","
A- (3.73)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (04)
",SP12,19,"
6
","
83.3%
","
66.7%
","
4.50
","
B+ (3.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (05)
",SP12,23,"
7
","
71.4%
","
85.7%
","
2.21
","
A (4.00)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (06)
",SP12,19,"
7
","
85.7%
","
100.0%
","
3.07
","
B (3.14)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (07)
",SP12,19,"
6
","
50.0%
","
16.7%
","
2.83
","
B+ (3.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (09)
",SP12,19,"
9
","
55.6%
","
55.6%
","
3.83
","
B+ (3.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (11)
",SP12,21,"
9
","
77.8%
","
88.9%
","
3.39
","
B+ (3.67)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (12)
",SP12,24,"
12
","
91.7%
","
91.7%
","
2.17
","
A- (3.92)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (13)
",SP12,26,"
11
","
90.9%
","
90.9%
","
3.05
","
A- (3.73)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (14)
",SP12,26,"
6
","
20.0%
","
40.0%
","
2.17
","
B+ (3.50)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (15)
",SP12,26,"
8
","
87.5%
","
100.0%
","
4.75
","
B+ (3.57)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (16)
",SP12,22,"
10
","
90.0%
","
90.0%
","
4.30
","
B+ (3.50)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (19)
",SP12,23,"
8
","
85.7%
","
100.0%
","
4.21
","
A (4.00)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (20)
",SP12,8,"
3
","
100.0%
","
66.7%
","
3.17
","
B+ (3.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (21)
",SP12,17,"
7
","
85.7%
","
85.7%
","
2.79
","
A (4.00)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (23)
",SP12,24,"
10
","
50.0%
","
80.0%
","
4.10
","
B+ (3.50)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (24)
",SP12,23,"
11
","
80.0%
","
100.0%
","
3.77
","
B+ (3.45)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (25)
",SP12,26,"
13
","
76.9%
","
84.6%
","
3.73
","
B+ (3.58)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (26)
",SP12,24,"
8
","
87.5%
","
87.5%
","
4.21
","
A- (3.75)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (27)
",SP12,24,"
4
","
75.0%
","
75.0%
","
2.00
","
A (4.00)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (31)
",SP12,16,"
5
","
80.0%
","
100.0%
","
4.10
","
B+ (3.60)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (33)
",SP12,25,"
6
","
100.0%
","
80.0%
","
5.50
","
A- (3.83)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (34)
",SP12,24,"
9
","
77.8%
","
77.8%
","
3.83
","
B (3.00)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (35)
",SP12,25,"
6
","
83.3%
","
80.0%
","
4.17
","
B (3.00)
","
B+ (3.45)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (36)
",SP12,14,"
5
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Yagil, Avi                         ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (01)
",WI12,175,"
72
","
73.2%
","
70.0%
","
3.16
","
B+ (3.55)
","
B+ (3.42)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (01)
",FA11,201,"
91
","
91.1%
","
86.5%
","
3.63
","
B+ (3.53)
","
B+ (3.39)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (B)
",S211,24,"
4
","
100.0%
","
75.0%
","
4.00
","
A- (3.75)
","
B+ (3.53)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (C)
",S211,24,"
6
","
66.7%
","
66.7%
","
8.50
","
B+ (3.67)
","
B+ (3.53)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (D)
",S211,11,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (A)
",S111,11,"
3
","
100.0%
","
66.7%
","
4.50
","
B (3.00)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (B)
",S111,12,"
5
","
40.0%
","
60.0%
","
4.90
","
B+ (3.40)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (C)
",S111,19,"
7
","
57.1%
","
42.9%
","
5.93
","
A- (3.71)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (D)
",S111,15,"
4
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (01)
",SP11,22,"
12
","
58.3%
","
58.3%
","
5.00
","
A- (3.83)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (02)
",SP11,25,"
15
","
86.7%
","
86.7%
","
3.30
","
B+ (3.47)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (03)
",SP11,25,"
16
","
25.0%
","
62.5%
","
4.50
","
B+ (3.56)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (04)
",SP11,26,"
16
","
62.5%
","
87.5%
","
3.25
","
B+ (3.69)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (05)
",SP11,23,"
12
","
81.8%
","
90.9%
","
3.33
","
B+ (3.58)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (06)
",SP11,25,"
14
","
50.0%
","
71.4%
","
2.79
","
A- (3.79)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (07)
",SP11,23,"
10
","
70.0%
","
90.0%
","
2.10
","
B+ (3.60)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (08)
",SP11,26,"
13
","
76.9%
","
84.6%
","
4.04
","
B (3.23)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (09)
",SP11,25,"
15
","
60.0%
","
80.0%
","
4.63
","
B+ (3.53)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (10)
",SP11,26,"
16
","
81.3%
","
93.8%
","
2.79
","
A- (3.80)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (11)
",SP11,12,"
3
","
100.0%
","
100.0%
","
2.50
","
C+ (2.67)
","
N/A
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (12)
",SP11,26,"
13
","
81.8%
","
100.0%
","
3.67
","
A- (3.77)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (13)
",SP11,26,"
7
","
71.4%
","
85.7%
","
3.64
","
A- (3.71)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (14)
",SP11,25,"
14
","
85.7%
","
100.0%
","
3.93
","
B+ (3.43)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (15)
",SP11,24,"
10
","
77.8%
","
88.9%
","
2.72
","
A- (3.89)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (17)
",SP11,24,"
15
","
73.3%
","
86.7%
","
3.97
","
B+ (3.40)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (18)
",SP11,24,"
10
","
66.7%
","
88.9%
","
3.61
","
B+ (3.56)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (19)
",SP11,26,"
17
","
82.4%
","
87.5%
","
3.32
","
B+ (3.56)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (20)
",SP11,25,"
7
","
100.0%
","
100.0%
","
4.21
","
B+ (3.43)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (21)
",SP11,26,"
16
","
100.0%
","
100.0%
","
3.03
","
A- (3.75)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (22)
",SP11,26,"
10
","
100.0%
","
90.0%
","
3.50
","
B+ (3.60)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (23)
",SP11,25,"
13
","
69.2%
","
58.3%
","
2.96
","
A- (3.77)
","
B+ (3.52)
"
"Anderson, Michael G.               ","
PHYS 1CL - Waves,Optics&Modrn Phys Lab    (24)
",SP11,24,"
7
","
71.4%
","
85.7%
","
4.21
","
A- (3.71)
","
B+ (3.52)
"
