Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Butov, Leonid","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP23,248,"
88
","
80.0%
","
77.4%
","
3.58
","
B+ (3.68)
","
B+ (3.44)
"
"Rappel, Wouter Jan","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",S122,38,"
6
","
66.7%
","
100.0%
","
8.83
","
B+ (3.67)
","
B+ (3.37)
"
"Butov, Leonid","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP22,267,"
108
","
61.9%
","
62.9%
","
5.08
","
B+ (3.58)
","
B+ (3.43)
"
"Gonzales, Daniel Patrick","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",S121,90,"
21
","
85.7%
","
90.5%
","
7.50
","
B+ (3.55)
","
B (3.19)
"
"Butov, Leonid","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP21,328,"
137
","
73.3%
","
75.6%
","
5.80
","
B+ (3.65)
","
B+ (3.69)
"
"Hua, Nelson","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",S120,127,"
28
","
81.5%
","
96.3%
","
4.64
","
B+ (3.57)
","
B+ (3.69)
"
"Yang, Liang","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP20,333,"
148
","
78.9%
","
90.8%
","
5.08
","
B+ (3.62)
","
A- (3.88)
"
"Fang, Zheng","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",S119,52,"
19
","
61.1%
","
72.2%
","
15.39
","
B+ (3.56)
","
B+ (3.32)
"
"Jun, Suckjoon","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP19,176,"
146
","
69.5%
","
73.8%
","
7.94
","
B (3.28)
","
B+ (3.44)
"
"Sharma, Vivek A.","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",WI19,41,"
37
","
73.0%
","
94.6%
","
6.82
","
B+ (3.38)
","
B+ (3.38)
"
"Sharma, Vivek A.","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",FA18,57,"
20
","
82.4%
","
88.2%
","
6.83
","
B+ (3.67)
","
B+ (3.36)
"
"Fang, Zheng","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",S118,36,"
10
","
100.0%
","
80.0%
","
15.30
","
B- (2.90)
","
B+ (3.33)
"
"Sharma, Vivek A.","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP18,116,"
112
","
74.5%
","
90.0%
","
6.70
","
B+ (3.47)
","
B+ (3.54)
"
"Butov, Leonid","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",WI18,87,"
26
","
73.1%
","
76.9%
","
3.35
","
A- (3.73)
","
B+ (3.67)
"
"Sharma, Vivek A.","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",FA17,45,"
21
","
26.3%
","
27.8%
","
7.24
","
B (3.21)
","
B (3.28)
"
"Paddock, Mark","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",S117,38,"
9
","
33.3%
","
88.9%
","
12.94
","
B+ (3.33)
","
B+ (3.47)
"
"Lombardo, Daniel Marcus","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",SP17,104,"
45
","
60.5%
","
90.7%
","
8.26
","
B+ (3.55)
","
B+ (3.35)
"
"Anderson, Michael G.","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",WI17,60,"
22
","
71.4%
","
71.4%
","
6.50
","
B+ (3.65)
","
B (3.26)
"
"Anderson, Michael G.","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",FA16,80,"
32
","
53.3%
","
63.3%
","
5.70
","
B- (2.90)
","
B (3.28)
"
"Sinha, Sunil K","
PHYS 2BL - Physics Laboratory-Mechanics (A)
",FA16,76,"
32
","
53.3%
","
60.0%
","
5.63
","
B- (2.90)
","
B (3.28)
"
"Anderson, Michael G.","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",S116,40,"
12
","
58.3%
","
66.7%
","
11.59
","
B (3.18)
","
B (3.23)
"
"Anderson, Michael G.","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP16,133,"
52
","
76.0%
","
82.0%
","
7.18
","
B+ (3.35)
","
B+ (3.31)
"
"Anderson, Michael G.","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI16,89,"
42
","
78.0%
","
87.8%
","
6.65
","
B+ (3.63)
","
B+ (3.41)
"
"Anderson, Michael G.","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA15,62,"
22
","
78.9%
","
94.7%
","
7.87
","
B+ (3.58)
","
B+ (3.40)
"
"Paddock, Mark","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",S115,33,"
11
","
70.0%
","
70.0%
","
7.10
","
B+ (3.30)
","
B+ (3.35)
"
"Yagil, Avi","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP15,164,"
61
","
80.0%
","
80.0%
","
5.22
","
B+ (3.40)
","
B- (2.94)
"
"Butov, Leonid","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI15,108,"
36
","
82.9%
","
88.6%
","
3.36
","
A- (3.71)
","
B+ (3.65)
"
"Butov, Leonid","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA14,115,"
42
","
73.0%
","
70.3%
","
4.34
","
B+ (3.51)
","
B+ (3.52)
"
"Briggs, Andrew T","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",S114,23,"
7
","
85.7%
","
100.0%
","
7.36
","
B+ (3.57)
","
B- (2.98)
"
"Yagil, Avi","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP14,270,"
82
","
52.6%
","
48.7%
","
5.34
","
B (3.16)
","
B- (2.73)
"
"Yagil, Avi","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI14,118,"
51
","
66.0%
","
66.0%
","
5.32
","
B+ (3.39)
","
B (3.02)
"
"Yagil, Avi","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA13,148,"
47
","
53.2%
","
70.2%
","
6.46
","
B (3.02)
","
B- (2.90)
"
"Lee, Christopher Jaesung","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",S113,44,"
9
","
55.6%
","
88.9%
","
6.94
","
B+ (3.44)
","
B- (2.95)
"
"Sharma, Vivek A.","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP13,243,"
88
","
56.8%
","
81.8%
","
6.25
","
B (3.24)
","
B- (2.96)
"
"Yagil, Avi","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI13,106,"
45
","
44.4%
","
62.2%
","
6.37
","
B (3.04)
","
B- (2.91)
"
"Wuerthwein, Frank","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA12,161,"
60
","
62.1%
","
56.9%
","
6.09
","
B+ (3.37)
","
B- (2.95)
"
"Austrum, Tera Lyn","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",S112,64,"
24
","
87.5%
","
87.5%
","
10.15
","
A- (3.75)
","
B (3.01)
"
"Paddock, Mark                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP12,234,"
119
","
72.0%
","
66.9%
","
6.64
","
B+ (3.42)
","
B+ (3.37)
"
"Yagil, Avi                         ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI12,101,"
54
","
63.0%
","
77.8%
","
5.94
","
B (3.27)
","
B (3.06)
"
"Wuerthwein, Frank                  ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA11,142,"
67
","
64.2%
","
65.2%
","
5.44
","
B+ (3.30)
","
B- (2.86)
"
"Paddock, Mark                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",S111,49,"
21
","
81.0%
","
90.5%
","
6.88
","
B (3.10)
","
B+ (3.40)
"
"Butov, Leonid                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP11,262,"
104
","
65.7%
","
51.0%
","
4.46
","
B+ (3.54)
","
B+ (3.32)
"
"Paddock, Mark                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI11,103,"
42
","
66.7%
","
78.6%
","
5.52
","
B+ (3.43)
","
B (3.07)
"
"Butov, Leonid                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA10,164,"
87
","
79.1%
","
72.9%
","
4.75
","
B+ (3.40)
","
B (3.29)
"
"Paddock, Mark                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SU10,42,"
18
","
83.3%
","
94.4%
","
6.74
","
B+ (3.41)
","
N/A
"
"Butov, Leonid                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP10,243,"
96
","
82.1%
","
69.5%
","
4.31
","
B+ (3.66)
","
B+ (3.43)
"
"Yagil, Avi                         ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI10,129,"
48
","
79.2%
","
83.3%
","
5.75
","
B+ (3.34)
","
B- (2.80)
"
"Yagil, Avi                         ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA09,146,"
55
","
72.7%
","
96.4%
","
4.79
","
B+ (3.34)
","
B- (2.71)
"
"Paddock, Mark                      ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SU09,52,"
13
","
69.2%
","
92.3%
","
5.42
","
B+ (3.58)
","
N/A
"
"Yagil, Avi                         ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP09,265,"
93
","
54.9%
","
78.0%
","
4.91
","
B (3.18)
","
B- (2.85)
"
"Yagil, Avi","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",WI09,169,"
59
","
75.9%
","
92.6%
","
4.47
","
B+ (3.39)
","
B- (2.96)
"
"Yagil, Avi                         ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA08,159,"
42
","
73.8%
","
90.5%
","
4.93
","
B+ (3.50)
","
B- (2.88)
"
"Riley, Pete                        ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SU08,36,"
26
","
73.1%
","
96.2%
","
5.12
","
B+ (3.52)
","
N/A
"
"Yagil, Avi                    ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SP08,241,"
51
","
65.2%
","
82.6%
","
5.36
","
B+ (3.66)
","
C+ (2.69)
"
"Yagil, Avi                    ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",FA07,165,"
69
","
71.6%
","
77.3%
","
3.74
","
B+ (3.51)
","
B (3.25)
"
"Bodde, Sara Gail              ","
PHYS 2BL - Phys Lab-Mechanics&Electrostat (A)
",SU07,54,"
24
","
47.6%
","
61.9%
","
5.80
","
B+ (3.35)
","
N/A
"
