Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chivukula, Raja S","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",SP22,106,"
49
","
81.3%
","
78.7%
","
9.58
","
B+ (3.48)
","
B+ (3.41)
"
"Chivukula, Raja S","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",S221,15,"
4
","
100.0%
","
100.0%
","
11.00
","
A (4.00)
","
N/A
"
"Shotwell, Brian","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",S221,15,"
4
","
100.0%
","
100.0%
","
11.00
","
A (4.00)
","
N/A
"
"Chivukula, Raja S","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",SP21,106,"
58
","
94.8%
","
94.8%
","
7.60
","
A- (3.83)
","
B+ (3.68)
"
"Shotwell, Brian","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",SP21,106,"
58
","
94.8%
","
96.6%
","
7.60
","
A- (3.83)
","
B+ (3.68)
"
"Chivukula, Raja S","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",S220,12,"
5
","
100.0%
","
100.0%
","
18.50
","
B+ (3.40)
","
N/A
"
"Chivukula, Raja S","
PHYS 4B - Phys Majrs-Fluid,Wav,StatTherm (A)
",SP20,62,"
27
","
96.2%
","
100.0%
","
7.58
","
A- (3.74)
","
B+ (3.68)
"
"Chivukula, Raja S","
PHYS 4B - Phys Majrs-Fluid,Wav,Heat (A)
",SP19,65,"
39
","
94.9%
","
97.4%
","
8.50
","
B+ (3.38)
","
B+ (3.43)
"
"Hirsch, Jorge Eduardo","
PHYS 4B - Phys Majrs-Fluid,Wav,Heat (A)
",SP18,37,"
9
","
77.8%
","
55.6%
","
7.61
","
B- (2.86)
","
C+ (2.43)
"
"Manohar, Aneesh Vasant","
PHYS 4B - Phys Majrs-Fluid,Wav,Heat (A)
",SP17,73,"
35
","
90.3%
","
86.7%
","
7.90
","
B (3.19)
","
B- (2.83)
"
"Paar, Hans Peter","
PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat (A)
",SP16,69,"
26
","
88.5%
","
65.4%
","
6.42
","
B (3.21)
","
C+ (2.64)
"
"Paar, Hans Peter","
PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat (A)
",SP15,80,"
35
","
82.9%
","
54.3%
","
6.97
","
B (3.26)
","
C+ (2.59)
"
"Hirsch, Jorge Eduardo","
PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat (A)
",SP14,62,"
27
","
88.0%
","
32.0%
","
7.50
","
B (3.00)
","
C+ (2.68)
"
"Hirsch, Jorge Eduardo","
PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat (A)
",SP13,35,"
15
","
92.9%
","
35.7%
","
9.36
","
B- (2.83)
","
B (3.22)
"
