Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Averitt, Richard Douglas","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA22,117,"
52
","
78.0%
","
76.0%
","
10.02
","
B- (2.84)
","
B (3.02)
"
"Averitt, Richard Douglas","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA21,94,"
45
","
93.2%
","
81.8%
","
9.14
","
B- (2.91)
","
B- (2.98)
"
"Averitt, Richard Douglas","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA20,73,"
36
","
91.4%
","
100.0%
","
8.50
","
B (3.03)
","
B (3.20)
"
"Hirsch, Jorge Eduardo","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA19,55,"
31
","
96.6%
","
72.4%
","
8.02
","
B- (2.83)
","
B (3.08)
"
"Shotwell, Brian","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA18,25,"
13
","
100.0%
","
100.0%
","
8.83
","
B (3.27)
","
B+ (3.41)
"
"Manohar, Aneesh Vasant","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA17,49,"
29
","
84.6%
","
92.3%
","
10.43
","
B- (2.96)
","
C+ (2.59)
"
"Manohar, Aneesh Vasant","
PHYS 4C - Phys Majrs-Elect & Magnetism (B)
",FA16,34,"
14
","
84.6%
","
84.6%
","
9.73
","
B (3.08)
","
B- (2.98)
"
"Paar, Hans Peter","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA15,46,"
20
","
72.2%
","
61.1%
","
8.28
","
C+ (2.50)
","
B- (2.73)
"
"Paar, Hans Peter","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA14,41,"
21
","
85.7%
","
85.7%
","
7.07
","
B (3.20)
","
B- (2.95)
"
"Manohar, Aneesh Vasant","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA13,27,"
12
","
72.7%
","
63.6%
","
9.77
","
B- (2.80)
","
B (3.12)
"
"Manohar, Aneesh Vasant","
PHYS 4C - Phys Majrs-Elect & Magnetism (A)
",FA12,17,"
13
","
72.7%
","
72.7%
","
11.23
","
C+ (2.33)
","
N/A
"
