Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Frano Pereira, Alex M","
PHYS 4D - Phys Majrs-EM Wav,Spec Rel,Opt (A)
",WI23,103,"
46
","
95.3%
","
95.3%
","
10.41
","
B (3.19)
","
B- (2.86)
"
"Frano Pereira, Alex M","
PHYS 4D - Phys Majrs-EM Wav,Spec Rel,Opt (A)
",WI22,81,"
35
","
88.2%
","
88.2%
","
9.50
","
B (3.06)
","
B (3.04)
"
"Frano Pereira, Alex M","
PHYS 4D - Phys Majrs-EM Wav,Spec Rel,Opt (A)
",WI21,60,"
33
","
84.8%
","
87.9%
","
9.35
","
B- (2.91)
","
B- (2.84)
"
"Frano Pereira, Alex M","
PHYS 4D - Phys Majrs-EM Wav,Spec Rel,Opt (A)
",WI20,45,"
19
","
94.7%
","
100.0%
","
9.03
","
B (3.11)
","
B- (2.80)
"
"Frano Pereira, Alex M","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI19,26,"
13
","
100.0%
","
100.0%
","
8.50
","
B (3.25)
","
B- (2.75)
"
"Manohar, Aneesh Vasant","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI18,38,"
20
","
90.0%
","
100.0%
","
7.70
","
B (3.11)
","
B- (2.97)
"
"Averitt, Richard Douglas","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI17,40,"
16
","
100.0%
","
100.0%
","
5.36
","
B (3.15)
","
B (3.03)
"
"Averitt, Richard Douglas","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI16,42,"
17
","
100.0%
","
100.0%
","
6.50
","
B (3.29)
","
B (3.04)
"
"Intriligator, Kenneth Arthur","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI15,36,"
17
","
100.0%
","
94.1%
","
6.85
","
B (3.25)
","
B+ (3.41)
"
"Manohar, Aneesh Vasant","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI14,28,"
11
","
100.0%
","
100.0%
","
7.90
","
B+ (3.50)
","
B+ (3.32)
"
"Manohar, Aneesh Vasant","
PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)
",WI13,15,"
10
","
90.0%
","
90.0%
","
8.30
","
B (3.25)
","
N/A
"
