Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Frano Pereira, Alex M","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP23,97,"
39
","
97.2%
","
100.0%
","
8.28
","
B (3.27)
","
B (3.15)
"
"Frano Pereira, Alex M","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP22,77,"
32
","
93.8%
","
96.9%
","
8.50
","
B+ (3.38)
","
B (3.12)
"
"Frano Pereira, Alex M","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP21,57,"
30
","
89.7%
","
96.6%
","
8.43
","
B (3.25)
","
B- (2.95)
"
"Hirsch, Jorge Eduardo","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP20,41,"
13
","
76.9%
","
53.8%
","
7.58
","
B (3.00)
","
B (3.23)
"
"Frano Pereira, Alex M","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP19,25,"
9
","
87.5%
","
71.4%
","
7.75
","
B (3.25)
","
B- (2.92)
"
"Manohar, Aneesh Vasant","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP18,39,"
21
","
94.7%
","
100.0%
","
9.55
","
B (3.11)
","
B (3.21)
"
"Hirsch, Jorge Eduardo","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP17,35,"
14
","
100.0%
","
92.9%
","
8.36
","
B (3.07)
","
B (3.03)
"
"Hirsch, Jorge Eduardo","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP16,38,"
15
","
84.6%
","
84.6%
","
9.50
","
B- (2.92)
","
B- (2.91)
"
"Hirsch, Jorge Eduardo","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP15,30,"
14
","
85.7%
","
57.1%
","
6.64
","
B- (2.77)
","
B (3.04)
"
"Manohar, Aneesh Vasant","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP14,28,"
8
","
100.0%
","
100.0%
","
7.25
","
B+ (3.38)
","
B+ (3.31)
"
"Manohar, Aneesh Vasant","
PHYS 4E - Physics Majors-Quantum Physics (A)
",SP13,15,"
8
","
100.0%
","
100.0%
","
6.17
","
B+ (3.50)
","
N/A
"
