Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Reller, Cassidy Sebastian","
POLI 100C - American Political Parties (A)
",S121,21,"
3
","
100.0%
","
100.0%
","
3.17
","
B+ (3.33)
","
B+ (3.66)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI21,150,"
43
","
73.8%
","
83.3%
","
4.17
","
B+ (3.52)
","
B+ (3.40)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI20,132,"
38
","
89.2%
","
100.0%
","
4.39
","
B+ (3.47)
","
B+ (3.32)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI19,132,"
39
","
93.9%
","
93.9%
","
3.26
","
B+ (3.50)
","
B (3.25)
"
"Roth, Skyler Elijah Maclean","
POLI 100C - American Political Parties (A)
",S218,21,"
6
","
100.0%
","
100.0%
","
5.50
","
A- (3.80)
","
A- (3.89)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI18,132,"
38
","
97.3%
","
97.3%
","
4.39
","
B+ (3.51)
","
B+ (3.59)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI17,122,"
48
","
91.7%
","
95.8%
","
3.89
","
B+ (3.66)
","
B+ (3.45)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",S116,22,"
5
","
100.0%
","
100.0%
","
7.17
","
A (4.00)
","
B+ (3.60)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI16,94,"
30
","
78.6%
","
82.1%
","
4.36
","
B+ (3.40)
","
B+ (3.40)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",S215,17,"
8
","
87.5%
","
100.0%
","
6.25
","
B+ (3.50)
","
N/A
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",FA14,126,"
41
","
76.9%
","
92.3%
","
5.58
","
B+ (3.44)
","
B+ (3.31)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",S114,25,"
3
","
100.0%
","
100.0%
","
3.83
","
B (3.00)
","
B (3.07)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",FA13,116,"
35
","
88.6%
","
97.1%
","
4.79
","
A- (3.82)
","
B+ (3.32)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",S113,20,"
4
","
100.0%
","
100.0%
","
4.50
","
A- (3.75)
","
B- (2.91)
"
"Galderisi, Peter","
POLI 100C - American Political Parties (A)
",WI13,155,"
47
","
89.1%
","
95.7%
","
5.79
","
B+ (3.69)
","
B (3.21)
"
