Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hill, Seth J","
POLI 100DA - Voting,Campaigning & Elections (A)
",WI19,69,"
30
","
93.1%
","
100.0%
","
3.71
","
B+ (3.56)
","
B (3.22)
"
"Carlson, Taylor Nicole","
POLI 100DA - Voting,Campaigning & Elections (B)
",S118,11,"
4
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
N/A
"
"Hill, Seth J","
POLI 100DA - Voting,Campaigning & Elections (A)
",SP18,47,"
18
","
100.0%
","
100.0%
","
3.75
","
B+ (3.69)
","
B+ (3.51)
"
"Popkin, Samuel L.","
POLI 100DA - Voting,Campaigning & Elections (A)
",WI16,43,"
14
","
69.2%
","
69.2%
","
4.96
","
B (3.23)
","
B- (2.84)
"
"Popkin, Samuel L.","
POLI 100DA - Voting,Campaigning & Elections (A)
",WI15,30,"
11
","
100.0%
","
88.9%
","
5.61
","
A- (3.78)
","
B (3.03)
"
"Popkin, Samuel L.","
POLI 100DA - Voting,Campaigning & Elections (A)
",FA12,76,"
29
","
73.9%
","
73.9%
","
5.54
","
B+ (3.38)
","
B (3.19)
"
"Hassell, Hans J","
POLI 100DA - Voting,Campaigning & Elections (A)
",S112,18,"
4
","
100.0%
","
100.0%
","
5.00
","
B+ (3.67)
","
N/A
"
"Popkin, Samuel L.                  ","
POLI 100DA - Voting,Campaigning & Elections (A)
",FA11,102,"
32
","
80.6%
","
67.7%
","
5.56
","
B (3.03)
","
B- (2.86)
"
"Popkin, Samuel L.                  ","
POLI 100DA - Voting,Campaigning & Elections (A)
",WI11,79,"
22
","
95.5%
","
100.0%
","
4.14
","
B+ (3.59)
","
B (3.09)
"
"Waugh, Andrew Scott                ","
POLI 100DA - Voting,Campaigning & Elections (A)
",FA10,160,"
72
","
79.2%
","
83.3%
","
4.92
","
B+ (3.41)
","
B- (2.76)
"
"Galderisi, Peter                   ","
POLI 100DA - Voting,Campaigning & Elections (A)
",SU10,28,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Popkin, Samuel L.                  ","
POLI 100DA - Voting,Campaigning & Elections (A)
",FA09,140,"
82
","
85.4%
","
81.7%
","
5.40
","
B (3.26)
","
B- (2.74)
"
"Galderisi, Peter","
POLI 100DA - Voting,Campaigning & Elections (A)
",WI09,151,"
89
","
96.6%
","
96.6%
","
3.40
","
B+ (3.61)
","
B+ (3.50)
"
"Popkin, Samuel L.             ","
POLI 100DA - Voting,Campaigning & Elections (A)
",FA07,123,"
86
","
95.2%
","
94.0%
","
4.10
","
B+ (3.48)
","
B- (2.98)
"
