Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",WI21,90,"
28
","
92.6%
","
96.2%
","
5.24
","
B+ (3.58)
","
B+ (3.66)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",WI20,113,"
30
","
90.0%
","
100.0%
","
3.30
","
B+ (3.63)
","
B+ (3.52)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",S119,28,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
A- (3.95)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",WI19,102,"
32
","
100.0%
","
100.0%
","
4.17
","
A- (3.71)
","
B (3.26)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",FA17,124,"
39
","
97.2%
","
97.2%
","
4.66
","
B+ (3.61)
","
B+ (3.57)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",FA16,74,"
26
","
100.0%
","
96.2%
","
5.12
","
B+ (3.62)
","
B+ (3.57)
"
"Searle, David Mordecai","
POLI 100E - Interest Group Politics (A)
",S216,4,"
4
","
100.0%
","
100.0%
","
4.50
","
B+ (3.50)
","
N/A
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",FA15,107,"
32
","
100.0%
","
100.0%
","
4.36
","
B+ (3.68)
","
B+ (3.42)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",S114,25,"
7
","
100.0%
","
100.0%
","
2.50
","
A- (3.71)
","
A- (3.89)
"
"Galderisi, Peter","
POLI 100E - Interest Group Politics (A)
",FA12,128,"
43
","
81.1%
","
94.6%
","
4.77
","
B+ (3.56)
","
B (3.23)
"
