Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA22,223,"
43
","
87.2%
","
82.1%
","
5.70
","
B+ (3.43)
","
B (3.18)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S122,21,"
5
","
100.0%
","
100.0%
","
6.90
","
B+ (3.50)
","
B+ (3.43)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA21,182,"
54
","
86.5%
","
94.2%
","
5.93
","
B+ (3.35)
","
B+ (3.30)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S221,40,"
7
","
100.0%
","
100.0%
","
4.50
","
B (3.00)
","
B (3.22)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA20,211,"
71
","
95.7%
","
94.3%
","
5.24
","
B+ (3.36)
","
B+ (3.38)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S220,39,"
10
","
100.0%
","
100.0%
","
5.25
","
A- (3.75)
","
B+ (3.48)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA19,167,"
61
","
77.8%
","
83.0%
","
5.81
","
B (3.06)
","
B (3.04)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S219,29,"
6
","
100.0%
","
100.0%
","
5.83
","
A- (3.80)
","
B+ (3.48)
"
"Litman, Harry P","
POLI 104A - Supreme Court & Constitution (A)
",SP19,49,"
14
","
92.3%
","
84.6%
","
6.50
","
B+ (3.38)
","
B (3.12)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA18,160,"
44
","
97.4%
","
100.0%
","
4.80
","
A- (3.71)
","
B+ (3.35)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S118,29,"
7
","
100.0%
","
100.0%
","
6.17
","
A- (3.80)
","
B+ (3.43)
"
"Litman, Harry P","
POLI 104A - Supreme Court & Constitution (A)
",WI18,18,"
15
","
92.9%
","
92.9%
","
5.50
","
B (3.29)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA17,167,"
49
","
91.8%
","
89.6%
","
5.32
","
B+ (3.47)
","
B (3.04)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S117,21,"
3
","
66.7%
","
100.0%
","
5.83
","
B+ (3.33)
","
B+ (3.32)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA16,130,"
30
","
82.1%
","
75.0%
","
5.71
","
B+ (3.39)
","
B+ (3.41)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S216,16,"
3
","
100.0%
","
50.0%
","
7.50
","
B+ (3.50)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA15,110,"
33
","
93.9%
","
87.9%
","
5.31
","
B+ (3.56)
","
B (3.18)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",S115,26,"
6
","
100.0%
","
100.0%
","
8.50
","
B+ (3.67)
","
A- (3.70)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA14,66,"
18
","
94.1%
","
94.1%
","
4.88
","
B+ (3.53)
","
B (3.17)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA13,169,"
48
","
77.8%
","
75.6%
","
5.48
","
B+ (3.49)
","
B+ (3.35)
"
"Smith, Glenn Chatmas","
POLI 104A - Supreme Court & Constitution (A)
",FA12,205,"
55
","
88.5%
","
92.3%
","
6.15
","
B+ (3.43)
","
B+ (3.33)
"
