Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Smith, Glenn Chatmas","
POLI 104F - Constitutional Law (A)
",FA22,19,"
4
","
100.0%
","
100.0%
","
7.50
","
B- (2.75)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104F - Constitutional Law (A)
",FA21,15,"
5
","
100.0%
","
100.0%
","
10.10
","
A- (3.80)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104F - Constitutional Law (A)
",FA20,15,"
4
","
100.0%
","
100.0%
","
5.50
","
B+ (3.50)
","
N/A
"
"Macmanus, Maureen Danielle","
POLI 104F - Constitutional Law (A)
",WI20,9,"
3
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104F - Constitutional Law (A)
",FA19,18,"
6
","
100.0%
","
100.0%
","
5.83
","
B+ (3.50)
","
N/A
"
"Macmanus, Maureen Danielle","
POLI 104F - Constitutional Law (A)
",SP19,25,"
7
","
100.0%
","
100.0%
","
7.36
","
A (4.00)
","
A (4.00)
"
"Smith, Glenn Chatmas","
POLI 104F - Constitutional Law (A)
",FA18,13,"
4
","
100.0%
","
100.0%
","
7.50
","
A- (3.75)
","
N/A
"
"Macmanus, Maureen Danielle","
POLI 104F - Constitutional Law (A)
",SP18,11,"
3
","
100.0%
","
100.0%
","
10.50
","
A (4.00)
","
N/A
"
"Bergman, Matthew Edward","
POLI 104F - Seminar in Constitutional Law (A)
",SP16,25,"
24
","
100.0%
","
100.0%
","
6.77
","
A- (3.82)
","
B+ (3.59)
"
"Lajevardi, Nazita","
POLI 104F - Seminar in Constitutional Law (A)
",SP16,26,"
23
","
100.0%
","
100.0%
","
6.71
","
A- (3.84)
","
B+ (3.59)
"
