Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Draper, Matthew William","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S122,50,"
6
","
100.0%
","
100.0%
","
8.50
","
A- (3.80)
","
B (3.24)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S220,28,"
4
","
100.0%
","
100.0%
","
9.00
","
B+ (3.50)
","
B+ (3.50)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S119,34,"
7
","
100.0%
","
100.0%
","
4.79
","
A- (3.71)
","
B (3.27)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S118,25,"
4
","
100.0%
","
100.0%
","
5.00
","
B+ (3.50)
","
B (3.11)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",SP18,17,"
4
","
100.0%
","
100.0%
","
7.00
","
A (4.00)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S117,21,"
3
","
100.0%
","
100.0%
","
5.50
","
B+ (3.50)
","
B (3.07)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",FA16,86,"
20
","
100.0%
","
95.0%
","
6.00
","
B+ (3.55)
","
B+ (3.33)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S116,18,"
5
","
100.0%
","
80.0%
","
9.50
","
B+ (3.40)
","
N/A
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",S115,22,"
4
","
75.0%
","
75.0%
","
5.17
","
B+ (3.67)
","
B (3.06)
"
"Smith, Glenn Chatmas","
POLI 104I - Law&Politcs-Crts&Poli Controv (A)
",FA13,126,"
36
","
94.3%
","
94.3%
","
6.27
","
B+ (3.58)
","
B+ (3.35)
"
