Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ingham, Sean","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI23,49,"
17
","
87.5%
","
87.5%
","
5.50
","
B+ (3.41)
","
B- (2.75)
"
"Pamuk, Zeynep","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI22,46,"
24
","
87.5%
","
91.7%
","
3.83
","
B+ (3.46)
","
B+ (3.44)
"
"Pamuk, Zeynep","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI21,41,"
27
","
92.6%
","
100.0%
","
4.94
","
B+ (3.48)
","
B+ (3.47)
"
"Wiens, David Abram","
POLI 110B - Sovereigns,Subj & Modern State (A)
",S120,18,"
4
","
100.0%
","
100.0%
","
8.50
","
A- (3.75)
","
N/A
"
"Ingham, Sean","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI20,43,"
15
","
92.9%
","
78.6%
","
6.07
","
B+ (3.46)
","
B (3.28)
"
"Wiens, David Abram","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI19,37,"
13
","
91.7%
","
91.7%
","
7.00
","
B+ (3.45)
","
B- (2.99)
"
"Morgan, Sean Thomas","
POLI 110B - Sovereigns,Subj & Modern State (A)
",S218,17,"
3
","
33.3%
","
66.7%
","
7.17
","
B (3.00)
","
N/A
"
"Morgan, Sean Thomas","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI18,31,"
23
","
100.0%
","
95.5%
","
6.98
","
B+ (3.41)
","
B (3.18)
"
"Wiens, David Abram","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI17,27,"
19
","
94.1%
","
94.1%
","
5.38
","
B+ (3.31)
","
B (3.17)
"
"Wiens, David Abram","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI16,21,"
8
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
B+ (3.40)
"
"LeJeune, John Louis","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI15,22,"
9
","
100.0%
","
100.0%
","
5.75
","
B+ (3.63)
","
B+ (3.37)
"
"Wiens, David Abram","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI14,42,"
20
","
63.2%
","
84.2%
","
6.06
","
B (3.28)
","
B (3.09)
"
"Strong, Tracy B","
POLI 110B - Sovereigns,Subj & Modern State (A)
",WI13,38,"
11
","
63.6%
","
81.8%
","
4.50
","
B+ (3.55)
","
B (3.28)
"
