Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",FA22,70,"
14
","
100.0%
","
100.0%
","
4.19
","
A- (3.92)
","
A- (3.72)
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",S222,18,"
8
","
100.0%
","
100.0%
","
4.21
","
A- (3.88)
","
N/A
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",S122,21,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A- (3.77)
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",FA21,33,"
8
","
100.0%
","
100.0%
","
3.75
","
A- (3.88)
","
A- (3.93)
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",S121,16,"
6
","
100.0%
","
100.0%
","
7.50
","
A (4.00)
","
N/A
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",WI21,34,"
18
","
94.1%
","
100.0%
","
3.91
","
A- (3.82)
","
A- (3.98)
"
"Ramanathan, Veerabhadran","
POLI 117R - Bending/Curve: Climate Change (A)
",WI21,34,"
18
","
94.1%
","
94.1%
","
3.91
","
A- (3.82)
","
A- (3.98)
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",S220,18,"
7
","
100.0%
","
100.0%
","
4.83
","
A- (3.83)
","
N/A
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",S120,12,"
3
","
100.0%
","
100.0%
","
5.17
","
B+ (3.67)
","
N/A
"
"Forman, Fonna","
POLI 117R - Bending/Curve: Climate Change (A)
",SP20,18,"
6
","
100.0%
","
100.0%
","
10.50
","
B+ (3.33)
","
N/A
"
"Ramanathan, Veerabhadran","
POLI 117R - Bending/Curve: Climate Change (A)
",SP20,18,"
6
","
100.0%
","
100.0%
","
10.50
","
B+ (3.33)
","
N/A
"
