Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Desposato, Scott","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",SP23,194,"
80
","
96.0%
","
97.3%
","
3.83
","
B+ (3.70)
","
B+ (3.56)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA22,136,"
52
","
100.0%
","
98.0%
","
4.81
","
A- (3.71)
","
B+ (3.66)
"
"Desposato, Scott","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",SP22,126,"
66
","
95.5%
","
93.9%
","
3.28
","
B+ (3.68)
","
B+ (3.51)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA21,123,"
53
","
77.8%
","
79.5%
","
4.83
","
B (3.13)
","
B- (2.90)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI21,139,"
61
","
96.7%
","
98.3%
","
4.57
","
A- (3.75)
","
B+ (3.45)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA20,191,"
79
","
96.1%
","
98.7%
","
4.92
","
A- (3.76)
","
B+ (3.51)
"
"Seese, Michael Francis","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",SP20,68,"
19
","
78.9%
","
100.0%
","
4.08
","
B (3.27)
","
B+ (3.45)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI20,157,"
61
","
78.9%
","
89.1%
","
3.59
","
B+ (3.34)
","
B- (2.99)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI19,157,"
64
","
86.4%
","
89.8%
","
4.27
","
B (3.24)
","
B (3.00)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA18,87,"
45
","
95.2%
","
97.6%
","
4.74
","
A- (3.70)
","
B (3.18)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI18,170,"
89
","
90.9%
","
90.8%
","
4.20
","
B+ (3.45)
","
B+ (3.30)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA17,177,"
72
","
80.9%
","
86.8%
","
5.01
","
B (3.24)
","
B- (2.83)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI17,53,"
27
","
81.8%
","
81.8%
","
4.32
","
B+ (3.40)
","
B (3.01)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA16,184,"
76
","
94.3%
","
95.7%
","
5.94
","
B+ (3.45)
","
B+ (3.32)
"
"Ferree, Karen E","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI16,69,"
41
","
94.9%
","
97.4%
","
3.99
","
B+ (3.69)
","
B (3.22)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA15,186,"
86
","
86.7%
","
91.6%
","
6.23
","
B (3.24)
","
B (3.06)
"
"Tiwari, Devesh K","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",WI15,82,"
35
","
93.1%
","
79.3%
","
4.64
","
B+ (3.41)
","
B (3.15)
"
"Strom, Kaare","
POLI 11D - Intro/Poli Sci:Compar Politics (A)
",FA14,187,"
84
","
81.3%
","
92.0%
","
6.72
","
B+ (3.43)
","
B- (2.87)
"
