Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fisk, David Lee","
POLI 120H - European Integration (A)
",FA22,138,"
47
","
95.6%
","
97.8%
","
4.59
","
B+ (3.60)
","
A- (3.76)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",FA21,93,"
29
","
96.2%
","
92.3%
","
5.43
","
B+ (3.54)
","
B (3.28)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",WI21,93,"
23
","
95.7%
","
100.0%
","
5.11
","
B+ (3.50)
","
B+ (3.49)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",SP20,108,"
41
","
97.6%
","
97.6%
","
5.67
","
B+ (3.63)
","
B+ (3.68)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",FA18,110,"
29
","
92.6%
","
92.6%
","
4.12
","
B+ (3.69)
","
B (3.19)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",FA17,85,"
30
","
88.9%
","
96.3%
","
4.87
","
B+ (3.32)
","
B+ (3.37)
"
"Porten, John Joseph","
POLI 120H - European Integration (A)
",S217,10,"
6
","
100.0%
","
100.0%
","
4.83
","
B (3.00)
","
N/A
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",SP17,115,"
27
","
96.3%
","
100.0%
","
4.72
","
B+ (3.63)
","
B+ (3.63)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",S216,21,"
6
","
100.0%
","
100.0%
","
7.70
","
B+ (3.33)
","
B (3.05)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",FA14,101,"
27
","
84.0%
","
92.0%
","
4.92
","
B (3.20)
","
B (3.04)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",S214,21,"
5
","
75.0%
","
75.0%
","
9.00
","
B+ (3.50)
","
B+ (3.33)
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",WI14,37,"
12
","
90.9%
","
90.9%
","
5.77
","
B+ (3.50)
","
B (3.07)
"
"Timmins, Graham","
POLI 120H - European Integration (A)
",S113,18,"
5
","
100.0%
","
100.0%
","
5.30
","
A (4.00)
","
N/A
"
"Fisk, David Lee","
POLI 120H - European Integration (A)
",SP13,87,"
22
","
100.0%
","
100.0%
","
4.30
","
B+ (3.32)
","
B+ (3.39)
"
