Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",WI23,110,"
31
","
89.7%
","
96.4%
","
4.63
","
B+ (3.58)
","
B+ (3.40)
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",S222,13,"
3
","
100.0%
","
100.0%
","
9.17
","
B+ (3.67)
","
N/A
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",S121,29,"
6
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
B (3.28)
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",S220,29,"
5
","
100.0%
","
100.0%
","
10.10
","
B+ (3.60)
","
A- (3.75)
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",S219,24,"
7
","
100.0%
","
100.0%
","
5.93
","
A- (3.80)
","
B (3.08)
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",SP19,70,"
17
","
93.8%
","
100.0%
","
3.75
","
A- (3.75)
","
B+ (3.43)
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",S218,28,"
7
","
100.0%
","
100.0%
","
4.50
","
B (3.29)
","
B+ (3.68)
"
"Fisk, David Lee","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",S217,20,"
4
","
75.0%
","
100.0%
","
4.50
","
B+ (3.33)
","
B+ (3.58)
"
"Comisso, Ellen T.","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",WI13,32,"
8
","
62.5%
","
62.5%
","
6.00
","
A- (3.71)
","
B (3.01)
"
"Comisso, Ellen T.                  ","
POLI 126AB - Politics&Econ/CntrlEast Europe (A)
",FA10,66,"
16
","
86.7%
","
73.3%
","
4.38
","
B+ (3.53)
","
B (3.12)
"
