Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP22,436,"
104
","
99.0%
","
97.9%
","
3.32
","
A- (3.98)
","
A- (3.85)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP22,444,"
105
","
95.8%
","
93.7%
","
2.65
","
A- (3.96)
","
A- (3.87)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S221,83,"
12
","
83.3%
","
83.3%
","
5.33
","
A- (3.82)
","
A- (3.82)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP21,325,"
68
","
98.5%
","
97.0%
","
3.65
","
A- (3.95)
","
A- (3.89)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP21,314,"
78
","
98.6%
","
95.9%
","
3.21
","
A- (3.94)
","
A- (3.89)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S220,167,"
31
","
100.0%
","
100.0%
","
5.04
","
A- (3.96)
","
A- (3.84)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP20,449,"
97
","
97.8%
","
95.6%
","
2.98
","
A (4.00)
","
A- (3.95)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP20,443,"
119
","
97.4%
","
99.1%
","
3.06
","
A- (3.94)
","
A- (3.96)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S219,215,"
38
","
93.3%
","
93.1%
","
6.10
","
A- (3.94)
","
A- (3.89)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP19,474,"
125
","
100.0%
","
100.0%
","
2.93
","
A- (3.96)
","
A- (3.85)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP19,474,"
117
","
99.0%
","
99.0%
","
3.65
","
A- (3.89)
","
A- (3.85)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S218,252,"
55
","
100.0%
","
100.0%
","
5.23
","
A- (3.98)
","
A- (3.95)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP18,469,"
151
","
99.3%
","
99.3%
","
3.64
","
A- (3.94)
","
A- (3.80)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP18,465,"
140
","
100.0%
","
100.0%
","
3.57
","
A- (3.93)
","
A- (3.80)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S217,302,"
64
","
98.3%
","
96.6%
","
4.84
","
A- (3.83)
","
N/A
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP17,454,"
135
","
97.7%
","
98.5%
","
4.12
","
A- (3.88)
","
A- (3.90)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP17,458,"
135
","
97.6%
","
98.4%
","
3.54
","
A- (3.93)
","
A- (3.90)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S216,246,"
40
","
97.4%
","
100.0%
","
4.79
","
A- (3.92)
","
A- (3.86)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP16,470,"
116
","
99.1%
","
98.2%
","
3.38
","
A- (3.96)
","
A- (3.91)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP16,464,"
119
","
100.0%
","
100.0%
","
2.86
","
A- (3.96)
","
A- (3.91)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S215,238,"
39
","
100.0%
","
100.0%
","
4.03
","
A- (3.94)
","
A- (3.83)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP15,467,"
120
","
98.2%
","
98.2%
","
3.79
","
A- (3.97)
","
A- (3.88)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (B)
",SP15,465,"
117
","
99.1%
","
99.1%
","
3.11
","
A- (3.95)
","
A- (3.88)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S214,223,"
25
","
100.0%
","
100.0%
","
6.26
","
A- (3.85)
","
A- (3.88)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP14,458,"
92
","
100.0%
","
100.0%
","
2.62
","
A- (3.94)
","
A- (3.93)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",S213,138,"
15
","
100.0%
","
100.0%
","
4.35
","
A (4.00)
","
A- (3.81)
"
"Magagna, Victor Valentine","
POLI 142K - Politics and Warfare (A)
",SP13,462,"
98
","
99.0%
","
99.0%
","
2.98
","
A- (3.99)
","
A- (3.93)
"
