Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Slantchev, Branislav","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA19,64,"
55
","
100.0%
","
96.2%
","
5.28
","
B+ (3.31)
","
B+ (3.61)
"
"Slantchev, Branislav","
POLI 142M - US Foreign Policy/Reg Security (A)
",WI19,51,"
16
","
75.0%
","
81.3%
","
4.13
","
B- (2.94)
","
B- (2.86)
"
"Slantchev, Branislav","
POLI 142M - US Foreign Policy/Reg Security (A)
",WI18,68,"
62
","
96.8%
","
95.2%
","
5.34
","
B+ (3.41)
","
B+ (3.37)
"
"Willoughby, Randy K","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA16,47,"
21
","
94.4%
","
88.9%
","
7.72
","
B+ (3.47)
","
B (3.18)
"
"Slantchev, Branislav","
POLI 142M - US Foreign Policy/Reg Security (A)
",WI16,57,"
45
","
93.3%
","
95.6%
","
5.61
","
B+ (3.44)
","
B (3.23)
"
"Dobbs, Michael J","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA15,49,"
14
","
46.2%
","
69.2%
","
5.12
","
B+ (3.38)
","
B (3.10)
"
"Willoughby, Randy K","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA15,50,"
14
","
46.2%
","
61.5%
","
5.12
","
B+ (3.38)
","
N/A
"
"Willoughby, Randy K","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA14,41,"
11
","
90.0%
","
100.0%
","
6.10
","
B+ (3.30)
","
B+ (3.32)
"
"Slantchev, Branislav","
POLI 142M - US Foreign Policy/Reg Security (A)
",S114,11,"
3
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Willoughby, Randy K","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA13,52,"
13
","
84.6%
","
76.9%
","
6.96
","
B+ (3.67)
","
B+ (3.43)
"
"Willoughby, Randy K","
POLI 142M - US Foreign Policy/Reg Security (A)
",FA12,121,"
45
","
78.6%
","
73.8%
","
6.74
","
B+ (3.31)
","
B- (2.90)
"
