Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gaudette, Jennifer Colleen","
POLI 160AA - Introduction/Policy Analysis (A)
",SP23,166,"
69
","
98.5%
","
100.0%
","
3.71
","
A- (3.78)
","
A- (3.77)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",S222,34,"
4
","
75.0%
","
100.0%
","
9.00
","
B (3.25)
","
C+ (2.41)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",SP22,129,"
44
","
46.5%
","
62.8%
","
5.40
","
B (3.14)
","
B- (2.89)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",S121,27,"
5
","
100.0%
","
100.0%
","
8.10
","
B+ (3.60)
","
B (3.26)
"
"Baragwanath Vogel, Kathryn","
POLI 160AA - Introduction/Policy Analysis (A)
",SP21,188,"
53
","
76.9%
","
90.2%
","
3.73
","
B+ (3.65)
","
B+ (3.63)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",S220,24,"
8
","
87.5%
","
100.0%
","
7.00
","
B (3.25)
","
B+ (3.57)
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis (A)
",FA19,122,"
44
","
76.2%
","
95.1%
","
4.55
","
B (3.05)
","
B (3.13)
"
"Baragwanath Vogel, Kathryn","
POLI 160AA - Introduction/Policy Analysis (A)
",S219,27,"
13
","
100.0%
","
100.0%
","
5.00
","
B+ (3.54)
","
B (3.25)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",WI19,26,"
6
","
66.7%
","
100.0%
","
4.17
","
B+ (3.33)
","
C+ (2.64)
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis (A)
",FA18,122,"
39
","
78.4%
","
83.3%
","
4.55
","
B (3.05)
","
B (3.07)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",S218,26,"
7
","
100.0%
","
100.0%
","
4.50
","
B (3.17)
","
C+ (2.62)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",FA17,99,"
30
","
67.9%
","
81.5%
","
7.60
","
B- (2.93)
","
B- (2.93)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",S117,27,"
6
","
100.0%
","
100.0%
","
4.17
","
B (3.17)
","
B (3.10)
"
"Bergman, Matthew Edward","
POLI 160AA - Introduction/Policy Analysis (A)
",FA16,98,"
43
","
76.2%
","
81.0%
","
4.89
","
B (3.17)
","
B (3.09)
"
"Ward, Alan","
POLI 160AA - Introduction/Policy Analysis (A)
",S116,22,"
8
","
87.5%
","
100.0%
","
4.25
","
A- (3.75)
","
A- (3.82)
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis (A)
",FA15,87,"
35
","
93.8%
","
87.5%
","
5.30
","
B (3.25)
","
B (3.20)
"
"Denny, Elaine Kathryn","
POLI 160AA - Introduction/Policy Analysis (A)
",S215,18,"
7
","
100.0%
","
100.0%
","
6.50
","
B (3.29)
","
N/A
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis (A)
",FA14,91,"
32
","
92.9%
","
85.7%
","
5.14
","
B+ (3.64)
","
B+ (3.51)
"
"Chowdhury, Rumman","
POLI 160AA - Introduction/Policy Analysis (A)
",S214,15,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Ward, Alan","
POLI 160AA - Introduction/Policy Analysis (A)
",S214,14,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis (A)
",WI14,40,"
14
","
76.9%
","
84.6%
","
4.04
","
B+ (3.62)
","
B (3.28)
"
"Levitt, Justin M","
POLI 160AA - Introduction/Policy Analysis (A)
",FA13,95,"
35
","
63.6%
","
81.8%
","
4.92
","
B+ (3.33)
","
B- (2.83)
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis (A)
",FA12,140,"
50
","
81.3%
","
93.8%
","
4.25
","
B+ (3.42)
","
B+ (3.41)
"
"Bonoff, Nicole S                   ","
POLI 160AA - Introduction/Policy Analysis   (A)
",SP12,125,"
67
","
42.4%
","
15.2%
","
6.26
","
B (3.00)
","
B (3.08)
"
"Bonoff, Nicole S                   ","
POLI 160AA - Introduction/Policy Analysis   (A)
",SP12,15,"
5
","
40.0%
","
60.0%
","
4.90
","
B (3.00)
","
N/A
"
"Hajnal, Zoltan Lloyd               ","
POLI 160AA - Introduction/Policy Analysis   (A)
",FA10,171,"
89
","
87.2%
","
89.7%
","
4.31
","
B+ (3.36)
","
B (3.19)
"
"Hajnal, Zoltan Lloyd               ","
POLI 160AA - Introduction/Policy Analysis   (A)
",FA09,148,"
89
","
84.9%
","
90.8%
","
3.94
","
B+ (3.43)
","
B (3.26)
"
"Hajnal, Zoltan Lloyd","
POLI 160AA - Introduction/Policy Analysis   (A)
",WI09,139,"
93
","
78.7%
","
94.4%
","
3.80
","
B+ (3.38)
","
B (3.02)
"
"Hajnal, Zoltan Lloyd          ","
POLI 160AA - Introduction/Policy Analysis   (A)
",FA07,115,"
66
","
82.5%
","
95.2%
","
4.18
","
B+ (3.39)
","
B- (2.94)
"
