Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ingham, Sean","
POLI 87 - Freshman Seminar (A)
",WI22,17,"
11
","
70.0%
","
80.0%
","
1.30
","
A (4.00)
","
N/A
"
"Roeder, Philip G","
POLI 87 - Freshman Seminar (A)
",FA19,18,"
9
","
88.9%
","
100.0%
","
0.72
","
A (4.00)
","
N/A
"
"Roeder, Philip G","
POLI 87 - Freshman Seminar (A)
",FA18,16,"
12
","
100.0%
","
100.0%
","
0.67
","
N/A
","
N/A
"
"Roeder, Philip G","
POLI 87 - Freshman Seminar (A)
",SP18,17,"
3
","
100.0%
","
100.0%
","
1.50
","
N/A
","
N/A
"
"Strom, Kaare","
POLI 87 - Freshman Seminar (A)
",FA16,6,"
4
","
33.3%
","
66.7%
","
3.83
","
A (4.00)
","
N/A
"
"Strom, Kaare","
POLI 87 - Freshman Seminar (A)
",FA15,14,"
7
","
100.0%
","
85.7%
","
5.36
","
N/A
","
N/A
"
"Strom, Kaare","
POLI 87 - Freshman Seminar (A)
",FA14,8,"
4
","
75.0%
","
75.0%
","
2.50
","
A (4.00)
","
N/A
"
"Strom, Kaare","
POLI 87 - Freshman Seminar (A)
",FA13,16,"
12
","
90.9%
","
100.0%
","
3.50
","
N/A
","
N/A
"
"Strom, Kaare","
POLI 87 - Freshman Seminar (A)
",FA12,15,"
6
","
100.0%
","
100.0%
","
2.83
","
B+ (3.50)
","
N/A
"
"Forman-Barzilai, Fonna             ","
POLI 87 - Freshman Seminar               (A)
",FA10,13,"
5
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Forman-Barzilai, Fonna             ","
POLI 87 - Freshman Seminar               (B)
",FA10,12,"
8
","
100.0%
","
100.0%
","
2.75
","
A (4.00)
","
N/A
"
"Strom, Kaare                       ","
POLI 87 - Freshman Seminar               (C)
",FA10,14,"
10
","
90.0%
","
100.0%
","
2.70
","
B (3.00)
","
N/A
"
"Schreiber, Darren                  ","
POLI 87 - Freshman Seminar               (D)
",FA10,13,"
8
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Forman-Barzilai, Fonna             ","
POLI 87 - Freshman Seminar               (A)
",SP10,14,"
8
","
87.5%
","
100.0%
","
1.25
","
N/A
","
N/A
"
"Forman-Barzilai, Fonna             ","
POLI 87 - Freshman Seminar               (B)
",SP10,11,"
6
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Mares, David R                     ","
POLI 87 - Freshman Seminar               (C)
",SP10,9,"
5
","
100.0%
","
100.0%
","
0.90
","
N/A
","
N/A
"
"Forman-Barzilai, Fonna             ","
POLI 87 - Freshman Seminar               (A)
",WI10,5,"
3
","
100.0%
","
100.0%
","
1.17
","
N/A
","
N/A
"
"Forman-Barzilai, Fonna             ","
POLI 87 - Freshman Seminar               (B)
",WI10,14,"
6
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Magagna, Victor Valentine          ","
POLI 87 - Freshman Seminar               (E)
",WI10,7,"
3
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Schreiber, Darren                  ","
POLI 87 - Freshman Seminar               (G)
",FA09,6,"
4
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
N/A
"
"Mares, David R                     ","
POLI 87 - Freshman Seminar               (C)
",SP09,13,"
13
","
84.6%
","
92.3%
","
0.81
","
A (4.00)
","
N/A
"
"Mares, David R","
POLI 87 - Freshman Seminar               (C)
",WI09,14,"
14
","
92.9%
","
92.9%
","
0.64
","
A (4.00)
","
N/A
"
"Magagna, Victor Valentine","
POLI 87 - Freshman Seminar               (E)
",WI09,10,"
8
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Roeder, Philip G                   ","
POLI 87 - Freshman Seminar               (A)
",FA08,16,"
16
","
100.0%
","
100.0%
","
1.13
","
A (4.00)
","
N/A
"
"Houston, Alan Craig                ","
POLI 87 - Freshman Seminar               (D)
",FA08,19,"
20
","
100.0%
","
100.0%
","
0.70
","
C (2.00)
","
N/A
"
"Houston, Alan Craig                ","
POLI 87 - Freshman Seminar               (E)
",FA08,17,"
14
","
92.9%
","
100.0%
","
0.79
","
A (4.00)
","
N/A
"
"Strom, Kaare                       ","
POLI 87 - Freshman Seminar               (F)
",FA08,5,"
4
","
100.0%
","
100.0%
","
3.50
","
N/A
","
N/A
"
"Houston, Alan Craig                ","
POLI 87 - Freshman Seminar               (G)
",FA08,19,"
18
","
94.4%
","
100.0%
","
1.06
","
A (4.00)
","
N/A
"
"Mares, David R                ","
POLI 87 - Freshman Seminar               (C)
",SP08,13,"
13
","
100.0%
","
100.0%
","
0.81
","
N/A
","
N/A
"
"Mares, David R                ","
POLI 87 - Freshman Seminar               (C)
",WI08,12,"
9
","
100.0%
","
100.0%
","
0.72
","
A (4.00)
","
N/A
"
"Mares, David R                ","
POLI 87 - Freshman Seminar               (D)
",WI08,10,"
8
","
100.0%
","
100.0%
","
0.75
","
N/A
","
N/A
"
