Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hurwitz, Ethan Scott","
PSYC 111A - Research Methods I (A)
",WI23,34,"
32
","
84.4%
","
78.1%
","
10.50
","
B+ (3.52)
","
B+ (3.64)
"
"Geller, Emma Harlan","
PSYC 111A - Research Methods I (A)
",WI22,40,"
36
","
83.3%
","
88.9%
","
10.56
","
B+ (3.39)
","
B+ (3.39)
"
"Geller, Emma Harlan","
PSYC 111A - Research Methods I (A)
",WI21,36,"
34
","
97.1%
","
100.0%
","
11.03
","
B+ (3.59)
","
B+ (3.69)
"
"Lowe, Angela Beth","
PSYC 111A - Research Methods I (A)
",WI20,40,"
35
","
85.3%
","
97.1%
","
8.10
","
B+ (3.67)
","
A- (3.74)
"
"Geller, Emma Harlan","
PSYC 111A - Research Methods I (A)
",WI19,43,"
35
","
91.2%
","
97.1%
","
8.39
","
B+ (3.60)
","
B+ (3.57)
"
"Geller, Emma Harlan","
PSYC 111A - Research Methods I (A)
",WI18,34,"
31
","
93.5%
","
100.0%
","
7.21
","
A- (3.74)
","
A- (3.72)
"
"Geller, Emma Harlan","
PSYC 111A - Research Methods I (A)
",WI17,29,"
21
","
100.0%
","
100.0%
","
9.09
","
A- (3.83)
","
A- (3.79)
"
"Metusalem, Ross","
PSYC 111A - Research Methods I (A)
",WI16,31,"
25
","
84.0%
","
100.0%
","
9.86
","
B+ (3.56)
","
A- (3.77)
"
"Parris, Julian L","
PSYC 111A - Research Methods I (A)
",WI15,29,"
22
","
88.9%
","
100.0%
","
10.17
","
B (3.29)
","
B+ (3.57)
"
"Kleinman, Daniel Gregory","
PSYC 111A - Research Methods I (A)
",WI14,26,"
24
","
87.5%
","
95.8%
","
8.83
","
B+ (3.43)
","
B+ (3.41)
"
"Parris, Julian L","
PSYC 111A - Research Methods I (A)
",WI13,33,"
19
","
84.2%
","
100.0%
","
7.45
","
B+ (3.61)
","
B+ (3.32)
"
