Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hurwitz, Ethan Scott","
PSYC 111B - Research Methods II (A)
",SP23,34,"
33
","
90.6%
","
90.6%
","
9.83
","
B+ (3.61)
","
A- (3.73)
"
"Geller, Emma Harlan","
PSYC 111B - Research Methods II (A)
",SP22,37,"
31
","
90.3%
","
93.5%
","
10.82
","
B+ (3.48)
","
B+ (3.65)
"
"Geller, Emma Harlan","
PSYC 111B - Research Methods II (A)
",SP21,36,"
30
","
93.3%
","
100.0%
","
10.43
","
A- (3.76)
","
A- (3.83)
"
"Geller, Emma Harlan","
PSYC 111B - Research Methods II (A)
",SP20,37,"
32
","
93.8%
","
100.0%
","
9.19
","
A- (3.84)
","
A- (3.96)
"
"Geller, Emma Harlan","
PSYC 111B - Research Methods II (A)
",SP19,42,"
36
","
100.0%
","
100.0%
","
7.41
","
A- (3.77)
","
A- (3.85)
"
"Geller, Emma Harlan","
PSYC 111B - Research Methods II (A)
",SP18,31,"
27
","
96.3%
","
100.0%
","
7.42
","
B+ (3.69)
","
A- (3.86)
"
"Geller, Emma Harlan","
PSYC 111B - Research Methods II (A)
",SP17,27,"
14
","
85.7%
","
100.0%
","
7.58
","
A- (3.86)
","
A- (3.84)
"
"Metusalem, Ross","
PSYC 111B - Research Methods II (A)
",SP16,24,"
13
","
100.0%
","
100.0%
","
8.50
","
A- (3.92)
","
A- (3.85)
"
"Raiewski, Evan Eric","
PSYC 111B - Research Methods II (B)
",SP15,25,"
16
","
66.7%
","
6.7%
","
4.50
","
B+ (3.53)
","
B+ (3.38)
"
"Kleinman, Daniel Gregory","
PSYC 111B - Research Methods II (A)
",SP14,20,"
16
","
93.3%
","
100.0%
","
8.63
","
A- (3.73)
","
B+ (3.60)
"
"Parris, Julian L","
PSYC 111B - Research Methods II (A)
",SP13,25,"
12
","
91.7%
","
91.7%
","
8.67
","
A- (3.75)
","
B+ (3.58)
"
