Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Yilmaz, Anne Sheyda","
PSYC 144 - Memory and Amnesia (A)
",WI23,273,"
197
","
79.6%
","
81.0%
","
5.63
","
B- (2.91)
","
B- (2.83)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S222,30,"
7
","
100.0%
","
100.0%
","
8.21
","
B (3.14)
","
B- (2.92)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI22,201,"
136
","
83.0%
","
88.1%
","
5.86
","
B (3.22)
","
B- (2.98)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S121,46,"
19
","
100.0%
","
100.0%
","
5.28
","
B (3.00)
","
B- (2.95)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI21,211,"
159
","
84.3%
","
85.5%
","
5.42
","
B (3.24)
","
B (3.16)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S120,83,"
46
","
97.8%
","
100.0%
","
6.11
","
B (3.27)
","
B- (2.93)
"
"Wilson, Brent M","
PSYC 144 - Memory and Amnesia (A)
",WI20,270,"
249
","
90.7%
","
93.1%
","
4.53
","
B+ (3.38)
","
B (3.16)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S119,21,"
19
","
94.7%
","
100.0%
","
5.87
","
B+ (3.58)
","
B+ (3.34)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI19,190,"
109
","
92.5%
","
98.1%
","
5.15
","
B+ (3.45)
","
B- (2.76)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S118,30,"
20
","
90.0%
","
100.0%
","
5.30
","
B (3.05)
","
B- (2.92)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI18,188,"
111
","
91.5%
","
97.2%
","
4.97
","
B (3.19)
","
B- (2.80)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S117,52,"
20
","
84.2%
","
94.1%
","
6.94
","
B (3.22)
","
C+ (2.66)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI17,229,"
91
","
85.1%
","
93.1%
","
4.62
","
B+ (3.34)
","
B- (2.84)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S116,68,"
22
","
90.9%
","
81.8%
","
4.98
","
B+ (3.56)
","
B- (2.74)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI16,176,"
77
","
93.3%
","
98.7%
","
3.90
","
B+ (3.48)
","
B- (2.99)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S115,35,"
10
","
100.0%
","
100.0%
","
5.83
","
B+ (3.33)
","
B+ (3.30)
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",WI15,105,"
41
","
95.0%
","
97.5%
","
4.76
","
B+ (3.46)
","
B- (2.89)
"
"Howell, Kristin Kimberly","
PSYC 144 - Memory and Amnesia (A)
",S214,18,"
13
","
92.3%
","
100.0%
","
7.42
","
B+ (3.58)
","
N/A
"
"Wixted, John T","
PSYC 144 - Memory and Amnesia (A)
",S213,44,"
11
","
100.0%
","
100.0%
","
4.50
","
A- (3.70)
","
B- (2.82)
"
"Cai, Denise Jade                   ","
PSYC 144 - Memory and Amnesia             (A)
",SU10,53,"
19
","
94.7%
","
100.0%
","
4.92
","
A- (3.74)
","
N/A
"
"Kang, Sean H.                      ","
PSYC 144 - Memory and Amnesia             (A)
",WI10,36,"
21
","
95.2%
","
90.5%
","
4.69
","
B (3.15)
","
B (3.26)
"
"Cai, Denise Jade                   ","
PSYC 144 - Memory and Amnesia             (A)
",SU09,33,"
15
","
100.0%
","
86.7%
","
4.90
","
B+ (3.50)
","
N/A
"
"Wood, Suzanne Courtney             ","
PSYC 144 - Memory and Amnesia             (A)
",SP09,37,"
24
","
95.7%
","
100.0%
","
3.75
","
B+ (3.57)
","
B (3.17)
"
"Wood, Suzanne Courtney             ","
PSYC 144 - Memory and Amnesia             (A)
",SU08,40,"
37
","
88.6%
","
91.4%
","
3.11
","
B+ (3.49)
","
N/A
"
"Sage, Jennifer                ","
PSYC 144 - Memory and Amnesia             (A)
",FA07,46,"
45
","
100.0%
","
100.0%
","
3.57
","
B+ (3.49)
","
B+ (3.44)
"
"Anagnostaras, Stephan         ","
PSYC 144 - Memory and Amnesia             (A)
",SU07,30,"
24
","
95.7%
","
100.0%
","
4.58
","
A- (3.78)
","
N/A
"
