Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Stretch, Vincent Patrick","
PSYC 163 - Abnormal Psychology (A)
",S115,27,"
3
","
100.0%
","
100.0%
","
6.50
","
B (3.00)
","
B- (2.74)
"
"Rose, Fred E.","
PSYC 163 - Abnormal Psychology (A)
",SP15,344,"
108
","
96.2%
","
96.2%
","
5.76
","
B (3.12)
","
C+ (2.70)
"
"Rose, Fred E.","
PSYC 163 - Abnormal Psychology (A)
",FA14,195,"
78
","
98.7%
","
97.3%
","
5.27
","
B+ (3.35)
","
B- (2.84)
"
"Stretch, Vincent Patrick","
PSYC 163 - Abnormal Psychology (A)
",S114,31,"
10
","
100.0%
","
77.8%
","
5.39
","
B- (2.88)
","
C (2.08)
"
"Rose, Fred E.","
PSYC 163 - Abnormal Psychology (A)
",SP14,298,"
116
","
96.4%
","
92.8%
","
4.70
","
B (3.24)
","
B- (2.77)
"
"Rose, Fred E.","
PSYC 163 - Abnormal Psychology (A)
",FA13,281,"
129
","
93.8%
","
97.7%
","
5.24
","
B+ (3.33)
","
B- (2.86)
"
"Stretch, Vincent Patrick","
PSYC 163 - Abnormal Psychology (A)
",S113,68,"
15
","
100.0%
","
86.7%
","
4.23
","
B+ (3.31)
","
C+ (2.51)
"
"Rose, Fred E.","
PSYC 163 - Abnormal Psychology (A)
",SP13,371,"
139
","
98.5%
","
94.9%
","
5.35
","
B (3.16)
","
B- (2.77)
"
"Rose, Fred E.","
PSYC 163 - Abnormal Psychology (A)
",FA12,383,"
156
","
96.6%
","
95.9%
","
4.57
","
B (3.21)
","
C+ (2.51)
"
"Rose, Fred E.                      ","
PSYC 163 - Abnormal Psychology            (A)
",FA10,348,"
162
","
98.8%
","
98.1%
","
4.64
","
B+ (3.52)
","
B (3.03)
"
"Stretch, Vincent Patrick           ","
PSYC 163 - Abnormal Psychology            (A)
",SU10,112,"
46
","
95.7%
","
93.5%
","
4.72
","
B+ (3.49)
","
N/A
"
"Rose, Fred E.                      ","
PSYC 163 - Abnormal Psychology            (A)
",SP10,285,"
137
","
97.1%
","
96.3%
","
4.53
","
B+ (3.38)
","
B- (2.96)
"
"Rose, Fred E.                      ","
PSYC 163 - Abnormal Psychology            (A)
",FA09,350,"
193
","
99.0%
","
99.0%
","
4.38
","
B+ (3.38)
","
B- (2.90)
"
"Elson, Kadimah                     ","
PSYC 163 - Abnormal Psychology            (A)
",SU09,83,"
27
","
100.0%
","
59.3%
","
4.80
","
B+ (3.63)
","
N/A
"
"Rose, Fred E.                      ","
PSYC 163 - Abnormal Psychology            (A)
",SP09,273,"
176
","
96.6%
","
96.6%
","
3.94
","
B+ (3.53)
","
B (3.09)
"
"Rose, Fred E.                      ","
PSYC 163 - Abnormal Psychology            (A)
",FA08,334,"
215
","
97.7%
","
98.6%
","
4.57
","
B+ (3.55)
","
B- (2.73)
"
"Stretch, Vincent Patrick           ","
PSYC 163 - Abnormal Psychology            (A)
",SU08,64,"
58
","
93.0%
","
91.2%
","
5.66
","
B (3.22)
","
N/A
"
"Rose, Fred E.                 ","
PSYC 163 - Abnormal Psychology            (A)
",SP08,273,"
163
","
98.1%
","
98.7%
","
4.19
","
B+ (3.56)
","
B- (2.89)
"
"Rose, Fred E.                 ","
PSYC 163 - Abnormal Psychology            (A)
",FA07,367,"
148
","
98.6%
","
98.6%
","
3.88
","
B+ (3.54)
","
B- (2.91)
"
"Stretch, Vincent Patrick      ","
PSYC 163 - Abnormal Psychology            (A)
",SU07,54,"
50
","
100.0%
","
97.9%
","
5.26
","
B (3.27)
","
N/A
"
