Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (A)
",SP23,35,"
14
","
100.0%
","
100.0%
","
4.79
","
A- (3.79)
","
A- (3.81)
"
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (B)
",SP23,35,"
13
","
92.3%
","
100.0%
","
4.50
","
B+ (3.54)
","
B+ (3.68)
"
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (C)
",SP23,35,"
10
","
100.0%
","
100.0%
","
4.30
","
B+ (3.60)
","
A- (3.86)
"
"Anagnostaras, Stephan","
PSYC 193L - Psychology Laboratory Topics (D)
",SP23,61,"
13
","
100.0%
","
92.3%
","
3.27
","
A- (3.92)
","
A- (3.72)
"
"Barner, David A.","
PSYC 193L - Psychology Laboratory Topics (A)
",WI23,28,"
7
","
100.0%
","
100.0%
","
5.93
","
A- (3.86)
","
B+ (3.69)
"
"Lowe, Angela Beth","
PSYC 193L - Psychology Laboratory Topics (B)
",WI23,34,"
16
","
93.8%
","
100.0%
","
3.88
","
B+ (3.44)
","
B+ (3.38)
"
"Hurwitz, Ethan Scott","
PSYC 193L - Psychology Laboratory Topics (A)
",FA22,48,"
42
","
92.9%
","
95.2%
","
9.69
","
B+ (3.44)
","
B (3.27)
"
"Hurwitz, Ethan Scott","
PSYC 193L - Psychology Laboratory Topics (B)
",S222,17,"
8
","
100.0%
","
100.0%
","
9.50
","
B (3.29)
","
N/A
"
"Lowe, Angela Beth","
PSYC 193L - Psychology Laboratory Topics (A)
",S122,19,"
7
","
100.0%
","
100.0%
","
4.21
","
A- (3.71)
","
N/A
"
"Hurwitz, Ethan Scott","
PSYC 193L - Psychology Laboratory Topics (B)
",S122,16,"
10
","
90.0%
","
100.0%
","
11.30
","
B (3.22)
","
N/A
"
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (A)
",SP22,34,"
23
","
100.0%
","
100.0%
","
6.15
","
A- (3.83)
","
A (4.00)
"
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (B)
",SP22,35,"
25
","
100.0%
","
100.0%
","
5.00
","
A- (3.96)
","
A (4.00)
"
"Barner, David A.","
PSYC 193L - Psychology Laboratory Topics (C)
",SP22,22,"
4
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
B (3.13)
"
"Lowe, Angela Beth","
PSYC 193L - Psychology Laboratory Topics (A)
",WI22,35,"
17
","
82.4%
","
94.1%
","
5.56
","
B+ (3.47)
","
B+ (3.42)
"
"Fan, Judith Ellen","
PSYC 193L - Psychology Laboratory Topics (B)
",WI22,34,"
17
","
60.0%
","
60.0%
","
10.13
","
B (3.19)
","
B+ (3.40)
"
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (A)
",FA21,35,"
16
","
100.0%
","
100.0%
","
5.70
","
A- (3.80)
","
A- (3.88)
"
"Lowe, Angela Beth","
PSYC 193L - Psychology Laboratory Topics (B)
",FA21,35,"
20
","
100.0%
","
100.0%
","
6.50
","
A- (3.70)
","
B+ (3.54)
"
"Winkielman, Piotr","
PSYC 193L - Psychology Laboratory Topics (A)
",S221,28,"
4
","
75.0%
","
100.0%
","
3.00
","
A- (3.75)
","
B+ (3.49)
"
"Lacefield, Katharine I","
PSYC 193L - Psychology Laboratory Topics (B)
",S221,25,"
8
","
100.0%
","
100.0%
","
8.25
","
B+ (3.63)
","
A- (3.84)
"
"Lowe, Angela Beth","
PSYC 193L - Psychology Laboratory Topics (B)
",S121,10,"
5
","
100.0%
","
100.0%
","
6.50
","
A- (3.80)
","
N/A
"
"Rosenberg, Benjamin David","
PSYC 193L - Psychology Laboratory Topics (C)
",S121,35,"
6
","
66.7%
","
100.0%
","
6.50
","
B+ (3.50)
","
B+ (3.43)
"
"Frederick, David A","
PSYC 193L - Psychology Laboratory Topics (A)
",SP21,43,"
34
","
100.0%
","
100.0%
","
5.91
","
B+ (3.70)
","
B+ (3.67)
"
"Frederick, David A","
PSYC 193L - Psychology Laboratory Topics (B)
",SP21,46,"
40
","
97.4%
","
100.0%
","
5.22
","
B+ (3.61)
","
A- (3.78)
"
"Lowe, Angela Beth","
PSYC 193L - Psychology Laboratory Topics (C)
",SP21,43,"
23
","
87.0%
","
95.7%
","
6.07
","
B+ (3.70)
","
B (3.19)
"
"Frederick, David A","
PSYC 193L - Psychology Laboratory Topics (D)
",SP21,50,"
42
","
97.6%
","
97.6%
","
6.55
","
B+ (3.49)
","
A- (3.70)
"
