Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rahimi, Babak","
RELI 101 - Tools&Methods/Studyof Religion (A)
",WI23,28,"
13
","
100.0%
","
91.7%
","
2.50
","
A- (3.75)
","
A- (3.88)
"
"Rahimi, Babak","
RELI 101 - Tools&Methods/Studyof Religion (A)
",WI22,39,"
10
","
90.0%
","
90.0%
","
3.61
","
B+ (3.67)
","
A- (3.73)
"
"Rahimi, Babak","
RELI 101 - Tools&Methods/Studyof Religion (A)
",SP21,45,"
14
","
85.7%
","
85.7%
","
3.73
","
A- (3.85)
","
A- (3.95)
"
"Kalleres, Dayna","
RELI 101 - Tools&Methods/Studyof Religion (A)
",WI20,58,"
24
","
77.3%
","
77.3%
","
3.86
","
A- (3.78)
","
A- (3.95)
"
"Rahimi, Babak","
RELI 101 - Tools&Methods/Studyof Religion (A)
",WI19,54,"
23
","
100.0%
","
100.0%
","
3.86
","
A- (3.81)
","
A- (3.94)
"
"Amironesei, Razvan","
RELI 101 - Tools&Methods/Studyof Religion (A)
",SP18,31,"
12
","
60.0%
","
70.0%
","
2.50
","
A- (3.75)
","
A- (3.92)
"
"Kalleres, Dayna","
RELI 101 - Tools&Methods/Studyof Religion (A)
",SP17,55,"
17
","
53.3%
","
53.3%
","
4.77
","
B+ (3.54)
","
A- (3.75)
"
"Rahimi, Babak","
RELI 101 - Tools&Methods/Studyof Religion (A)
",SP16,65,"
27
","
92.6%
","
96.3%
","
3.33
","
A- (3.74)
","
A- (3.96)
"
"Rahimi, Babak","
RELI 101 - Tools&Methods/Studyof Religion (A)
",SP15,50,"
18
","
100.0%
","
100.0%
","
4.28
","
A- (3.93)
","
A- (3.94)
"
"Kalleres, Dayna","
RELI 101 - Tools&Methods/Studyof Religion (A)
",SP14,34,"
14
","
83.3%
","
75.0%
","
4.32
","
A- (3.88)
","
A- (3.83)
"
