Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lanza Di Scalea, Francesco","
SE 101C - Mechanics III: Vibrations (A)
",FA22,110,"
97
","
91.7%
","
85.4%
","
7.92
","
B- (2.97)
","
B (3.10)
"
"Zhu, Qiang","
SE 101C - Mechanics III: Vibrations (A)
",FA21,94,"
45
","
93.0%
","
97.6%
","
6.64
","
B (3.09)
","
B- (2.94)
"
"Tsampras, Georgios","
SE 101C - Mechanics III: Vibrations (A)
",S121,16,"
14
","
85.7%
","
100.0%
","
10.36
","
B- (2.93)
","
N/A
"
"Zhu, Qiang","
SE 101C - Mechanics III: Vibrations (A)
",FA20,110,"
37
","
75.0%
","
75.0%
","
7.41
","
B (3.14)
","
B (3.06)
"
"GUPTA, SUMIT","
SE 101C - Mechanics III: Vibrations (A)
",S120,17,"
17
","
100.0%
","
100.0%
","
8.03
","
B+ (3.31)
","
N/A
"
"Zhu, Qiang","
SE 101C - Mechanics III: Vibrations (A)
",FA19,49,"
16
","
85.7%
","
78.6%
","
6.36
","
B- (2.93)
","
B (3.04)
"
"Zhu, Qiang","
SE 101C - Mechanics III: Vibrations (C)
",FA19,77,"
30
","
75.0%
","
69.0%
","
7.43
","
B- (2.93)
","
B (3.08)
"
"Abi Ghanem, Maroun","
SE 101C - Mechanics III: Vibrations (A)
",S219,13,"
9
","
100.0%
","
88.9%
","
8.94
","
B- (2.89)
","
N/A
"
"Zhu, Qiang","
SE 101C - Mechanics III: Vibrations (A)
",FA18,81,"
21
","
100.0%
","
100.0%
","
7.21
","
B- (2.94)
","
C+ (2.64)
"
"Zhu, Qiang","
SE 101C - Mechanics III: Vibrations (A)
",FA17,95,"
33
","
80.0%
","
86.7%
","
7.23
","
B (3.17)
","
B- (2.96)
"
"Bahadori, Mohammad Yousef","
SE 101C - Mechanics III: Vibrations (A)
",S217,12,"
3
","
66.7%
","
33.3%
","
7.83
","
B+ (3.33)
","
N/A
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",WI17,13,"
5
","
75.0%
","
100.0%
","
5.00
","
B+ (3.50)
","
N/A
"
"Loh, Kenneth J. H.","
SE 101C - Mechanics III: Vibrations (A)
",FA16,53,"
16
","
56.3%
","
87.5%
","
9.50
","
C+ (2.56)
","
C (2.22)
"
"Bahadori, Mohammad Yousef","
SE 101C - Mechanics III: Vibrations (A)
",S216,11,"
3
","
66.7%
","
0.0%
","
11.17
","
C+ (2.67)
","
N/A
"
"Chen, Jiun-Shyan","
SE 101C - Mechanics III: Vibrations (A)
",SP16,50,"
22
","
90.9%
","
86.4%
","
7.64
","
B (3.00)
","
B (3.02)
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",WI16,16,"
4
","
100.0%
","
75.0%
","
6.00
","
B (3.25)
","
N/A
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",FA15,50,"
15
","
85.7%
","
92.9%
","
7.50
","
B (3.29)
","
B (3.05)
"
"Bahadori, Mohammad Yousef","
SE 101C - Mechanics III: Vibrations (A)
",S215,45,"
14
","
78.6%
","
92.9%
","
7.36
","
B (3.29)
","
B- (2.86)
"
"Chen, Jiun-Shyan","
SE 101C - Mechanics III: Vibrations (A)
",SP15,92,"
38
","
54.1%
","
51.4%
","
10.67
","
B- (2.94)
","
B (3.20)
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",FA14,62,"
14
","
83.3%
","
83.3%
","
6.83
","
B+ (3.50)
","
B- (2.73)
"
"Krysl, Petr","
SE 101C - Mechanics III: Vibrations (A)
",S214,21,"
4
","
50.0%
","
50.0%
","
8.50
","
B+ (3.50)
","
B (3.11)
"
"Bazilevs, Yuri","
SE 101C - Mechanics III: Vibrations (A)
",SP14,104,"
44
","
83.7%
","
93.0%
","
7.82
","
B+ (3.37)
","
B (3.28)
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",WI14,14,"
6
","
80.0%
","
40.0%
","
7.30
","
C+ (2.60)
","
N/A
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",FA13,40,"
15
","
92.9%
","
50.0%
","
9.42
","
B (3.15)
","
C+ (2.59)
"
"Mosqueda, Gilberto","
SE 101C - Mechanics III: Vibrations (A)
",SP13,73,"
28
","
75.0%
","
46.4%
","
7.61
","
B (3.14)
","
B (3.08)
"
"Murakami, Hidenori","
SE 101C - Mechanics III: Vibrations (A)
",WI13,18,"
9
","
55.6%
","
77.8%
","
5.83
","
C+ (2.63)
","
N/A
"
"Lubarda, Vlado","
SE 101C - Mechanics III: Vibrations (A)
",FA12,63,"
18
","
81.3%
","
81.3%
","
10.63
","
B (3.27)
","
C+ (2.55)
"
