Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Jandaghi Semnani, Shabnam","
SE 102 - Intro. to Computing for Eng. (A)
",WI23,119,"
100
","
78.0%
","
86.0%
","
7.15
","
B (3.09)
","
B- (3.00)
"
"Jandaghi Semnani, Shabnam","
SE 102 - Intro. to Computing for Eng. (A)
",WI22,95,"
86
","
87.2%
","
91.9%
","
7.84
","
B (3.00)
","
B (3.20)
"
"Jandaghi Semnani, Shabnam","
SE 102 - Intro. to Computing for Eng. (A)
",WI21,109,"
98
","
69.4%
","
82.7%
","
8.66
","
B (3.12)
","
B+ (3.34)
"
"Asaro, Robert J","
SE 102 - Numricl,Computnl&GraphclTls I (A)
",SP16,130,"
57
","
49.1%
","
32.7%
","
7.18
","
B+ (3.47)
","
B (3.27)
"
"Asaro, Robert J","
SE 102 - Numricl,Computnl&GraphclTls I (A)
",SP15,174,"
69
","
42.2%
","
29.7%
","
9.13
","
B+ (3.37)
","
B+ (3.51)
"
"Asaro, Robert J","
SE 102 - Numricl,Computnl&GraphclTls I (A)
",SP14,178,"
76
","
45.3%
","
29.3%
","
8.14
","
B (3.27)
","
B- (2.99)
"
"Asaro, Robert J","
SE 102 - Numricl,Computnl&GraphclTls I (A)
",SP13,128,"
41
","
31.7%
","
19.5%
","
7.33
","
B+ (3.32)
","
B- (2.99)
"
"Zhu, Qiang                         ","
SE 102 - Numricl,Computnl&GraphclTls I  (A)
",SP10,133,"
76
","
58.7%
","
84.0%
","
5.72
","
B (3.11)
","
B- (2.98)
"
"Asaro, Robert J                    ","
SE 102 - Numricl,Computnl&GraphclTls I  (A)
",SP09,114,"
87
","
44.0%
","
48.2%
","
7.94
","
B+ (3.32)
","
B+ (3.63)
"
"Asaro, Robert J               ","
SE 102 - Numricl,Computnl&GraphclTls I  (A)
",WI08,111,"
101
","
41.6%
","
42.4%
","
5.26
","
B+ (3.39)
","
B (3.21)
"
