Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP23,129,"
35
","
97.1%
","
97.1%
","
6.21
","
B (3.18)
","
B (3.07)
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP22,115,"
30
","
96.6%
","
96.6%
","
6.91
","
B+ (3.38)
","
B (3.01)
"
"Datta, Diptojit","
SE 110B - Solid Mechanics II (A)
",S221,7,"
6
","
100.0%
","
83.3%
","
6.50
","
B+ (3.33)
","
N/A
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP21,55,"
13
","
100.0%
","
100.0%
","
4.81
","
B+ (3.62)
","
B (3.17)
"
"Chen, Jiun-Shyan","
SE 110B - Solid Mechanics II (A)
",SP20,75,"
32
","
96.6%
","
100.0%
","
7.81
","
B+ (3.42)
","
A- (3.92)
"
"Saritas, Afsin","
SE 110B - Solid Mechanics II (B)
",SP20,45,"
11
","
81.8%
","
90.0%
","
11.59
","
B (3.00)
","
B+ (3.46)
"
"Lanza Di Scalea, Francesco","
SE 110B - Solid Mechanics II (A)
",SP19,74,"
53
","
94.2%
","
100.0%
","
6.31
","
B+ (3.54)
","
B+ (3.30)
"
"Amaddeo, Carmen","
SE 110B - Solid Mechanics II (B)
",SP19,49,"
38
","
97.4%
","
92.1%
","
6.76
","
B- (2.97)
","
B (3.03)
"
"Chen, Jiun-Shyan","
SE 110B - Solid Mechanics II (A)
",SP18,47,"
10
","
88.9%
","
88.9%
","
5.61
","
B (3.22)
","
B- (2.97)
"
"Saritas, Afsin","
SE 110B - Solid Mechanics II (B)
",SP18,32,"
7
","
85.7%
","
71.4%
","
7.64
","
B- (2.86)
","
B- (2.83)
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP17,124,"
37
","
76.5%
","
82.4%
","
5.98
","
B (3.17)
","
B (3.06)
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP16,139,"
61
","
93.3%
","
95.0%
","
6.53
","
B+ (3.31)
","
B (3.08)
"
"Oberrecht, Stephen Patrick","
SE 110B - Solid Mechanics II (A)
",S215,20,"
4
","
100.0%
","
66.7%
","
16.50
","
B+ (3.33)
","
C+ (2.61)
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP15,141,"
59
","
96.6%
","
89.8%
","
6.32
","
B (3.25)
","
B (3.06)
"
"Kim, Hyonny","
SE 110B - Solid Mechanics II (A)
",S114,39,"
14
","
100.0%
","
100.0%
","
9.00
","
B+ (3.46)
","
B- (2.97)
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP14,169,"
67
","
93.8%
","
87.5%
","
6.30
","
B+ (3.44)
","
B- (2.93)
"
"Zhu, Qiang","
SE 110B - Solid Mechanics II (A)
",SP13,145,"
40
","
97.4%
","
100.0%
","
6.45
","
B+ (3.39)
","
B (3.05)
"
