Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Morrison, Machel Leigh","
SE 130A - Structural Analysis I (B)
",WI23,17,"
17
","
82.4%
","
88.2%
","
10.50
","
C+ (2.59)
","
N/A
"
"Loh, Kenneth J. H.","
SE 130A - Structural Analysis I (A)
",FA22,94,"
84
","
94.0%
","
96.4%
","
8.99
","
B (3.17)
","
N/A
"
"Chadha, Mayank","
SE 130A - Structural Analysis I (A)
",WI22,20,"
17
","
100.0%
","
100.0%
","
8.15
","
B- (2.87)
","
B (3.09)
"
"Loh, Kenneth J. H.","
SE 130A - Structural Analysis I (A)
",FA21,67,"
59
","
91.5%
","
83.1%
","
9.14
","
B- (2.93)
","
C+ (2.42)
"
"Lin, Kuanpo","
SE 130A - Structural Analysis I (A)
",S121,30,"
6
","
100.0%
","
100.0%
","
10.50
","
B (3.00)
","
B (3.29)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (B)
",WI21,35,"
26
","
88.0%
","
80.0%
","
9.65
","
B- (2.87)
","
B- (2.86)
"
"Loh, Kenneth J. H.","
SE 130A - Structural Analysis I (B)
",FA20,55,"
15
","
86.7%
","
73.3%
","
12.37
","
C+ (2.53)
","
B- (2.73)
"
"Lin, Kuanpo","
SE 130A - Structural Analysis I (A)
",S120,43,"
24
","
95.7%
","
100.0%
","
9.89
","
B+ (3.58)
","
B+ (3.66)
"
"Carreno Vallejos, Rodrigo Patricio","
SE 130A - Structural Analysis I (B)
",WI20,21,"
11
","
100.0%
","
100.0%
","
8.90
","
B- (2.90)
","
C+ (2.66)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",FA19,79,"
50
","
86.0%
","
85.7%
","
10.38
","
B (3.02)
","
C+ (2.67)
"
"Amaddeo, Carmen","
SE 130A - Structural Analysis I (A)
",S119,32,"
7
","
100.0%
","
100.0%
","
10.21
","
B+ (3.57)
","
B (3.08)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",WI19,46,"
15
","
73.3%
","
93.3%
","
10.63
","
B- (2.93)
","
B- (2.72)
"
"Amaddeo, Carmen N.","
SE 130A - Structural Analysis I (A)
",FA18,48,"
16
","
100.0%
","
93.8%
","
6.75
","
B (3.27)
","
B- (2.99)
"
"Oberrecht, Stephen Patrick","
SE 130A - Structural Analysis I (A)
",S118,31,"
4
","
100.0%
","
100.0%
","
7.00
","
B (3.25)
","
B- (2.91)
"
"Loh, Kenneth J. H.","
SE 130A - Structural Analysis I (A)
",WI18,22,"
17
","
93.8%
","
87.5%
","
9.75
","
B- (2.81)
","
D (1.28)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",FA17,77,"
29
","
88.9%
","
92.6%
","
11.50
","
B+ (3.31)
","
B- (2.97)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (B)
",WI17,42,"
34
","
97.1%
","
94.1%
","
8.26
","
B (3.09)
","
B- (2.73)
"
"Loh, Kenneth J. H.","
SE 130A - Structural Analysis I (A)
",FA16,60,"
19
","
93.8%
","
93.8%
","
8.38
","
C+ (2.69)
","
C+ (2.65)
"
"Hillman, Michael C","
SE 130A - Structural Analysis I (A)
",S116,30,"
7
","
100.0%
","
33.3%
","
9.70
","
B+ (3.60)
","
B- (2.92)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",WI16,114,"
92
","
95.6%
","
94.4%
","
9.47
","
B (3.17)
","
B (3.13)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",FA15,50,"
36
","
100.0%
","
97.2%
","
9.33
","
B (3.00)
","
B (3.04)
"
"Oberrecht, Stephen Patrick","
SE 130A - Structural Analysis I (A)
",S115,28,"
4
","
100.0%
","
50.0%
","
13.50
","
A- (3.75)
","
B- (2.76)
"
"Uang, Chia-Ming","
SE 130A - Structural Analysis I (A)
",WI15,112,"
36
","
88.6%
","
97.1%
","
10.85
","
B (3.22)
","
B- (2.81)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",FA14,56,"
19
","
94.7%
","
100.0%
","
6.25
","
B- (2.72)
","
B (3.18)
"
"Oberrecht, Stephen Patrick","
SE 130A - Structural Analysis I (A)
",S114,50,"
16
","
86.7%
","
86.7%
","
14.50
","
B (3.29)
","
C+ (2.70)
"
"Mosqueda, Gilberto","
SE 130A - Structural Analysis I (A)
",WI14,144,"
107
","
94.4%
","
83.2%
","
9.74
","
B (3.08)
","
B- (2.90)
"
"Uang, Chia-Ming","
SE 130A - Structural Analysis I (A)
",WI13,153,"
56
","
96.4%
","
96.4%
","
12.57
","
B (3.02)
","
B- (3.00)
"
